Chr,Start,End,Geneid,Cluster
NC_000068.8,76840246,76842101,Ccdc141,121
NC_000068.8,77240966,77242484,Zfp385b,122
NC_000068.8,84701653,84703039,Rtn4rl2,123
NC_000068.8,85314436,85314536,Fads2b,124
NC_000068.8,91812673,91813352,Creb3l1,125
NC_000068.8,101543455,101547811,Prr5l,126
NC_000068.8,102488584,102488657,Slc1a2,127
NC_000068.8,102490045,102493637,Gm57687,127
NC_000068.8,103396655,103397954,Abtb2,128
NC_000068.8,103398987,103426714,8030431J09Rik,128
NC_000068.8,103900127,103900264,Cd59b,129
NC_000068.8,103926177,103926272,Cd59a,129
NC_000068.8,103973418,103979407,D430041D05Rik,129
NC_000068.8,104088848,104089021,Gm13883,130
NC_000068.8,106473262,106473495,BB218582,131
NC_000068.8,106559604,106566860,Gm29885,131
NC_000068.8,113579020,113580500,Grem1,132
NC_000068.8,117942357,117942556,Thbs1,133
NC_000068.8,119004990,119008049,Gm14137,134
NC_000068.8,119048600,119048904,Ppp1r14d,134
NC_000068.8,119628123,119628235,Tyro3,135
NC_000068.8,119919958,119922165,Ehd4,136
NC_000068.8,120130433,120131109,Pla2g4f,137
NC_000068.8,120294074,120294662,Capn3,138
NC_000068.8,120398137,120398242,Snap23,139
NC_000068.8,120848372,120850094,Epb42,140
NC_000068.8,120876591,120877013,Tgm5,140
NC_000068.8,121978168,121978285,B2m,141
NC_000068.8,122607249,122607592,Sqor,142
NC_000068.8,125469359,125471690,Shc4,143
NC_000068.8,127298418,127300308,Kcnip3,144
NC_000068.8,127356619,127358616,Gm54151,144
NC_000068.8,128140583,128142916,Morrbid,145
NC_000068.8,128540836,128541023,Mertk,146
NC_000068.8,130911140,130911795,Siglec1,147
NC_000068.8,131387277,131388460,Adra1d,148
NC_000068.8,131403696,131403780,Gm14285,148
NC_000068.8,131894416,131898821,Slc23a2,149
NC_000068.8,132746097,132748761,Fermt1,150
NC_000068.8,136635337,136635742,Gm39943,151
NC_000068.8,143901062,143901703,Banf2os,152
NC_000068.8,144252577,144257316,Gm46768,153
NC_000068.8,145116742,145117171,Gm52529,154
NC_000068.8,145184119,145197383,Gm52528,154
NC_000068.8,148713642,148713963,Cst3,155
NC_000068.8,150630539,150634246,Gm57834,156
NC_000068.8,150674413,150675060,Abhd12,156
NC_000068.8,151432469,151436519,Snph,157
NC_000068.8,151543294,151543900,Tmem74b,158
NC_000068.8,151946738,151946822,Srxn1,159
NC_000068.8,151984973,151985302,Tcf15,159
NC_000068.8,154268521,154268715,Gm52564,160
NC_000068.8,155332299,155333036,Ggt7,161
NC_000068.8,155592159,155593384,Procr,162
NC_000068.8,155782943,155784337,Gdf5,163
NC_000068.8,156617373,156617458,Myl9,164
NC_000068.8,158217633,158217808,Snhg11,165
NC_000068.8,160102246,160102935,Gm826,166
NC_000068.8,160205597,160208985,Mafb,167
NC_000068.8,160216581,160222526,Gm34980,167
NC_000068.8,161363908,161371489,Ptprt,168
NC_000068.8,163178162,163179844,Jph2,169
NC_000068.8,163280387,163280645,Gdap1l1,170
NC_000068.8,163662724,163663029,Ccn5,171
NC_000068.8,164031151,164031603,Wfdc12,172
NC_000068.8,164573222,164573408,Wfdc3,173
NC_000068.8,164627535,164628244,Snx21,173
NC_000068.8,164782246,164782887,Mmp9,174
NC_000068.8,167611028,167613748,Gm32287,175
NC_000068.8,169647011,169647792,Gm54131,176
NC_000068.8,172863722,172864063,Rbm38,177
NC_000068.8,172924573,172924698,Gm40011,177
NC_000069.7,14638370,14644083,E2f5,178
NC_000069.7,14706787,14706905,Car13,178
NC_000069.7,18662938,18664038,Gm30723,179
NC_000069.7,18675702,18680217,Gm30789,179
NC_000069.7,27536648,27536716,Gm32738,180
NC_000069.7,27992636,27992899,Pld1,181
NC_000069.7,30909908,30910034,Gpr160,182
NC_000069.7,34826224,34826440,Gm38509,183
NC_000069.7,41384937,41385076,Gm6069,184
NC_000069.7,41429342,41429829,Gm40040,184
NC_000069.7,41442116,41444171,Platr4,184
NC_000069.7,41455366,41455720,2400006E01Rik,184
NC_000069.7,51131868,51132708,Noct,185
NC_000069.7,51544179,51544351,Mgst2,186
NC_000069.7,52424385,52424567,Gm30173,187
NC_000069.7,54266688,54266762,Postn,188
NC_000069.7,57749316,57750735,Pfn2,189
NC_000069.7,58912820,58913001,Med12l,190
NC_000069.7,59022044,59023482,P2ry14,191
NC_000069.7,63603620,63606901,Plch1,192
NC_000069.7,66127308,66127612,Ptx3,193
NC_000069.7,66911450,66914978,Gm54201,194
NC_000069.7,67386219,67386819,Rarres1,195
NC_000069.7,73543138,73547374,Bche,196
NC_000069.7,80750905,80752564,Glrb,197
NC_000069.7,82265379,82265562,Map9,198
NC_000069.7,84573499,84573722,Tmem154,199
NC_000069.7,84717092,84721740,Gm35486,200
NC_000069.7,84721901,84723076,Fbxw7,200
NC_000069.7,87158318,87158703,Fcrl2,201
NC_000069.7,88150181,88150755,Rhbg,202
NC_000069.7,88275923,88276195,Bglap3,203
NC_000069.7,88290802,88291074,Bglap,203
NC_000069.7,89246947,89247260,Adam15,204
NC_000069.7,90144805,90145228,Creb3l4,205
NC_000069.7,90418341,90418671,S100a1,206
NC_000069.7,90634008,90634307,Pglyrp4,207
NC_000069.7,93348071,93348122,Tchh,208
NC_000069.7,95046832,95047907,Tnfaip8l2,209
NC_000069.7,95406521,95406647,Ctsk,210
NC_000069.7,96088543,96088619,Sv2a,211
NC_000069.7,96145424,96146300,H3c15,211
NC_000069.7,96147065,96147638,H2ac19,211
NC_000069.7,101993731,101994188,Casq2,212
NC_000069.7,102377235,102377276,Ngf,213
NC_000069.7,106666177,106668191,Cd53,214
NC_000069.7,107585605,107587773,Gm52629,215
NC_000069.7,107781177,107781278,Eps8l3,216
NC_000069.7,108298164,108299974,Celsr2,217
NC_000069.7,108362995,108366079,Elapor1,217
NC_000069.7,108760898,108763581,Fndc7,218
NC_000069.7,109247757,109248558,Vav3,219
NC_000069.7,113314932,113317163,Amy2a1,220
NC_000069.7,113823933,113824652,Col11a1,221
NC_000069.7,115430342,115432329,Gm40124,222
NC_000069.7,116066202,116068357,Cdc14a,223
NC_000069.7,117112794,117116886,Plppr4,224
NC_000069.7,118355758,118355963,Dpyd,225
NC_000069.7,121689732,121689961,Gm34050,226
NC_000069.7,121697232,121697273,Gm34119,226
NC_000069.7,121720593,121720625,Gm46821,226
NC_000069.7,122688721,122689128,Fabp2,227
NC_000069.7,122870168,122873907,Synpo2,228
NC_000069.7,123230445,123230659,Gm35065,229
NC_000069.7,123240562,123241285,Prss12,229
NC_000069.7,126389136,126391153,Camk2d,230
NC_000069.7,126715256,126717620,Ank2,231
NC_000069.7,129326035,129326144,Elovl6,232
NC_000069.7,129471223,129472204,Egf,233
NC_000069.7,129547407,129547572,6330410L21Rik,233
NC_000069.7,129577590,129583090,Lrit3,233
NC_000069.7,129637885,129638577,Gm36180,233
NC_000069.7,131112634,131116959,Sgms2,234
NC_000069.7,131196346,131196436,Gm36753,234
NC_000069.7,133938927,133942447,Cxxc4,235
NC_000069.7,134534768,134535542,Tacr3,236
NC_000069.7,137329433,137329644,Ddit4l,237
NC_000069.7,141171360,141171598,Unc5c,238
NC_000069.7,143929933,143930822,Gm46828,239
NC_000069.7,144223110,144226184,Gm43560,240
NC_000069.7,144616682,144617286,Clca4b,241
NC_000069.7,145352726,145353723,Ccn1,242
NC_000069.7,145355863,145356675,Gm17501,242
NC_000069.7,152134491,152143527,Gm57837,243
NC_000069.7,152783917,152784176,Gm52620,244
NC_000069.7,152930030,152930139,Gm33066,245
NC_000069.7,153617247,153617327,Gm24494,246
NC_000069.7,157630845,157631883,1810013D15Rik,247
NC_000070.7,11758157,11758281,Cdh17,248
NC_000070.7,11966574,11966683,1700123M08Rik,249
NC_000070.7,25609333,25620820,Fut9,250
NC_000070.7,32156978,32157277,Gm42266,251
NC_000070.7,32238413,32239089,Bach2,251
NC_000070.7,33057715,33058609,Gabrr2,252
NC_000070.7,33923171,33923294,Cnr1,253
NC_000070.7,34663257,34664230,Slc35a1,254
NC_000070.7,34949074,34954047,Mob3b,255
NC_000070.7,34991867,34992021,Gm33620,255
NC_000070.7,35096128,35097101,Gm52727,256
NC_000070.7,42872619,42873355,Phf24,257
NC_000070.7,43046193,43046277,Unc13b,258
NC_000070.7,43482083,43482848,Sit1,259
NC_000070.7,43513726,43514861,Tpm2,259
NC_000070.7,44034075,44037353,Gne,260
NC_000070.7,44087189,44087412,Ptma-ps2,260
NC_000070.7,45183958,45184072,Frmpd1,261
NC_000070.7,45234723,45234981,Frmpd1os,261
NC_000070.7,46038940,46039309,Tmod1,262
NC_000070.7,46393989,46394715,Hemgn,263
NC_000070.7,46536937,46539267,Coro2a,264
NC_000070.7,46574961,46576626,Gm54221,264
NC_000070.7,46583702,46585020,Gm54222,264
NC_000070.7,46606812,46606903,Gm31850,264
NC_000070.7,48430805,48431083,Tex10,265
NC_000070.7,53440927,53442389,Gm54227,266
NC_000070.7,53631383,53631612,Fsd1l,267
NC_000070.7,55060520,55066639,Gm42289,268
NC_000070.7,56810935,56812388,Ctnnal1,269
NC_000070.7,58285742,58286190,Musk,270
NC_000070.7,58435252,58437634,Lpar1,271
NC_000070.7,58943568,58943867,Zkscan16,272
NC_000070.7,58965590,58966763,Ptgr1,272
NC_000070.7,59956804,59957057,Mup4,273
NC_000070.7,60003481,60003641,Mup6,273
NC_000070.7,62883792,62883943,Zfp618,274
NC_000070.7,73857608,73857835,2310002L09Rik,275
NC_000070.7,73931454,73932153,Frmd3,275
NC_000070.7,76685445,76685601,Gm42302,276
NC_000070.7,82368295,82376330,2310067E19Rik,277
NC_000070.7,82816157,82818835,Frem1,278
NC_000070.7,85432242,85432760,Adamtsl1,279
NC_000070.7,88828091,88828947,Gm49890,280
NC_000070.7,88874653,88874938,Gm34568,280
NC_000070.7,89576435,89577176,Dmrta1,281
NC_000070.7,95441655,95442861,Gm40206,282
NC_000070.7,97725631,97751058,Gm19417,283
NC_000070.7,100234721,100240441,Gm35760,284
NC_000070.7,101210980,101211085,0610043K17Rik,285
NC_000070.7,102180937,102189008,Gm52669,286
NC_000070.7,102399485,102421972,Gm52667,287
NC_000070.7,107148662,107149619,Dio1,288
NC_000070.7,108257414,108258194,Gpx7,289
NC_000070.7,109075610,109075715,Calr4,290
NC_000070.7,115375484,115375707,Cyp4a10,291
NC_000070.7,116019078,116020232,Tspan1,292
NC_000070.7,116985852,116986375,Plk3,293
NC_000070.7,117146405,117146672,Gm12843,294
NC_000070.7,117692240,117692674,Slc6a9,295
NC_000070.7,118384207,118384441,2610528J11Rik,296
NC_000070.7,125917241,125917418,Csf3r,297
NC_000070.7,126180613,126180723,Col8a2,298
NC_000070.7,128653051,128653814,A3galt2,299
NC_000070.7,131136450,131136577,Gm35634,300
NC_000070.7,132027749,132029993,Rab42,301
NC_000070.7,132257870,132258134,Atp5if1,302
NC_000070.7,133280687,133281276,Nr0b2,303
NC_000070.7,133854717,133855117,Sh3bgrl3,304
NC_000070.7,135221971,135222217,Stpg1,305
NC_000070.7,136150835,136150908,Htr1d,306
NC_000070.7,136607437,136608180,C1qb,307
NC_000070.7,136617115,136617910,C1qc,307
NC_000070.7,136656729,136658473,Epha8,307
NC_000070.7,136886393,136887032,Gm13003,308
NC_000070.7,137004946,137005067,Wnt4,309
NC_000070.7,137148319,137148402,Cela3b,310
NC_000070.7,137424285,137424675,Rap1gapos,311
NC_000070.7,138065839,138066311,Cda,312
NC_000070.7,138503046,138503161,Pla2g2d,313
NC_000070.7,139560489,139560865,Gm46873,314
NC_000070.7,139797468,139798910,Gm52685,315
NC_000070.7,140512680,140513945,Padi3,316
NC_000070.7,140633685,140633860,Padi2,317
NC_000070.7,140655704,140657769,Gm34375,317
NC_000070.7,140711812,140714387,Atp13a2,317
NC_000070.7,140815631,140815841,Spata21,318
NC_000070.7,141542265,141542366,Cela2a,319
NC_000070.7,142107013,142138927,Gm42339,320
NC_000070.7,143076242,143077381,Lrrc38,321
NC_000070.7,147303548,147303921,Gm54268,322
NC_000070.7,150233293,150233479,Slc2a7,323
NC_000070.7,156287724,156288266,Perm1,324
NC_000070.7,156305913,156306339,Plekhn1,324
NC_000071.7,3443492,3444426,Gm29868,325
NC_000071.7,5786322,5786673,Steap1,326
NC_000071.7,12433133,12433641,Sema3d,327
NC_000071.7,13174789,13175740,Sema3a,328
NC_000071.7,14564924,14565528,Pclo,329
NC_000071.7,15782291,15782473,Gm21083,330
NC_000071.7,17775768,17776015,Gm31555,331
NC_000071.7,17779814,17779963,Sema3c,331
NC_000071.7,22089452,22090567,Reln,332
NC_000071.7,22764880,22767623,Gm42225,333
NC_000071.7,24120274,24120535,Hycc1,334
NC_000071.7,24589179,24590069,Atg9b,335
NC_000071.7,25964960,25965126,Actr3b,336
NC_000071.7,28210940,28212537,Gm35223,337
NC_000071.7,30745514,30745943,Kcnk3,338
NC_000071.7,30972075,30972242,Mapre3,339
NC_000071.7,31107410,31107592,Abhd1,340
NC_000071.7,33261563,33261935,Slc5a1,341
NC_000071.7,33370862,33371996,Spon2,342
NC_000071.7,35213922,35214308,Dok7,343
NC_000071.7,35854524,35854912,Sh3tc1,344
NC_000071.7,37977835,37979044,Msx1,345
NC_000071.7,44150963,44151838,Prom1,346
NC_000071.7,45854523,45859339,Lcorl,347
NC_000071.7,50375724,50375846,Gm40301,348
NC_000071.7,51611591,51615625,Ppargc1a,349
NC_000071.7,51637730,51644342,Gm42614,349
NC_000071.7,53676602,53677992,Gm10441,350
NC_000071.7,64047296,64048163,Rell1,351
NC_000071.7,64202316,64202341,5830416I19Rik,352
NC_000071.7,64313648,64314012,Tbc1d1,353
NC_000071.7,65036888,65036936,Gm31889,354
NC_000071.7,65082023,65084641,Tlr1,354
NC_000071.7,66018092,66018347,Rhoh,355
NC_000071.7,66833464,66833665,Uchl1,356
NC_000071.7,73563394,73563747,Cwh43,357
NC_000071.7,74202223,74202526,Gm52817,358
NC_000071.7,84199024,84207006,Epha5,359
NC_000071.7,87723827,87724180,Sult1e1,360
NC_000071.7,88234415,88234488,Smr2,361
NC_000071.7,88523967,88524042,Amtn,362
NC_000071.7,89821700,89825785,Adamts3,363
NC_000071.7,90920362,90920537,Pf4,364
NC_000071.7,96518622,96522744,Fras1,365
NC_000071.7,99365279,99366657,Rasgef1b,366
NC_000071.7,100994095,100994227,Gpat3,367
NC_000071.7,102355043,102355121,Arhgap24,368
NC_000071.7,103573058,103573402,Ptpn13,369
NC_000071.7,105972041,105972643,D830014E11Rik,370
NC_000071.7,108055908,108058082,Dipk1a,371
NC_000071.7,108582293,108582389,Gm34319,372
NC_000071.7,108666420,108668192,Cplx1,372
NC_000071.7,108925101,108925312,Tmed11,373
NC_000071.7,110224001,110227246,Gm35315,374
NC_000071.7,113391086,113392959,Sgsm1,375
NC_000071.7,113980500,113982529,Coro1c,376
NC_000071.7,114946257,114947392,1500011B03Rik,377
NC_000071.7,114959998,114960786,2610524H06Rik,377
NC_000071.7,115497147,115497327,Gm13832,378
NC_000071.7,116544739,116544928,Gm36841,379
NC_000071.7,117552067,117553073,Ksr2,380
NC_000071.7,118004904,118005991,Nos1,381
NC_000071.7,124014802,124018066,Hcar1,382
NC_000071.7,124256753,124259649,Pitpnm2,383
NC_000071.7,124802149,124802444,Dnah10,384
NC_000071.7,127709134,127709415,Glt1d1,385
NC_000071.7,129892272,129893530,Phkg1,386
NC_000071.7,136403040,136417919,Gm16599,387
NC_000071.7,136948000,136948285,4933404O12Rik,388
NC_000071.7,136996723,136997177,Cldn15,388
NC_000071.7,137090358,137092065,Serpine1,388
NC_000071.7,137551784,137551921,Actl6b,389
NC_000071.7,137891195,137892626,Cyp3a13,390
NC_000071.7,138205761,138205884,Nxpe5,391
NC_000071.7,138961761,138962982,Pdgfa,392
NC_000071.7,138980807,138986332,6330403L08Rik,392
NC_000071.7,139003059,139004586,Prkar1b,392
NC_000071.7,139893346,139894568,Elfn1,393
NC_000071.7,140431206,140431486,Kif19b,394
NC_000071.7,144482697,144483293,Nptx2,395
NC_000071.7,145630859,145631412,Cyp3a41a,396
NC_000071.7,149201814,149201992,Alox5ap,397
NC_000071.7,150331727,150333350,Gm36299,398
NC_000071.7,150960975,150963237,Stard13,399
NC_000071.7,151155086,151155228,Gm52834,400
NC_000072.7,7555061,7555161,Tac1,401
NC_000072.7,7901086,7901125,Gm35246,402
NC_000072.7,17065148,17065312,Tes,403
NC_000072.7,18170686,18170875,Cftr,404
NC_000072.7,18366470,18367615,Cttnbp2,405
NC_000072.7,22875302,22875883,Ptprz1,406
NC_000072.7,23262765,23263715,Cadps2,407
NC_000072.7,24951140,24956124,Tmem229a,408
NC_000072.7,25668522,25669858,Gpr37,409
NC_000072.7,29200435,29201218,Impdh1,410
NC_000072.7,30639217,30639527,Cpa1,411
NC_000072.7,31197286,31197454,2210408F21Rik,412
NC_000072.7,31343820,31344527,Mkln1os,413
NC_000072.7,31582077,31582387,Gm31486,414
NC_000072.7,31627945,31628517,Gm13846,414
NC_000072.7,32948699,32971075,Gm53279,415
NC_000072.7,33419797,33448421,Gm38785,416
NC_000072.7,34132810,34135561,Slc35b4,417
NC_000072.7,34628289,34628475,Gm13861,418
NC_000072.7,34689230,34693860,Gm38787,418
NC_000072.7,34922221,34923271,Slc23a4,419
NC_000072.7,35110466,35110637,Gm33046,420
NC_000072.7,35289678,35290804,Fam180a,421
NC_000072.7,36691863,36692697,Ptn,422
NC_000072.7,37691555,37691657,Gm38791,423
NC_000072.7,37846816,37848409,Trim24,424
NC_000072.7,37960674,37961458,Svopl,425
NC_000072.7,38593264,38599088,Klrg2,426
NC_000072.7,38714451,38718668,4930502C15Rik,427
NC_000072.7,40605765,40605929,Mgam,428
NC_000072.7,41498710,41498777,Prss2,429
NC_000072.7,41837241,41837367,Sval2,430
NC_000072.7,42292239,42295565,Fam131b,431
NC_000072.7,42486574,42486783,Gm34752,432
NC_000072.7,47773075,47773837,Pdia4,433
NC_000072.7,48837263,48837541,Gm7932,434
NC_000072.7,51262394,51262917,Gm32479,435
NC_000072.7,51409649,51410393,Nfe2l3,436
NC_000072.7,53264154,53264358,Creb5,437
NC_000072.7,54406206,54406297,Wipf3,438
NC_000072.7,56346680,56346857,Gm34753,439
NC_000072.7,57483487,57487834,Ppm1k,440
NC_000072.7,60708557,60709145,Snca,441
NC_000072.7,65567382,65567636,Tnip3,442
NC_000072.7,67012080,67012756,Gadd45a,443
NC_000072.7,67511043,67512806,Tacstd2,444
NC_000072.7,67838143,67838188,Igkv17-127,445
NC_000072.7,68098075,68098120,Igkv1-117,446
NC_000072.7,68233388,68233442,Igkv14-111,447
NC_000072.7,68247511,68247556,Igkv1-110,447
NC_000072.7,68887395,68887688,Igkv4-86,448
NC_000072.7,71105150,71105836,Thnsl2,449
NC_000072.7,71684413,71684985,Reep1,450
NC_000072.7,72074555,72074978,St3gal5,451
NC_000072.7,72717187,72721244,Gm31249,452
NC_000072.7,78352857,78353121,Reg3d,453
NC_000072.7,78357692,78357764,Reg3a,453
NC_000072.7,78382138,78382162,Reg2,453
NC_000072.7,78402966,78402990,Reg1,453
NC_000072.7,78443252,78443535,Reg3g,453
NC_000072.7,82854847,82856457,2310069B03Rik,454
NC_000072.7,83489891,83490110,Actg2,455
NC_000072.7,85807369,85808202,Nat8,456
NC_000072.7,87019828,87019987,Gfpt1,457
NC_000072.7,87555568,87558898,Prokr1,458
NC_000072.7,87707577,87708522,Efcc1,459
NC_000072.7,88701397,88702160,Mgll,460
NC_000072.7,90278201,90278333,BC048671,461
NC_000072.7,90285333,90286789,Chst13,461
NC_000072.7,90346460,90347550,Zxdc,461
NC_000072.7,90380713,90380974,Cfap100,461
NC_000072.7,90579043,90579103,Slc41a3,462
NC_000072.7,91493017,91493060,Lsm3,463
NC_000072.7,91738433,91740587,Grip2,464
NC_000072.7,97215491,97215832,Lmod3,465
NC_000072.7,99091605,99102682,Gm38865,466
NC_000072.7,112250747,112250933,Lmcd1,467
NC_000072.7,114374897,114374959,Hrh1,468
NC_000072.7,115560508,115562530,Mkrn2os,469
NC_000072.7,115706092,115706645,Tmem40,470
NC_000072.7,116387030,116387859,Alox5,471
NC_000072.7,118564201,118571155,Cacna1c,472
NC_000072.7,120657868,120658212,Gm53339,473
NC_000072.7,120772205,120772725,Atp6v1e1,474
NC_000072.7,121187666,121187835,Tuba8,475
NC_000072.7,122490543,122490691,Mfap5,476
NC_000072.7,122704783,122707099,Slc2a3,477
