Geneid,Chr,Start,End,Strand,Length,adult_PAR_01,adult_PAR_02,adult_PAR_03,adult_PAR_04,adult_SL_01,adult_SL_02,adult_SL_03,adult_SM_01,adult_SM_02,adult_SM_03,adult_SM_04,adult_SM_05,adult_SM_06
AADACL2_1,NW_003315913.1,155100,155346,+,3219,0,2,0,0,0,0,0,0,0,0,0,0,0
AADACL3,NC_000001.11,12716110,12716344,+,4055,0,0,0,4,0,0,0,0,0,0,0,0,0
AADACL4,NC_000001.11,12644085,12644714,+,2438,2,2,4,3,0,2,0,0,0,0,0,0,4
AADACP1,NC_000003.12,151770456,151770611,+,1289,8,12,4,6,12,23,16,6,0,4,10,2,2
AADAT,NC_000004.12,170060222,170060969,-,3007,33,34,23,16,60,22,14,23,25,37,9,25,38
AAGAB,NC_000015.10,67200667,67202898,-,3492,393,450,334,327,570,523,479,400,407,497,337,403,475
AAK1,NC_000002.12,69457997,69475963,-,21160,1301,1183,928,1064,1954,1515,1123,1676,1226,1526,1335,1097,1246
AAMDC,NC_000011.10,77821144,77821180,+,6730,189,211,187,237,242,287,218,145,161,204,210,166,197
AAMP,NC_000002.12,218264129,218264608,-,1763,1062,1158,1079,1134,820,1023,972,1104,931,966,1103,814,1075
AANAT,NC_000017.11,76453351,76453782,+,2094,16,5,6,11,11,14,6,32,8,6,19,10,24
AAR2,NC_000020.11,36236478,36236503,+,2852,479,510,439,408,414,370,309,482,373,364,460,269,387
AARD,NC_000008.11,116938207,116938567,+,2291,5,16,10,16,30,50,25,27,24,22,25,18,33
AARS1,NC_000016.10,70252298,70252906,-,3437,1874,2815,1304,2795,1850,1778,2116,2866,1695,1536,1477,1120,1652
AARS2,NC_000006.12,44298731,44300711,-,4798,512,528,441,517,594,560,435,560,365,481,503,409,383
AARSD1,NC_000017.11,42950526,42950728,-,1320,0,0,0,0,0,0,0,0,0,2,0,0,0
AASDH,NC_000004.12,56338290,56338791,-,4014,458,438,458,337,381,440,408,431,579,458,471,382,503
AASDHPPT,NC_000011.10,106077662,106077893,+,2767,702,815,691,617,503,524,462,554,728,641,713,583,659
AASS,NC_000007.14,122073549,122076607,-,5960,1200,961,783,788,1414,1698,1247,616,455,766,757,624,1022
AATBC,NC_000021.9,43805758,43806588,-,4598,93,71,62,83,70,156,47,74,59,58,98,43,63
AATF,NC_000017.11,36948954,36949216,+,2062,0,0,0,0,0,0,0,0,0,0,2,0,0
AATF_1,NT_187614.1,1185319,1185581,+,2062,10,6,33,16,100,11,12,25,14,47,23,4,8
AATK,NC_000017.11,81117295,81118442,-,5514,488,631,241,583,215,282,86,165,109,93,519,142,180
ABALON,NC_000020.11,31721507,31723409,+,1903,22,33,23,23,52,42,56,28,20,21,27,40,30
ABAT,NC_000016.10,8674617,8674711,+,12228,374,310,239,318,544,1016,786,254,159,297,281,237,302
ABCA1,NC_000009.12,104781006,104784455,-,10408,725,1034,738,1158,3550,1106,966,665,830,1121,832,746,1067
ABCA10,NC_000017.11,69148007,69148925,-,6364,645,573,428,593,910,956,691,688,800,540,819,832,457
ABCA11P,NC_000004.12,425435,426973,-,1895,193,178,163,168,190,274,142,169,142,193,221,141,211
ABCA12,NC_000002.12,214931542,214932741,-,9577,10,17,5,28,6,11,8,17,7,14,4,10,9
ABCA13,NC_000007.14,48171458,48171552,+,27818,10,20,52,28,84,112,66,10,2,0,23,8,7
ABCA15P,NC_000016.10,21300849,21301335,+,2304,0,0,0,0,0,0,0,2,10,0,0,0,0
ABCA15P_1,NW_017852933.1,124540,125027,+,2293,0,0,1,0,6,2,2,2,0,0,0,6,10
ABCA17P,NC_000016.10,2340922,2341373,+,4188,23,31,7,21,8,14,3,20,32,12,8,13,20
ABCA2,NC_000009.12,137007234,137007964,-,8309,1473,1098,1005,1269,878,1316,365,1169,935,909,1184,589,835
ABCA3,NC_000016.10,2275881,2276805,-,6602,750,793,633,1032,1067,1830,660,929,682,1002,802,562,852
ABCA4,NC_000001.11,93992834,93993242,-,7328,12,0,6,17,20,6,6,3,0,2,12,6,10
ABCA5,NC_000017.11,69244311,69247644,-,9455,1535,1840,1614,1267,1834,2446,2086,1684,1928,1589,1597,1689,1453
ABCA6,NC_000017.11,69078702,69079074,-,5321,866,716,678,753,1174,1054,788,712,799,629,828,748,673
ABCA7,NC_000019.10,1040107,1040196,+,6925,814,553,593,776,671,956,231,1039,592,713,636,300,899
ABCA8,NC_000017.11,68867289,68868183,-,6646,1928,1708,1593,1720,1432,1924,989,984,2159,1203,1882,1320,1349
ABCA9,NC_000017.11,68974488,68976013,-,7238,1043,1165,925,872,725,624,495,676,844,683,793,857,457
ABCA9-AS1,NC_000017.11,69004714,69004793,+,523,22,24,35,25,12,15,1,13,18,19,28,19,23
ABCB1,NC_000007.14,87503017,87504449,-,5733,59,26,96,98,99,128,57,56,48,25,70,57,70
ABCB10,NC_000001.11,229516582,229518410,-,5436,402,515,313,330,581,658,489,478,477,517,532,454,504
ABCB11,NC_000002.12,168915390,168915682,-,7507,6,0,21,3,5,1,1,12,18,23,3,6,11
ABCB11_1,NW_003315909.1,107408,110449,-,4198,1,0,0,0,0,0,0,0,2,0,0,0,2
ABCB4,NC_000007.14,87365896,87368752,-,12098,89,96,89,102,119,78,105,69,57,91,72,62,65
ABCB5,NC_000007.14,20615667,20615837,+,7701,11,0,2,10,13,0,1,2,0,0,0,6,0
ABCB6,NC_000002.12,219209772,219210046,-,2980,193,235,169,200,482,359,247,265,124,156,218,148,264
ABCB7,NC_000023.11,75051048,75053585,-,4595,457,454,384,403,439,398,379,415,465,449,453,425,486
ABCB8,NC_000007.14,151028450,151028610,+,4707,259,248,169,236,399,307,212,376,179,324,294,166,267
ABCB9,NC_000012.12,122918610,122920353,-,10311,279,219,133,199,293,433,301,293,238,193,284,171,210
ABCC1,NC_000016.10,15949143,15949260,+,8370,338,641,847,1106,195,72,31,38,26,52,25,23,32
ABCC10,NC_000006.12,43427541,43427699,+,6757,684,615,463,620,668,808,367,759,437,545,498,391,553
ABCC11,NC_000016.10,48164819,48165157,-,7819,9,5,27,21,16,19,5,7,11,15,12,4,11
ABCC12,NC_000016.10,48080882,48083801,-,7908,6,0,0,7,0,2,0,2,0,0,0,0,0
ABCC13,NC_000021.9,14273799,14274157,+,2953,3,0,0,6,0,4,0,0,0,0,0,0,0
ABCC1_1,NT_187607.1,1607333,1607480,+,11212,1350,1065,682,442,80,94,30,73,23,41,35,24,47
ABCC2,NC_000010.11,99782640,99782877,+,8291,58,76,52,83,95,61,33,67,36,56,54,57,30
ABCC3,NC_000017.11,50634881,50634981,+,5798,24,40,24,46,523,547,151,914,649,177,79,47,62
ABCC4,NC_000013.11,95019835,95021682,-,18266,158,171,120,159,764,471,392,255,230,310,206,201,351
ABCC5,NC_000003.12,183919934,183921401,-,10217,320,290,296,441,1259,973,703,725,496,512,468,409,377
ABCC5-AS1,NC_000003.12,184006338,184006461,+,469,0,2,0,9,16,15,4,4,2,10,5,0,5
ABCC6,NC_000016.10,16149565,16150241,-,5602,342,446,248,560,56,14,50,51,108,102,48,59,105
ABCC6P1,NC_000016.10,18571248,18571311,+,2728,69,93,103,61,30,22,13,46,50,44,70,18,38
ABCC6P1_1,NT_187607.1,962188,962251,+,530,2,0,0,2,0,0,0,0,4,1,0,1,0
ABCC6P2,NC_000016.10,14822427,14823068,-,711,11,4,13,1,0,0,0,4,0,0,0,1,2
ABCC6P2_1,NT_187607.1,962183,962251,+,711,2,2,2,2,0,2,0,0,2,0,0,0,2
ABCC6_1,NT_187607.1,1807491,1808167,-,5602,247,240,423,323,22,59,21,60,85,38,197,91,93
ABCC8,NC_000011.10,17392498,17393128,-,5603,4,2,2,15,6,1,8,6,0,11,4,3,7
ABCC9,NC_000012.12,21797389,21801181,-,8960,350,267,295,292,742,523,151,153,195,172,244,212,225
ABCD1,NC_000023.11,153724856,153726166,+,3969,259,160,108,181,162,123,65,132,112,127,141,63,103
ABCD2,NC_000012.12,39531025,39532060,-,17751,544,722,488,528,149,145,65,309,197,273,271,202,278
ABCD3,NC_000001.11,94385131,94385238,+,26865,1440,1967,1225,1349,2288,2644,2372,1750,1480,1717,1371,1718,1520
ABCD4,NC_000014.9,74285269,74286816,-,3439,504,556,510,511,483,511,271,584,436,402,537,400,525
ABCE1,NC_000004.12,145098311,145098419,+,3887,791,922,750,790,1189,985,896,786,702,912,700,584,883
ABCF1,NC_000006.12,30571442,30571560,+,3405,11,0,4,3,0,2,13,2,4,3,2,0,4
ABCF1-DT,NT_113891.3,2043333,2043565,-,543,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCF1_1,NT_113891.3,2051164,2051282,+,3405,0,2,2,2,6,2,1,0,0,1,2,0,0
ABCF1_2,NT_167245.2,1827269,1827387,+,3405,2,2,0,0,0,0,0,0,0,2,0,0,0
ABCF1_3,NT_167246.2,1881671,1881789,+,3405,6,56,0,6,14,7,0,6,5,4,2,2,4
ABCF1_4,NT_167247.2,1915488,1915606,+,3405,4,4,15,3,9,16,3,7,24,58,30,6,2
ABCF1_5,NT_167248.2,1826529,1826647,+,3405,2,8,4,23,56,2,2,3,11,14,4,2,2
ABCF1_6,NT_167249.2,1872199,1872317,+,3405,0,0,8,10,0,10,0,9,2,0,2,0,1
ABCF2,NC_000007.14,151211484,151214191,-,4527,94,91,89,99,163,106,76,78,75,98,73,51,131
ABCF2-H2BK1,NC_000007.14,151207837,151208107,-,2316,4,1,0,1,6,2,0,2,0,5,0,0,4
ABCF3,NC_000003.12,184186199,184186280,+,2487,859,989,956,901,700,836,648,834,936,880,962,604,896
ABCG1,NC_000021.9,42199689,42199849,+,4269,261,374,259,360,879,692,983,412,358,490,414,202,413
ABCG2,NC_000004.12,88090264,88092381,-,5548,200,125,266,136,80,76,48,286,103,98,326,284,187
ABCG4,NC_000011.10,119149052,119149280,+,4537,4,2,0,3,2,0,2,0,0,2,1,0,6
ABCG5,NC_000002.12,43806211,43806411,-,4221,16,26,23,10,11,12,17,18,6,24,20,10,7
ABCG8,NC_000002.12,43838971,43839116,+,7180,11,28,9,32,13,26,5,26,17,12,10,2,19
ABHD1,NC_000002.12,27123815,27124062,+,1444,45,49,20,52,45,52,53,121,172,119,164,63,113
ABHD10,NC_000003.12,111979026,111979203,+,2656,658,683,537,580,680,842,1033,550,729,627,812,715,603
ABHD11,NC_000007.14,73736094,73736691,-,1935,389,368,263,368,318,361,270,397,329,307,308,242,330
ABHD12,NC_000020.11,25294743,25295030,-,4561,608,572,450,507,800,699,501,780,638,592,641,625,453
ABHD12B,NC_000014.9,50872053,50872278,+,5552,9,5,2,12,10,35,19,16,4,4,7,4,15
ABHD13,NC_000013.11,108218392,108218659,+,5521,382,425,276,282,592,522,527,330,335,396,334,383,460
ABHD14A,NC_000003.12,51975064,51975204,+,1066,90,132,73,92,97,130,61,101,44,60,74,70,70
ABHD14A-ACY1,NC_000003.12,51975064,51975204,+,1836,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD14B,NC_000003.12,51968510,51969605,-,2437,947,928,931,934,544,742,678,778,779,727,803,442,524
ABHD15,NC_000017.11,29560547,29563086,-,3492,195,256,193,240,181,254,88,267,219,188,171,155,173
ABHD16A,NC_000006.12,31686955,31687295,-,2324,0,2,0,0,0,12,2,0,3,2,3,0,0
ABHD16A_1,NT_113891.3,3164245,3164585,-,2324,2,2,0,0,6,24,0,4,0,0,0,2,2
ABHD16A_2,NT_167245.2,2934719,2935059,-,2324,4,5,0,0,6,2,38,0,30,3,4,0,95
ABHD16A_3,NT_167246.2,2992002,2992342,-,2324,2,3,0,0,6,2,4,2,4,5,0,2,2
ABHD16A_4,NT_167247.2,3028827,3029167,-,2324,0,5,32,0,36,0,2,2,2,1,0,0,0
ABHD16A_5,NT_167248.2,2942780,2943119,-,2323,0,2,0,0,4,2,0,4,0,0,2,8,0
ABHD16A_6,NT_167249.2,2986241,2986580,-,2323,4,5,8,27,5,7,4,8,0,4,2,2,8
ABHD16B,NC_000020.11,63861498,63862988,+,1491,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD17A,NC_000019.10,1876810,1877425,-,4786,1211,1207,841,1176,959,1154,756,1012,765,873,1032,668,776
ABHD17B,NC_000009.12,71862452,71862607,-,7593,287,366,321,351,530,593,495,336,272,412,348,265,434
ABHD17C,NC_000015.10,80695310,80696019,+,2361,536,611,553,400,453,636,558,328,436,260,389,285,330
ABHD18,NC_000004.12,127965406,127965606,+,7676,520,511,420,485,522,630,517,495,391,438,349,436,414
ABHD2,NC_000015.10,89040998,89041300,+,10457,2177,1988,1659,1505,3277,2720,1939,2237,1825,1813,1856,1569,2077
ABHD3,NC_000018.10,21650901,21651763,-,2800,219,190,125,170,355,376,293,298,185,243,179,201,199
ABHD4,NC_000014.9,22598300,22598329,+,3244,239,166,254,189,209,256,171,307,232,173,249,56,232
ABHD5,NC_000003.12,43690870,43691039,+,6270,1230,1208,1106,931,1378,1170,895,995,1276,950,785,990,1459
ABHD6,NC_000003.12,58237792,58237916,+,2321,66,56,60,60,129,157,94,48,60,82,51,61,60
ABHD8,NC_000019.10,17292131,17292831,-,2042,156,154,140,181,100,180,132,184,155,133,204,124,108
ABI1,NC_000010.11,26746596,26748745,-,5849,1934,2152,1880,1580,2105,2448,2048,1491,1637,1773,1849,1473,1348
ABI2,NC_000002.12,203328394,203328631,+,7438,746,762,525,685,1085,1044,685,859,773,835,800,634,839
ABI3,NC_000017.11,49210707,49210841,+,1650,14,29,25,33,145,95,37,72,46,59,74,56,94
ABI3BP,NC_000003.12,100749156,100750610,-,7414,465,321,395,548,1014,688,295,652,430,500,530,371,465
ABITRAM,NC_000009.12,108934400,108934565,+,2139,202,231,226,232,148,165,149,185,216,217,197,116,213
ABL1,NC_000009.12,130713043,130714455,+,6991,2315,2472,1811,2074,1561,2051,1064,1806,1566,1725,1657,892,1682
ABL2,NC_000001.11,179099330,179109441,-,17513,1795,2465,1409,1613,2540,1669,1155,1393,1550,1773,1621,1444,1639
ABLIM1,NC_000010.11,114431110,114436373,-,10163,9376,9526,8465,7812,6619,9604,7750,8474,9786,9374,11213,7533,7066
ABLIM2,NC_000004.12,7965327,7967103,-,5417,18,14,32,29,65,25,18,31,20,38,7,15,42
ABLIM3,NC_000005.10,149141493,149141654,+,7968,216,179,197,132,257,115,58,114,52,100,94,48,82
ABO,NC_000009.12,133250401,133256356,-,6339,11,2,10,9,101,167,58,10,11,10,22,38,43
ABO_1,NW_009646201.1,76358,82449,-,6478,0,15,2,3,39,91,47,3,9,14,4,19,25
ABR,NC_000017.11,1003519,1006169,-,10022,188,231,167,182,246,293,180,190,137,314,170,79,187
ABR-AS1,NC_000017.11,1181627,1181928,+,994,0,0,0,0,0,0,0,0,0,0,0,0,0
ABR-AS1_1,NT_187613.1,226099,226400,+,994,5,0,4,0,4,4,2,1,1,2,3,0,8
ABRA,NC_000008.11,106759483,106761514,-,2754,29,40,35,28,17,52,34,32,18,36,51,33,36
ABRACL,NC_000006.12,139028745,139028875,+,1103,89,102,147,66,273,213,208,143,81,160,135,169,112
ABRAXAS1,NC_000004.12,83459517,83462902,-,4346,142,132,160,163,161,200,172,171,139,160,171,125,127
ABRAXAS2,NC_000010.11,124801819,124801901,+,3320,303,307,277,240,410,418,372,296,298,369,363,245,341
ABR_1,NT_187613.1,42766,45416,-,6692,18,16,36,37,24,21,90,16,19,10,30,6,44
ABR_2,NT_187664.1,42766,45416,-,5647,221,107,237,48,109,227,53,49,32,65,37,20,25
ABT1,NC_000006.12,26596953,26597223,+,2943,31,19,59,31,57,31,51,0,37,12,69,40,12
ABT1_1,NW_025791780.1,143151,143421,+,2943,39,77,23,40,27,87,36,81,57,71,34,54,64
ABTB1,NC_000003.12,127672952,127673081,+,2008,282,242,281,262,133,163,71,421,266,257,275,206,242
ABTB2,NC_000011.10,34150987,34152584,-,4905,524,499,318,515,315,544,260,671,434,541,508,277,409
ABTB3,NC_000012.12,107318434,107320075,+,7458,556,472,385,509,264,304,125,419,432,453,358,402,574
ACAA1,NC_000003.12,38122715,38123122,-,2268,345,303,366,345,176,323,223,512,408,360,386,257,402
ACAA2,NC_000018.10,49782164,49783931,-,2926,199,313,149,197,242,91,80,177,252,160,244,252,215
ACACA,NC_000017.11,37084992,37087439,-,12232,79,56,86,31,90,92,72,53,38,100,197,107,88
ACACA_1,NT_187614.1,1320992,1323439,-,11427,80,62,61,95,136,152,178,29,63,79,50,45,28
ACACB,NC_000012.12,109111189,109111472,+,14467,5045,6524,5001,4584,1624,2481,1116,3389,3886,2994,3814,2385,2641
ACAD10,NC_000012.12,111686053,111686239,+,4099,656,761,621,802,639,705,506,826,624,684,828,567,693
ACAD11,NC_000003.12,132558141,132559085,-,3841,0,0,0,0,0,0,0,0,0,0,0,0,0
ACAD8,NC_000011.10,134253568,134253709,+,3398,460,564,482,569,452,912,699,425,441,476,516,481,526
ACAD9,NC_000003.12,128879620,128879841,+,2646,733,775,703,765,592,640,418,728,584,638,739,433,648
ACAD9-DT,NC_000003.12,128871913,128872405,-,936,16,10,10,19,15,38,9,12,18,16,23,11,23
ACADL,NC_000002.12,210187923,210189054,-,3387,467,407,309,319,264,367,331,390,481,448,311,250,331
ACADM,NC_000001.11,75724709,75724817,+,2372,654,687,536,448,560,695,685,425,719,658,521,754,704
ACADS,NC_000012.12,120725826,120725931,+,1999,566,703,470,578,252,460,239,471,567,450,653,431,438
ACADSB,NC_000010.11,123009006,123009071,+,5848,947,939,784,774,630,1101,519,692,884,880,998,824,648
ACADVL,NC_000017.11,7217125,7217173,+,2505,5302,5388,4682,4778,3709,4534,3009,5599,4858,4229,4829,4077,4579
ACAN,NC_000015.10,88803436,88803809,+,9320,16,16,7,18,186,13,2,2,11,13,10,8,10
ACAP1,NC_000017.11,7336529,7336787,+,2560,0,0,0,0,0,0,0,0,0,0,0,0,0
ACAP1_1,NW_021160020.1,94894,95152,+,2560,24,10,8,9,15,26,17,38,21,31,21,6,20
ACAP2,NC_000003.12,195274745,195279428,-,13606,1302,1681,1252,1347,2283,2237,1673,1483,1331,1649,1263,1487,1162
ACAP3,NC_000001.11,1292391,1293708,-,3934,1622,1428,1329,1569,1106,1445,777,1820,1200,1299,1808,1069,1400
ACAT1,NC_000011.10,108116705,108116902,+,2297,1539,2015,1495,1105,1174,1768,1405,1344,1656,1929,1967,1519,1517
ACAT2,NC_000006.12,159762045,159762142,+,1821,117,183,147,140,182,266,193,148,121,158,124,160,139
ACBD3,NC_000001.11,226144679,226146821,-,3584,583,713,514,481,894,999,1090,419,522,587,682,472,586
ACBD3-AS1,NC_000001.11,226148003,226148068,+,441,20,20,8,9,20,27,27,18,8,26,19,7,7
ACBD4,NC_000017.11,45131597,45131716,+,4522,344,489,366,435,213,335,217,351,343,377,386,242,347
ACBD5,NC_000010.11,27182838,27184315,-,6424,472,514,433,399,518,728,555,419,449,495,499,448,387
ACBD6,NC_000001.11,180269653,180281386,-,13158,308,474,324,341,496,478,415,394,359,358,420,295,403
ACBD7,NC_000010.11,15075475,15078603,-,3370,299,409,323,220,94,112,124,85,95,114,139,50,121
ACBD7-DCLRE1CP1,NC_000010.11,15015072,15015471,-,997,0,0,1,0,0,2,1,0,1,0,4,2,0
ACCS,NC_000011.10,44066270,44067296,+,6466,551,631,541,826,412,963,393,653,547,589,631,473,546
ACCSL,NC_000011.10,43921068,43921171,+,2320,13,5,11,15,6,6,3,7,0,8,1,11,4
ACD,NC_000016.10,67657512,67657684,-,1527,132,110,97,157,102,126,79,146,108,99,78,72,72
ACE,NC_000017.11,63477061,63477343,+,5340,217,113,142,177,422,503,250,201,221,181,152,76,100
ACE2,NC_000023.11,15518197,15518979,-,4594,31,21,20,39,95,81,82,59,42,50,31,52,35
ACE2-DT,NC_000023.11,15602881,15602981,+,574,0,0,0,2,0,0,0,0,0,0,0,2,0
ACER1,NC_000019.10,6306142,6306882,-,1746,3,0,2,7,5,2,2,7,0,8,3,0,1
ACER2,NC_000009.12,19409009,19409192,+,3452,156,238,181,237,137,147,89,89,170,125,109,103,112
ACER3,NC_000011.10,76860918,76861079,+,7791,232,188,162,212,841,923,975,296,158,284,206,256,367
ACER3-AS1,NC_000011.10,76955546,76955585,-,1133,11,13,4,13,80,111,91,1,1,13,4,5,13
ACHE,NC_000007.14,100889994,100890335,-,3512,143,206,81,217,77,122,52,219,85,147,138,75,140
ACIN1,NC_000014.9,23058564,23059474,-,8632,1197,1190,1116,1222,1733,1669,1111,1664,1232,1345,1212,820,1098
ACKR1,NC_000001.11,159204875,159204980,+,1196,81,59,54,70,349,178,36,36,31,72,53,20,129
ACKR2,NC_000003.12,42809445,42809532,+,2990,17,33,22,50,45,52,30,53,62,48,48,55,183
ACKR3,NC_000002.12,236537122,236537347,+,2948,75,85,83,120,169,153,97,46,29,72,87,73,80
ACKR4,NC_000003.12,132597270,132597323,+,2562,234,321,184,154,75,75,54,90,145,78,48,88,46
ACLY,NC_000017.11,41866917,41867904,-,4557,1202,1451,1107,1257,3107,3667,3596,1486,1017,1623,1425,1069,1717
ACMSD,NC_000002.12,134838616,134838739,+,3589,58,62,32,50,27,41,42,53,61,56,51,15,17
ACO1,NC_000009.12,32384643,32384735,+,7565,1268,1453,1208,1064,997,1246,846,1082,924,1120,950,721,1163
ACO2,NC_000022.11,41469117,41469182,+,2734,1220,1238,992,1240,697,918,827,1400,1104,1353,1283,822,1194
ACOD1,NC_000013.11,76948511,76948570,+,2163,0,4,0,4,0,0,0,0,0,0,0,0,0
ACOT1,NC_000014.9,73490933,73493323,+,4437,41,100,68,49,47,96,26,54,57,69,51,46,24
ACOT11,NC_000001.11,54548228,54548342,+,7742,2282,1974,1510,1573,1340,2146,1624,1871,1409,904,1351,985,849
ACOT12,NC_000005.10,81308609,81311026,-,4732,7,31,29,9,29,44,15,13,19,33,12,12,31
ACOT13,NC_000006.12,24667077,24667344,+,4330,305,445,263,289,500,482,499,340,333,442,469,258,332
ACOT2,NC_000014.9,73567620,73568129,+,2411,275,297,262,353,321,321,236,385,222,316,394,272,196
ACOT4,NC_000014.9,73591873,73592416,+,1465,23,35,27,26,13,21,19,8,6,35,21,12,29
ACOT6,NC_000014.9,73610945,73611041,+,1699,13,16,17,12,12,5,10,0,14,11,7,2,10
ACOT7,NC_000001.11,6264272,6264695,-,2350,78,43,73,66,106,76,24,62,45,42,44,24,66
ACOT8,NC_000020.11,45841721,45841956,-,1236,179,142,162,138,169,181,171,218,181,153,194,133,160
ACOT9,NC_000023.11,23701055,23703982,-,4318,450,472,323,315,634,577,442,408,239,361,321,409,457
ACOX1,NC_000017.11,75941507,75946795,-,7652,2512,2590,1930,2042,2712,3372,3405,1832,2076,2120,2280,2038,2137
ACOX2,NC_000003.12,58505136,58505286,-,3232,290,192,229,277,136,301,128,229,134,116,113,52,57
ACOX3,NC_000004.12,8355305,8364748,-,19000,2021,2586,1718,1937,1907,3157,1453,1956,2015,1752,2325,1389,1830
ACOXL,NC_000002.12,110732573,110732774,+,26137,28,30,17,44,94,66,28,71,72,40,44,60,47
ACOXL-AS1,NC_000002.12,111098341,111101143,-,3212,0,0,0,5,10,3,2,2,4,2,4,5,2
ACP1,NC_000002.12,264947,265007,+,1805,1029,1222,1016,822,841,976,1021,884,926,971,1040,825,815
ACP2,NC_000011.10,47239302,47240249,-,2283,997,1047,819,1020,692,1147,701,933,938,835,922,582,837
ACP3,NC_000003.12,132317407,132317576,+,3814,360,597,473,280,289,403,536,406,322,342,506,187,401
ACP4,NC_000019.10,50790415,50790525,+,1342,29,19,10,31,28,16,2,29,10,22,20,17,11
ACP5,NC_000019.10,11574660,11575252,-,2066,88,92,95,141,569,347,238,183,174,155,143,157,127
ACP6,NC_000001.11,147629658,147631065,-,9474,303,400,469,330,271,537,420,500,369,400,394,220,230
ACP7,NC_000019.10,39083788,39083957,+,3731,1,0,2,2,8,7,4,0,6,2,0,3,5
ACR,NC_000022.11,50738204,50738312,+,1430,0,0,0,0,0,0,0,0,0,0,0,0,0
ACRBP,NC_000012.12,6638075,6638404,-,1905,15,6,6,14,36,15,13,24,0,7,16,5,2
ACRV1,NC_000011.10,125671522,125672717,-,1936,0,0,0,15,7,0,0,0,0,4,0,0,2
ACR_1,NW_015148969.2,74324,74432,+,1430,2,3,4,2,0,0,0,4,2,0,2,2,2
ACSBG1,NC_000015.10,78167468,78168485,-,14810,56,28,35,101,14,15,11,47,18,20,18,13,44
ACSBG2,NC_000019.10,6135633,6135663,+,3097,14,18,15,9,22,14,14,25,13,21,15,10,12
ACSF2,NC_000017.11,50426218,50426389,+,2468,814,463,492,330,219,233,253,393,563,466,535,423,332
ACSF3,NC_000016.10,89093852,89093992,+,4737,553,626,463,602,536,521,366,557,504,464,531,390,474
ACSL1,NC_000004.12,184755595,184757265,-,4760,8765,7826,6829,6295,3240,3000,5023,4962,6680,7188,5486,4866,4549
ACSL3,NC_000002.12,222861036,222861258,+,5577,702,689,548,803,4988,6178,6243,808,796,1084,1045,835,1219
ACSL3-AS1,NC_000002.12,222916654,222917789,-,1329,49,26,25,47,238,275,391,40,26,51,36,50,37
ACSL4,NC_000023.11,109641335,109644186,-,5329,488,394,302,331,1148,574,466,378,402,571,452,554,798
ACSL5,NC_000010.11,112374116,112374269,+,3772,142,97,137,98,185,93,70,107,95,136,106,89,137
ACSL6,NC_000005.10,131949973,131954371,-,8147,38,12,13,44,30,46,38,37,17,42,39,21,27
