"human_gene","human_id","mouse_gene","mouse_id","phenotype","extra","n_mouse","n_human","ortholog_type"
"ABCG2",9429,"Abcg2","MGI:1347061","MP:0005367, MP:0005370, MP:0005376, MP:0005381, MP:0005384, MP:0005387, MP:0005391, MP:0005397, MP:0010771",NA,2,1,"one-to-many (human-to-mouse)"
"ABCG2",9429,"Abcg3","MGI:1351624","",NA,2,1,"one-to-many (human-to-mouse)"
"ABCG4",64137,"Abcg4","MGI:1890594","MP:0005376",NA,1,1,"one-to-one"
"ABCG5",64240,"Abcg5","MGI:1351659","MP:0005369, MP:0005370, MP:0005375, MP:0005376, MP:0005378, MP:0005384, MP:0005385, MP:0005386, MP:0005387, MP:0005389, MP:0005397, MP:0010768",NA,1,1,"one-to-one"
"ABCG8",64241,"Abcg8","MGI:1914720","MP:0005369, MP:0005370, MP:0005375, MP:0005376, MP:0005378, MP:0005385, MP:0005386, MP:0005387, MP:0005388, MP:0005389, MP:0005391, MP:0005397",NA,1,1,"one-to-one"
"ABHD1",84696,"Abhd1","MGI:1931013","",NA,1,1,"one-to-one"
"ABHD10",55347,"Abhd10","MGI:2442422","MP:0005387, MP:0005389, MP:0005397",NA,1,1,"one-to-one"
"ABHD11",83451,"Abhd11","MGI:1916008","MP:0005367, MP:0005375, MP:0005376, MP:0005378, MP:0005381, MP:0005391",NA,1,1,"one-to-one"
"ABHD12",26090,"Abhd12","MGI:1923442","MP:0003631, MP:0005369, MP:0005376, MP:0005377, MP:0005386, MP:0005387, MP:0005397",NA,1,1,"one-to-one"
"ABHD12B",145447,"Abhd12b","MGI:2685650","MP:0005376",NA,1,1,"one-to-one"
"ABHD13",84945,"Abhd13","MGI:1916154","MP:0005386, MP:0005387, MP:0005391, MP:0005397",NA,1,1,"one-to-one"
"ABHD14A",25864,"Abhd14a","MGI:1915894","MP:0005376",NA,1,1,"one-to-one"
"ABHD14B",84836,"Abhd14b","MGI:1923741","MP:0005386",NA,1,1,"one-to-one"
"ABHD15",116236,"Abhd15","MGI:1914727","MP:0005386, MP:0005391",NA,1,1,"one-to-one"
"ABHD16A",7920,"Abhd16a","MGI:99476","MP:0005375, MP:0005376, MP:0005378, MP:0005387, MP:0005389, MP:0005397, MP:0010768",NA,1,1,"one-to-one"
"ABHD16B",140701,"Abhd16b","MGI:3607711","",NA,1,1,"one-to-one"
"ABHD17A",81926,"Abhd17a","MGI:106388","MP:0003631, MP:0005376",NA,1,1,"one-to-one"
"ABHD17B",51104,"Abhd17b","MGI:1917816","MP:0005386, MP:0005391",NA,1,1,"one-to-one"
"ABHD17C",58489,"Abhd17c","MGI:1917428","MP:0005367, MP:0005370, MP:0005376, MP:0005378, MP:0005385, MP:0005386, MP:0005387, MP:0005391, MP:0005397, MP:0010771",NA,1,1,"one-to-one"
"ABHD18",80167,"Abhd18","MGI:1915468","",NA,1,1,"one-to-one"
"ABHD2",11057,"Abhd2","MGI:1914344","MP:0005376, MP:0005379, MP:0005384, MP:0005385, MP:0005389",NA,1,1,"one-to-one"
"ABHD3",171586,"Abhd3","MGI:2147183","",NA,1,1,"one-to-one"
"ABHD4",63874,"Abhd4","MGI:1915938","MP:0005376, MP:0005386",NA,1,1,"one-to-one"
"ABHD5",51099,"Abhd5","MGI:1914719","MP:0005369, MP:0005370, MP:0005376, MP:0005378, MP:0005379, MP:0005382, MP:0005384, MP:0005385, MP:0005387, MP:0005389, MP:0005390, MP:0005397, MP:0010768, MP:0010771",NA,1,1,"one-to-one"
"ABHD6",57406,"Abhd6","MGI:1913332","MP:0005369, MP:0005370, MP:0005375, MP:0005376, MP:0005378, MP:0005379, MP:0005384, MP:0005386, MP:0005391",NA,1,1,"one-to-one"
"ABHD8",79575,"Abhd8","MGI:1918946","MP:0005375, MP:0005376, MP:0005378, MP:0005386",NA,1,1,"one-to-one"
"ABI1",10006,"Abi1","MGI:104913","MP:0003631, MP:0005369, MP:0005376, MP:0005378, MP:0005380, MP:0005385, MP:0010768",NA,1,1,"one-to-one"
"ABI2",10152,"Abi2","MGI:106913","MP:0001186, MP:0003631, MP:0005367, MP:0005376, MP:0005379, MP:0005386, MP:0005389, MP:0005391",NA,1,1,"one-to-one"
"ABI3",51225,"Abi3","MGI:1913860","",NA,1,1,"one-to-one"
"ABI3BP",25890,"Abi3bp","MGI:2444583","MP:0005369, MP:0005376, MP:0005378, MP:0005382, MP:0005384, MP:0005385, MP:0005386, MP:0005390, MP:0005397, MP:0010768",NA,1,1,"one-to-one"
"ABITRAM",54942,"Abitram","MGI:2677850","MP:0005369, MP:0005385, MP:0005390, MP:0005391",NA,1,1,"one-to-one"
"ABL1",25,"Abl1","MGI:87859","MP:0002006, MP:0003631, MP:0005369, MP:0005370, MP:0005376, MP:0005378, MP:0005379, MP:0005381, MP:0005382, MP:0005384, MP:0005385, MP:0005387, MP:0005388, MP:0005390, MP:0005391, MP:0005397, MP:0010768",NA,1,1,"one-to-one"
"ABL2",27,"Abl2","MGI:87860","MP:0003631, MP:0005378, MP:0005386, MP:0005389",NA,1,1,"one-to-one"
"ABLIM1",3983,"Ablim1","MGI:1194500","",NA,1,1,"one-to-one"
"ABLIM2",84448,"Ablim2","MGI:2385758","MP:0005386",NA,1,1,"one-to-one"
"ABLIM3",22885,"Ablim3","MGI:2442582","MP:0005386, MP:0005387, MP:0005391, MP:0005397",NA,1,1,"one-to-one"
"ABO",28,"Abo","MGI:2135738","MP:0005379, MP:0005389, MP:0010771",NA,1,1,"one-to-one"
"ABR",29,"Abr","MGI:107771","",NA,1,1,"one-to-one"
"ABRA",137735,"Abra","MGI:2444891","MP:0005376, MP:0005385",NA,1,1,"one-to-one"
"ABRACL",58527,"Abracl","MGI:1920362","",NA,1,1,"one-to-one"
"ABRAXAS1",84142,"Abraxas1","MGI:1917931","MP:0002006, MP:0005376, MP:0005384, MP:0005388, MP:0010768",NA,1,1,"one-to-one"
"ABRAXAS2",23172,"Abraxas2","MGI:1926116","",NA,1,1,"one-to-one"
"ABT1",29777,"Abt1","MGI:1353636","",NA,1,1,"one-to-one"
"ABTB1",80325,"Abtb1","MGI:1933148","MP:0005376, MP:0005378, MP:0005385, MP:0005387, MP:0005397, MP:0010771",NA,1,1,"one-to-one"
"ABTB2",25841,"Abtb2","MGI:2139365","MP:0005370, MP:0005386, MP:0005387, MP:0005397, MP:0010768",NA,1,1,"one-to-one"
"ABTB3",121551,"Abtb3","MGI:1921257","MP:0003631, MP:0005386",NA,1,1,"one-to-one"
"ACAA1",30,"Acaa1a","MGI:2148491","",NA,2,1,"one-to-many (human-to-mouse)"
"ACAA1",30,"Acaa1b","MGI:3605455","",NA,2,1,"one-to-many (human-to-mouse)"
"ACAA2",10449,"Acaa2","MGI:1098623","",NA,1,1,"one-to-one"
"ACACA",31,"Acaca","MGI:108451","MP:0005370, MP:0005376, MP:0005378, MP:0005380, MP:0005387, MP:0005397, MP:0010768",NA,1,1,"one-to-one"
"ACACB",32,"Acacb","MGI:2140940","MP:0005369, MP:0005370, MP:0005375, MP:0005376, MP:0005378, MP:0005384, MP:0005385, MP:0005386, MP:0010771",NA,1,1,"one-to-one"
"ACAD10",80724,"Acad10","MGI:1919235","MP:0005387, MP:0005397",NA,2,1,"one-to-many (human-to-mouse)"
"ACAD10",80724,"Acad12","MGI:2443320","MP:0005376",NA,2,1,"one-to-many (human-to-mouse)"
"ACAD11",84129,"Acad11","MGI:2143169","MP:0005377, MP:0005385, MP:0005386",NA,1,1,"one-to-one"
"ACAD8",27034,"Acad8","MGI:1914198","MP:0005367, MP:0005370, MP:0005375, MP:0005376, MP:0005384",NA,1,1,"one-to-one"
"ACAD9",28976,"Acad9","MGI:1914272","MP:0005369, MP:0005376, MP:0005384, MP:0005385, MP:0005386, MP:0010768",NA,1,1,"one-to-one"
"ACADL",33,"Acadl","MGI:87866","MP:0005367, MP:0005370, MP:0005376, MP:0005385, MP:0005389, MP:0010768",NA,1,1,"one-to-one"
"ACADM",34,"Acadm","MGI:87867","MP:0005369, MP:0005370, MP:0005371, MP:0005376, MP:0005385, MP:0005386, MP:0005390, MP:0010768, MP:0010771",NA,1,1,"one-to-one"
"ACADS",35,"Acads","MGI:87868","MP:0005367, MP:0005369, MP:0005370, MP:0005376, MP:0005384, MP:0005386",NA,1,1,"one-to-one"
"ACADSB",36,"Acadsb","MGI:1914135","MP:0001186, MP:0005378, MP:0005382, MP:0005386, MP:0005391, MP:0010771",NA,1,1,"one-to-one"
"ACADVL",37,"Acadvl","MGI:895149","MP:0002006, MP:0005369, MP:0005370, MP:0005375, MP:0005376, MP:0005378, MP:0005384, MP:0005385, MP:0005386, MP:0010768",NA,1,1,"one-to-one"
"ACAN",176,"Acan","MGI:99602","MP:0003631, MP:0005369, MP:0005370, MP:0005371, MP:0005376, MP:0005377, MP:0005378, MP:0005381, MP:0005382, MP:0005385, MP:0005386, MP:0005387, MP:0005388, MP:0005390, MP:0005397, MP:0010768",NA,1,1,"one-to-one"
"ACAP1",9744,"Acap1","MGI:2388270","MP:0005376",NA,1,1,"one-to-one"
"ACAP2",23527,"Acap2","MGI:1925868","MP:0005386",NA,1,1,"one-to-one"
"ACAP3",116983,"Acap3","MGI:2153589","MP:0005378",NA,1,1,"one-to-one"
"ACAT1",38,"Acat1","MGI:87870","MP:0005386",NA,1,1,"one-to-one"
"ACAT2",39,"Acat2","MGI:87871","MP:0005376, MP:0005378, MP:0005380, MP:0005386, MP:0010768",NA,2,1,"one-to-many (human-to-mouse)"
"ACAT2",39,"Acat3","MGI:109182","",NA,2,1,"one-to-many (human-to-mouse)"
"ACBD3",64746,"Acbd3","MGI:2181074","MP:0005376, MP:0005386, MP:0005397, MP:0010768",NA,1,1,"one-to-one"
"ACBD4",79777,"Acbd4","MGI:1914381","",NA,1,1,"one-to-one"
"ACBD5",91452,"Acbd5","MGI:1921409","MP:0003631, MP:0005370, MP:0005375, MP:0005376, MP:0005378, MP:0005384, MP:0005386, MP:0005387, MP:0005389, MP:0005390, MP:0005391, MP:0005397",NA,1,1,"one-to-one"
"ACBD6",84320,"Acbd6","MGI:1919732","",NA,1,1,"one-to-one"
"ACBD7",414149,"Acbd7","MGI:1925495","",NA,1,1,"one-to-one"
"ACCS",84680,"Accs","MGI:1919717","",NA,1,1,"one-to-one"
"ACCSL",390110,"Accsl","MGI:3584519","",NA,1,1,"one-to-one"
"ACD",65057,"Acd","MGI:87873","MP:0001186, MP:0002006, MP:0005367, MP:0005371, MP:0005376, MP:0005377, MP:0005378, MP:0005379, MP:0005381, MP:0005382, MP:0005384, MP:0005386, MP:0005389, MP:0010768, MP:0010771",NA,1,1,"one-to-one"
"ACE",1636,"Ace","MGI:87874","MP:0005367, MP:0005375, MP:0005376, MP:0005378, MP:0005379, MP:0005380, MP:0005384, MP:0005385, MP:0005386, MP:0005387, MP:0005389, MP:0005397, MP:0010768",NA,1,1,"one-to-one"
"ACE2",59272,"Ace2","MGI:1917258","MP:0001186, MP:0005369, MP:0005375, MP:0005376, MP:0005378, MP:0005379, MP:0005381, MP:0005384, MP:0005385, MP:0005387, MP:0005388, MP:0005389, MP:0005391, MP:0005397, MP:0010768, MP:0010771",NA,1,1,"one-to-one"
"ACE3P",100129123,"Ace3","MGI:3644400","",NA,1,1,"one-to-one"
"ACER1",125981,"Acer1","MGI:2181962","MP:0005375, MP:0005376, MP:0005378, MP:0005379, MP:0005384, MP:0005386, MP:0005387, MP:0005391, MP:0005397, MP:0010771",NA,1,1,"one-to-one"
"ACER2",340485,"Acer2","MGI:1920932","MP:0005376",NA,1,1,"one-to-one"
"ACER3",55331,"Acer3","MGI:1913440","MP:0003631, MP:0005376, MP:0005386",NA,1,1,"one-to-one"
"ACHE",43,"Ache","MGI:87876","MP:0003631, MP:0005369, MP:0005375, MP:0005376, MP:0005377, MP:0005378, MP:0005382, MP:0005385, MP:0005386, MP:0005387, MP:0005388, MP:0005389, MP:0005391, MP:0005397, MP:0010768",NA,1,1,"one-to-one"
"ACIN1",22985,"Acin1","MGI:1891824","",NA,1,1,"one-to-one"
"ACKR1",2532,"Ackr1","MGI:1097689","MP:0005376, MP:0005387, MP:0005390",NA,1,1,"one-to-one"
"ACKR2",1238,"Ackr2","MGI:1891697","MP:0005387, MP:0010771",NA,1,1,"one-to-one"
"ACKR3",57007,"Ackr3","MGI:109562","MP:0005369, MP:0005376, MP:0005378, MP:0005385, MP:0005386, MP:0005387, MP:0005388, MP:0005391, MP:0005397, MP:0010768",NA,1,1,"one-to-one"
"ACKR4",51554,"Ackr4","MGI:2181676","MP:0005376, MP:0005378, MP:0005384, MP:0005387, MP:0005397",NA,1,1,"one-to-one"
"ACLY",47,"Acly","MGI:103251","MP:0010768",NA,1,1,"one-to-one"
"ACMSD",130013,"Acmsd","MGI:2386323","MP:0005376, MP:0005390, MP:0005397",NA,1,1,"one-to-one"
"ACO1",48,"Aco1","MGI:87879","MP:0005370, MP:0005376, MP:0005381, MP:0005387, MP:0005391, MP:0005397, MP:0010768",NA,1,1,"one-to-one"
"ACO2",50,"Aco2","MGI:87880","MP:0010768",NA,1,1,"one-to-one"
"ACOD1",730249,"Acod1","MGI:103206","MP:0005386, MP:0005387, MP:0005397",NA,1,1,"one-to-one"
"ACOT1",641371,"Acot1","MGI:1349396","",NA,4,2,"many-to-many"
"ACOT1",641371,"Acot2","MGI:2159605","MP:0005386, MP:0005397",NA,4,2,"many-to-many"
"ACOT1",641371,"Acot3","MGI:2159619","MP:0005367, MP:0005378, MP:0005386, MP:0005391",NA,4,2,"many-to-many"
"ACOT1",641371,"Acot5","MGI:2384969","MP:0005376, MP:0005397",NA,4,2,"many-to-many"
"ACOT11",26027,"Acot11","MGI:1913736","MP:0005370, MP:0005375, MP:0005376, MP:0005378, MP:0005384, MP:0005386, MP:0005387",NA,1,1,"one-to-one"
"ACOT12",134526,"Acot12","MGI:1921406","MP:0002006, MP:0005369, MP:0005370, MP:0005376, MP:0005385, MP:0005386",NA,1,1,"one-to-one"
"ACOT13",55856,"Acot13","MGI:1914084","MP:0005370, MP:0005375, MP:0005376, MP:0005378, MP:0005381, MP:0005386",NA,1,1,"one-to-one"
"ACOT2",10965,"Acot1","MGI:1349396","",NA,4,2,"many-to-many"
"ACOT2",10965,"Acot2","MGI:2159605","MP:0005386, MP:0005397",NA,4,2,"many-to-many"
"ACOT2",10965,"Acot3","MGI:2159619","MP:0005367, MP:0005378, MP:0005386, MP:0005391",NA,4,2,"many-to-many"
"ACOT2",10965,"Acot5","MGI:2384969","MP:0005376, MP:0005397",NA,4,2,"many-to-many"
"ACOT4",122970,"Acot4","MGI:2159621","MP:0005367",NA,1,1,"one-to-one"
"ACOT6",641372,"Acot6","MGI:1921287","",NA,1,1,"one-to-one"
"ACOT7",11332,"Acot7","MGI:1917275","MP:0003631, MP:0005370, MP:0005375, MP:0005376, MP:0005378, MP:0005386",NA,1,1,"one-to-one"
"ACOT8",10005,"Acot8","MGI:2158201","MP:0005378",NA,1,1,"one-to-one"
"ACOT9",23597,"Acot10","MGI:1928940","",NA,2,1,"one-to-many (human-to-mouse)"
"ACOT9",23597,"Acot9","MGI:1928939","",NA,2,1,"one-to-many (human-to-mouse)"
"ACOX1",51,"Acox1","MGI:1330812","MP:0002006, MP:0005370, MP:0005376, MP:0005378, MP:0005379, MP:0005384, MP:0005386, MP:0005387, MP:0005389",NA,1,1,"one-to-one"
"ACOX2",8309,"Acox2","MGI:1934852","MP:0002006, MP:0005370, MP:0005379, MP:0005386, MP:0005387",NA,1,1,"one-to-one"
"ACOX3",8310,"Acox3","MGI:1933156","MP:0005376, MP:0005391",NA,1,1,"one-to-one"
"ACOXL",55289,"Acoxl","MGI:1921371","MP:0005370, MP:0005376, MP:0005378, MP:0005379, MP:0005385, MP:0005387, MP:0005391, MP:0005397, MP:0010771",NA,1,1,"one-to-one"
"ACP1",52,"Acp1","MGI:87881","MP:0005369, MP:0005376, MP:0005378, MP:0005384, MP:0005385, MP:0005387",NA,1,1,"one-to-one"
"ACP2",53,"Acp2","MGI:87882","MP:0003631, MP:0005367, MP:0005378, MP:0005384, MP:0005386, MP:0005387, MP:0005390, MP:0005397, MP:0010771",NA,1,1,"one-to-one"
"ACP3",55,"Acp3","MGI:1928480","MP:0002006, MP:0005379, MP:0005386, MP:0005389",NA,1,1,"one-to-one"
"ACP4",93650,"Acp4","MGI:3644563","MP:0005378, MP:0005382, MP:0005390",NA,1,1,"one-to-one"
"ACP5",54,"Acp5","MGI:87883","MP:0005371, MP:0005387, MP:0005390, MP:0005397",NA,1,1,"one-to-one"
"ACP6",51205,"Acp6","MGI:1931010","MP:0005376, MP:0010768",NA,1,1,"one-to-one"
"ACP7",390928,"Acp7","MGI:2142121","",NA,1,1,"one-to-one"
