Geneid,mouse_gene,ortholog_type,Secretome location,Secretome function,Level,Reliability,Cell type,Mean_TPM
KCNAB2,Kcnab2,one-to-one,,,Low,Enhanced,glandular cells,1.05576832596685
CHD5,Chd5,one-to-one,,,,,,0.257646348066298
RPL22,Rpl22,one-to-one,,,,,,109.274667127072
RNF207-AS1,,human-specific,,,,,,1.93430915745856
RNF207,Rnf207,one-to-one,,,,,,8.95825223756906
ICMT,Icmt,one-to-one,,,Low,Uncertain,glandular cells,12.4818454143646
HES3,Hes3,one-to-one,,,,,,0.00189556629834254
GPR153,Gpr153,one-to-one,,,Not detected,Approved,glandular cells,1.22308500828729
ACOT7,Acot7,one-to-one,,,Not detected,Enhanced,glandular cells,3.34723311878453
HES2,Hes2,one-to-one,,,,,,0.0202529171270718
ESPN,Espn,one-to-one,,,Not detected,Enhanced,glandular cells,0.0976707983425414
MIR4252,,human-specific,,,,,,0
TNFRSF25,Tnfrsf25,one-to-one,Secreted - unknown location,Receptor,,,,2.40379463259669
PLEKHG5,Plekhg5,one-to-one,,,Medium,Uncertain,glandular cells,2.2154467320442
NOL9,Nol9,one-to-one,,,,,,4.74486580110497
TAS1R1,Tas1r1,one-to-one,,,Medium,Approved,glandular cells,0.0357727209944751
ZBTB48,Zbtb48,one-to-one,,,,,,11.0648382044199
KLHL21,Klhl21,one-to-one,,,Not detected,Uncertain,glandular cells,17.5555662707182
PHF13,Phf13,one-to-one,,,Not detected,Uncertain,glandular cells,5.71399806629834
THAP3,Thap3,one-to-one,,,High,Approved,glandular cells,6.429595
DNAJC11,Dnajc11,one-to-one,,,,,,7.69028038674033
LINC01672,,human-specific,,,,,,0.00158380662983425
CAMTA1-DT,,human-specific,,,,,,0.114917044198895
CAMTA1,Camta1,one-to-one,,,Low,Approved,glandular cells,1.94864971546961
CAMTA1-IT1,,human-specific,,,,,,0.0278208839779006
CAMTA1-AS2,,human-specific,,,,,,0.00144209116022099
CAMTA1-AS1,,human-specific,,,,,,0.0280495718232044
VAMP3,Vamp3,one-to-one,,,,,,17.5135998066298
PER3,Per3,one-to-one,,,High,Approved,glandular cells,5.3752148839779
UTS2,Uts2,one-to-one,Secreted to blood,Hormone,,,,0.0249873729281768
TNFRSF9,Tnfrsf9,one-to-one,,,,,,0.0447473397790055
PARK7,Park7,one-to-one,,,Medium,Supported,glandular cells,79.8870013812155
ERRFI1,Errfi1,one-to-one,,,,,,197.299546961326
LINC01714,,human-specific,,,,,,0.0623530718232044
SLC45A1,Slc45a1,one-to-one,,,Not detected,Enhanced,glandular cells,0.642391436464088
RERE,Rere,one-to-one,,,Low,Uncertain,glandular cells,13.2954041712707
RERE-AS1,,human-specific,,,,,,0.39859311878453
ENO1,Eno1 | Eno1b,one-to-many (human-to-mouse),,,Medium,Supported,glandular cells,89.7396958563536
MIR6728,,human-specific,,,,,,0.0312574668508287
ENO1-AS1,,human-specific,,,,,,0.288844591160221
CA6,Car6,one-to-one,Secreted to digestive system,Enzyme,High,Enhanced,glandular cells,0.00825239502762431
SLC2A7,Slc2a7,one-to-one,,,,,,0.00350250276243094
SLC2A5,Slc2a5,one-to-one,,,Not detected,Enhanced,glandular cells,0.27988067679558
GPR157,Gpr157,one-to-one,,,,,,2.86836520165746
MIR34AHG,,human-specific,,,,,,2.31050545580111
LNCTAM34A,,human-specific,,,,,,0.697799019337017
H6PD,H6pd,one-to-one,Intracellular and membrane,Enzyme,High,Approved,glandular cells,15.3087111878453
SPSB1,Spsb1,one-to-one,,,,,,17.236415320442
LINC02606,,human-specific,,,,,,0.53274476519337
SLC25A33,Slc25a33,one-to-one,,,Medium,Approved,glandular cells,1.84258588121547
TMEM201,Tmem201,one-to-one,,,Not detected,Approved,glandular cells,2.52632355524862
PIK3CD,Pik3cd,one-to-one,,,Not detected,Enhanced,glandular cells,2.26123347790055
PIK3CD-AS1,,human-specific,,,,,,0.0110638093922652
PIK3CD-AS2,,human-specific,,,,,,2.27270651657459
CLSTN1,Clstn1,one-to-one,,,Low,Enhanced,glandular cells,39.8258889502762
CTNNBIP1,Ctnnbip1,one-to-one,,,Not detected,Enhanced,glandular cells,11.6904130110497
LZIC,Lzic,one-to-one,,,Not detected,Approved,glandular cells,4.86743610497238
NMNAT1,Nmnat1,one-to-one,,,Low,Approved,glandular cells,2.08255679005525
TMEM274P,Tmem274,one-to-one,,,,,,0.00990973480662983
MIR5697,,human-specific,,,,,,0
RBP7,Rbp7,one-to-one,,,Medium,Enhanced,glandular cells,5.11088651381215
UBE4B,Ube4b,one-to-one,,,Medium,Approved,glandular cells,14.3011397237569
KIF1B,Kif1b,one-to-one,,,Medium,Approved,glandular cells,5.91643154696133
PGD,Pgd,one-to-one,,,Low,Enhanced,glandular cells,17.4014525138122
CENPS,Cenps,one-to-many (mouse-to-human),,,,,,6.3067905801105
CORT,Cort,one-to-one,Secreted in brain,Hormone,,,,0.638075135359116
DFFA,Dffa,one-to-one,,,Medium,Supported,glandular cells,5.67622325966851
PEX14,Pex14,one-to-one,,,Medium,Supported,glandular cells,6.8679944198895
CASZ1,Casz1,one-to-one,,,Not detected,Approved,glandular cells,3.29443855801105
C1orf127,,human-specific,,,,,,2.5965987679558
TARDBP,Tardbp,one-to-one,,,High,Supported,glandular cells,27.9712966574586
MASP2,Masp2,one-to-one,Secreted to blood,Complement pathway,Not detected,Uncertain,glandular cells,2.17362566850829
SRM,Srm,one-to-one,,,High,Approved,glandular cells,92.0145674033149
EXOSC10,Exosc10,one-to-one,,,Low,Supported,glandular cells,17.0066727071823
EXOSC10-AS1,,human-specific,,,,,,0.157850779005525
MTOR,Mtor,one-to-one,,,Medium,Supported,glandular cells,5.82875179558011
MTOR-AS1,,human-specific,,,,,,0.0156358011049724
ANGPTL7,Angptl7,one-to-one,Secreted in other tissues,No annotated function,,,,0.217614223756906
UBIAD1,Ubiad1,one-to-one,,,,,,4.70511403314917
DISP3,Disp3,one-to-one,,,,,,0.274428121546961
LINC01647,,human-specific,,,,,,0.00318001933701657
FBXO2,Fbxo2,one-to-one,,,Not detected,Enhanced,glandular cells,34.7201464364641
FBXO44,Fbxo44,one-to-one,,,High,Approved,glandular cells,16.9866121270718
FBXO6,Fbxo6,one-to-one,,,Medium,Approved,glandular cells,9.69595790055249
MAD2L2,Mad2l2,one-to-one,,,Medium,Approved,glandular cells,12.3618276519337
DRAXIN,Draxin,one-to-one,Secreted in brain,Developmental protein,,,,0.0220084447513812
AGTRAP,Agtrap,one-to-one,,,Medium,Enhanced,glandular cells,22.3842096132597
C1orf167,,human-specific,,,,,,0.00736370165745856
C1orf167-AS1,,human-specific,,,,,,0.00191004419889503
MTHFR,Mthfr,one-to-one,,,Not detected,Enhanced,glandular cells,4.86984523756906
CLCN6,Clcn6,one-to-one,,,High,Approved,glandular cells,6.0665811878453
NPPA,Nppa,one-to-one,Secreted to blood,Hormone,Not detected,Enhanced,glandular cells,1.75544444198895
NPPB,Nppb,one-to-one,Secreted to blood,Hormone,,,,0.358847096685083
KIAA2013,2510039O18Rik,one-to-one,,,Not detected,Uncertain,glandular cells,23.9275247237569
PLOD1,Plod1,one-to-one,Intracellular and membrane,Enzyme,Not detected,Uncertain,glandular cells,23.8103771270718
MFN2,Mfn2,one-to-one,,,Low,Uncertain,glandular cells,11.1597466298343
MIIP,Miip,one-to-one,,,Low,Uncertain,glandular cells,10.9661230662983
MIR6729,,human-specific,,,,,,0.00348322375690608
TNFRSF8,Tnfrsf8,one-to-one,,,Not detected,Approved,glandular cells,0.0780781602209945
MIR7846,,human-specific,,,,,,0
TNFRSF1B,Tnfrsf1b,one-to-one,Secreted to blood,Receptor,Not detected,Approved,glandular cells,5.33051859392265
MIR4632,,human-specific,,,,,,0.00874274033149171
SNORA70,,human-specific,,,,,,1.52397179261306
VPS13D,Vps13d,one-to-one,,,Not detected,Uncertain,glandular cells,5.05381859116022
SNORA59A,,human-specific,,,,,,1.1359897320442
LINC02766,,human-specific,,,,,,0.232327328729282
DHRS3,Dhrs3,one-to-one,,,Medium,Supported,glandular cells,46.631529281768
MIR6730,,human-specific,,,,,,0.00162006629834254
AADACL4,Aadacl4 | Aadacl4fm1 | Aadacl4fm2 | AAdacl4fm3 | Aadacl4fm4 | Aadacl4fm5,one-to-many (human-to-mouse),,,,,,0.0253560027624309
AADACL3,Aadacl3,one-to-one,,,,,,0.00184221546961326
PRAMEF12,Pramel11 | Pramel12 | Pramel13 | Pramel15 | Pramel16 | Pramel17 | Pramel18 | Pramel19 | Pramel20 | Pramel21 | Pramel23 | Pramel24 | Pramel28 | Pramel30 | Pramel31 | Pramel32 | Pramel33 | Pramel34 | Pramel35 | Pramel36 | Pramel37 | Pramel38 | Pramel39-ps | Pramel40 | Pramel41 | Pramel42 | Pramel43 | Pramel44 | Pramel45 | Pramel46 | Pramel47 | Pramel48 | Pramel49 | Pramel5 | Pramel50 | Pramel53 | Pramel54 | Pramel55 | Pramel56 | Pramel57 | Pramel58 | Pramel59 | Pramel60 | Pramel61,many-to-many,,,Medium,Uncertain,glandular cells,0.00168281491712707
PRAMEF1,Pramel11 | Pramel12 | Pramel13 | Pramel15 | Pramel16 | Pramel17 | Pramel18 | Pramel19 | Pramel20 | Pramel21 | Pramel23 | Pramel24 | Pramel28 | Pramel30 | Pramel31 | Pramel32 | Pramel33 | Pramel34 | Pramel35 | Pramel36 | Pramel37 | Pramel38 | Pramel39-ps | Pramel40 | Pramel41 | Pramel42 | Pramel43 | Pramel44 | Pramel45 | Pramel46 | Pramel47 | Pramel48 | Pramel49 | Pramel5 | Pramel50 | Pramel53 | Pramel54 | Pramel55 | Pramel56 | Pramel57 | Pramel58 | Pramel59 | Pramel60 | Pramel61,many-to-many,,,,,,0.00197470718232044
LINC01784,,human-specific,,,,,,0.00206888950276243
PRAMEF11,Pramel11 | Pramel12 | Pramel13 | Pramel15 | Pramel16 | Pramel17 | Pramel18 | Pramel19 | Pramel20 | Pramel21 | Pramel23 | Pramel24 | Pramel28 | Pramel30 | Pramel31 | Pramel32 | Pramel33 | Pramel34 | Pramel35 | Pramel36 | Pramel37 | Pramel38 | Pramel39-ps | Pramel40 | Pramel41 | Pramel42 | Pramel43 | Pramel44 | Pramel45 | Pramel46 | Pramel47 | Pramel48 | Pramel49 | Pramel5 | Pramel50 | Pramel53 | Pramel54 | Pramel55 | Pramel56 | Pramel57 | Pramel58 | Pramel59 | Pramel60 | Pramel61,many-to-many,,,,,,0.0021979861878453
HNRNPCL1,,human-specific,,,,,,0.0388240331491713
PRAMEF2,Pramel11 | Pramel12 | Pramel13 | Pramel15 | Pramel16 | Pramel17 | Pramel18 | Pramel19 | Pramel20 | Pramel21 | Pramel23 | Pramel24 | Pramel28 | Pramel30 | Pramel31 | Pramel32 | Pramel33 | Pramel34 | Pramel35 | Pramel36 | Pramel37 | Pramel38 | Pramel39-ps | Pramel40 | Pramel41 | Pramel42 | Pramel43 | Pramel44 | Pramel45 | Pramel46 | Pramel47 | Pramel48 | Pramel49 | Pramel5 | Pramel50 | Pramel53 | Pramel54 | Pramel55 | Pramel56 | Pramel57 | Pramel58 | Pramel59 | Pramel60 | Pramel61,many-to-many,,,,,,0.00206007182320442
PRAMEF4,Pramel11 | Pramel12 | Pramel13 | Pramel15 | Pramel16 | Pramel17 | Pramel18 | Pramel19 | Pramel20 | Pramel21 | Pramel23 | Pramel24 | Pramel28 | Pramel30 | Pramel31 | Pramel32 | Pramel33 | Pramel34 | Pramel35 | Pramel36 | Pramel37 | Pramel38 | Pramel39-ps | Pramel40 | Pramel41 | Pramel42 | Pramel43 | Pramel44 | Pramel45 | Pramel46 | Pramel47 | Pramel48 | Pramel49 | Pramel5 | Pramel50 | Pramel53 | Pramel54 | Pramel55 | Pramel56 | Pramel57 | Pramel58 | Pramel59 | Pramel60 | Pramel61,many-to-many,,,,,,0.00293123756906077
PRAMEF10,Pramel11 | Pramel12 | Pramel13 | Pramel15 | Pramel16 | Pramel17 | Pramel18 | Pramel19 | Pramel20 | Pramel21 | Pramel23 | Pramel24 | Pramel28 | Pramel30 | Pramel31 | Pramel32 | Pramel33 | Pramel34 | Pramel35 | Pramel36 | Pramel37 | Pramel38 | Pramel39-ps | Pramel40 | Pramel41 | Pramel42 | Pramel43 | Pramel44 | Pramel45 | Pramel46 | Pramel47 | Pramel48 | Pramel49 | Pramel5 | Pramel50 | Pramel53 | Pramel54 | Pramel55 | Pramel56 | Pramel57 | Pramel58 | Pramel59 | Pramel60 | Pramel61,many-to-many,,,,,,0.00196359392265193
PRAMEF7,Pramel11 | Pramel12 | Pramel13 | Pramel15 | Pramel16 | Pramel17 | Pramel18 | Pramel19 | Pramel20 | Pramel21 | Pramel23 | Pramel24 | Pramel28 | Pramel30 | Pramel31 | Pramel32 | Pramel33 | Pramel34 | Pramel35 | Pramel36 | Pramel37 | Pramel38 | Pramel39-ps | Pramel40 | Pramel41 | Pramel42 | Pramel43 | Pramel44 | Pramel45 | Pramel46 | Pramel47 | Pramel48 | Pramel49 | Pramel5 | Pramel50 | Pramel53 | Pramel54 | Pramel55 | Pramel56 | Pramel57 | Pramel58 | Pramel59 | Pramel60 | Pramel61,many-to-many,,,Not detected,Uncertain,glandular cells,0.00116241712707182
PRAMEF6,Pramel11 | Pramel12 | Pramel13 | Pramel15 | Pramel16 | Pramel17 | Pramel18 | Pramel19 | Pramel20 | Pramel21 | Pramel23 | Pramel24 | Pramel28 | Pramel30 | Pramel31 | Pramel32 | Pramel33 | Pramel34 | Pramel35 | Pramel36 | Pramel37 | Pramel38 | Pramel39-ps | Pramel40 | Pramel41 | Pramel42 | Pramel43 | Pramel44 | Pramel45 | Pramel46 | Pramel47 | Pramel48 | Pramel49 | Pramel5 | Pramel50 | Pramel53 | Pramel54 | Pramel55 | Pramel56 | Pramel57 | Pramel58 | Pramel59 | Pramel60 | Pramel61,many-to-many,,,,,,0.000811602209944751
PRAMEF27,Pramel11 | Pramel12 | Pramel13 | Pramel15 | Pramel16 | Pramel17 | Pramel18 | Pramel19 | Pramel20 | Pramel21 | Pramel23 | Pramel24 | Pramel28 | Pramel30 | Pramel31 | Pramel32 | Pramel33 | Pramel34 | Pramel35 | Pramel36 | Pramel37 | Pramel38 | Pramel39-ps | Pramel40 | Pramel41 | Pramel42 | Pramel43 | Pramel44 | Pramel45 | Pramel46 | Pramel47 | Pramel48 | Pramel49 | Pramel5 | Pramel50 | Pramel53 | Pramel54 | Pramel55 | Pramel56 | Pramel57 | Pramel58 | Pramel59 | Pramel60 | Pramel61,many-to-many,,,,,,0.00124983425414365
HNRNPCL3,,human-specific,,,,,,0.00697631491712707
PRAMEF25,Pramel11 | Pramel12 | Pramel13 | Pramel15 | Pramel16 | Pramel17 | Pramel18 | Pramel19 | Pramel20 | Pramel21 | Pramel23 | Pramel24 | Pramel28 | Pramel30 | Pramel31 | Pramel32 | Pramel33 | Pramel34 | Pramel35 | Pramel36 | Pramel37 | Pramel38 | Pramel39-ps | Pramel40 | Pramel41 | Pramel42 | Pramel43 | Pramel44 | Pramel45 | Pramel46 | Pramel47 | Pramel48 | Pramel49 | Pramel5 | Pramel50 | Pramel53 | Pramel54 | Pramel55 | Pramel56 | Pramel57 | Pramel58 | Pramel59 | Pramel60 | Pramel61,many-to-many,,,,,,3.52016574585635e-05
PRAMEF34P,,human-specific,,,,,,0
HNRNPCL2,,human-specific,,,,,,0.00943905524861879
PRAMEF36P,,human-specific,,,,,,0.000180524861878453
PRAMEF26,Pramel11 | Pramel12 | Pramel13 | Pramel15 | Pramel16 | Pramel17 | Pramel18 | Pramel19 | Pramel20 | Pramel21 | Pramel23 | Pramel24 | Pramel28 | Pramel30 | Pramel31 | Pramel32 | Pramel33 | Pramel34 | Pramel35 | Pramel36 | Pramel37 | Pramel38 | Pramel39-ps | Pramel40 | Pramel41 | Pramel42 | Pramel43 | Pramel44 | Pramel45 | Pramel46 | Pramel47 | Pramel48 | Pramel49 | Pramel5 | Pramel50 | Pramel53 | Pramel54 | Pramel55 | Pramel56 | Pramel57 | Pramel58 | Pramel59 | Pramel60 | Pramel61,many-to-many,,,,,,0.000122113259668508
HNRNPCL4,,human-specific,,,,,,0.00264671546961326
PRAMEF9,Pramel11 | Pramel12 | Pramel13 | Pramel15 | Pramel16 | Pramel17 | Pramel18 | Pramel19 | Pramel20 | Pramel21 | Pramel23 | Pramel24 | Pramel28 | Pramel30 | Pramel31 | Pramel32 | Pramel33 | Pramel34 | Pramel35 | Pramel36 | Pramel37 | Pramel38 | Pramel39-ps | Pramel40 | Pramel41 | Pramel42 | Pramel43 | Pramel44 | Pramel45 | Pramel46 | Pramel47 | Pramel48 | Pramel49 | Pramel5 | Pramel50 | Pramel53 | Pramel54 | Pramel55 | Pramel56 | Pramel57 | Pramel58 | Pramel59 | Pramel60 | Pramel61,many-to-many,,,,,,0.000751339779005525
PRAMEF13,Pramel11 | Pramel12 | Pramel13 | Pramel15 | Pramel16 | Pramel17 | Pramel18 | Pramel19 | Pramel20 | Pramel21 | Pramel23 | Pramel24 | Pramel28 | Pramel30 | Pramel31 | Pramel32 | Pramel33 | Pramel34 | Pramel35 | Pramel36 | Pramel37 | Pramel38 | Pramel39-ps | Pramel40 | Pramel41 | Pramel42 | Pramel43 | Pramel44 | Pramel45 | Pramel46 | Pramel47 | Pramel48 | Pramel49 | Pramel5 | Pramel50 | Pramel53 | Pramel54 | Pramel55 | Pramel56 | Pramel57 | Pramel58 | Pramel59 | Pramel60 | Pramel61,many-to-many,,,,,,0.000595267955801105
PRAMEF18,Pramel11 | Pramel12 | Pramel13 | Pramel15 | Pramel16 | Pramel17 | Pramel18 | Pramel19 | Pramel20 | Pramel21 | Pramel23 | Pramel24 | Pramel28 | Pramel30 | Pramel31 | Pramel32 | Pramel33 | Pramel34 | Pramel35 | Pramel36 | Pramel37 | Pramel38 | Pramel39-ps | Pramel40 | Pramel41 | Pramel42 | Pramel43 | Pramel44 | Pramel45 | Pramel46 | Pramel47 | Pramel48 | Pramel49 | Pramel5 | Pramel50 | Pramel53 | Pramel54 | Pramel55 | Pramel56 | Pramel57 | Pramel58 | Pramel59 | Pramel60 | Pramel61,many-to-many,,,,,,0.00118655801104972
