Geneid,mouse_gene,ortholog_type,Secretome location,Secretome function,Level,Reliability,Cell type,Mean_TPM,adult_SL_01,adult_SL_02,adult_SL_03
AADACP1,NA,human-specific,NA,NA,NA,NA,NA,0.8676298249624663,0.798272205473948,1.12816481692278,0.676452452490671
AADAT,Aadat,one-to-one,NA,NA,Not detected,Enhanced,glandular cells,0.8090894959266253,1.71096254216149,0.462580036122904,0.253725909495482
AAGAB,Aagab,one-to-one,NA,NA,Medium,Supported,glandular cells,10.313810208354793,13.9966241296266,9.46945722936949,7.47534926606829
AAK1,Aak1,one-to-one,NA,NA,Not detected,Enhanced,glandular cells,5.112455773168916,7.91829313784052,4.52683434752896,2.89223983413727
AAMDC,Aamdc,one-to-one,NA,NA,Not detected,Enhanced,glandular cells,2.51496662515225,3.08335110489267,2.69627674182352,1.76527202874056
AAMP,Aamp,one-to-one,NA,NA,Medium,Approved,glandular cells,35.53874536524827,39.8826694905395,36.6877395580846,30.0458270471207
AANAT,Aanat,one-to-one,NA,NA,NA,NA,NA,0.343103034568671,0.45044180203021,0.422716296793913,0.15615100488189
AAR2,Aar2,one-to-one,NA,NA,NA,NA,NA,8.851422203833124,12.4472524942248,8.20256793302916,5.90444618424541
AARD,Aard,one-to-one,NA,NA,NA,NA,NA,1.0324696230654398,1.12284250639013,1.3798839020491,0.594682460757089
AARS1,Aars1,one-to-one,NA,NA,Medium,Supported,glandular cells,37.47111464693997,46.154587692354,32.7076888381669,33.551067410299
AARS2,Aars2,one-to-one,NA,NA,Medium,Approved,glandular cells,7.64533409976172,10.6157059621442,7.37947415995377,4.94082217718719
AARSD1,Aarsd1,one-to-many (mouse-to-human),NA,NA,Not detected,Supported,glandular cells,0,0,0,0
AASDH,Aasdh,one-to-one,NA,NA,High,Approved,glandular cells,6.869631786476414,8.138985728245,6.93063362541889,5.53927600576535
AASDHPPT,Aasdhppt,one-to-one,NA,NA,Low,Approved,glandular cells,12.220113187693107,15.5876808531059,11.9734625678895,9.09919614208392
AASS,Aass,one-to-one,NA,NA,Low,Enhanced,glandular cells,16.586292695818265,20.3435073017096,18.0131248499041,11.4022459358411
AATBC,NA,human-specific,NA,NA,NA,NA,NA,1.3358696848295362,1.30542447984476,2.14512826035989,0.557056314283959
AATF,Aatf,one-to-one,NA,NA,High,Uncertain,glandular cells,0,0,0,0
AATF_1,NA,human-specific,NA,NA,NA,NA,NA,1.604303820436814,4.15847426792725,0.337288595689033,0.317148597694159
AATK,Aatk,one-to-one,NA,NA,Not detected,Approved,glandular cells,2.47565538042799,3.343446494741,3.23355296889969,0.849966677643281
ABALON,NA,human-specific,NA,NA,NA,NA,NA,1.7807324338611565,2.3430806353349,1.39543025562762,1.60368641062095
ABAT,Abat,one-to-one,NA,NA,Low,Enhanced,glandular cells,4.19035759097878,3.81475059176766,5.25334485428196,3.50297732688672
ABCA1,Abca1,one-to-one,NA,NA,Medium,Approved,glandular cells,13.674627013829882,29.2471632289146,6.7187035082081,5.05801430436694
ABCA10,NA,human-specific,NA,NA,Medium,Uncertain,glandular cells,9.22543406134499,12.2612260933753,9.4978510456704,5.91722504498927
ABCA11P,NA,human-specific,NA,NA,NA,NA,NA,7.2743364668777195,8.59739867381814,9.14195294320726,4.08365778360776
ABCA12,Abca12,one-to-one,NA,NA,NA,NA,NA,0.05728826446587249,0.0537210437953388,0.0726207668696654,0.0455229827326133
ABCA13,Abca13,one-to-one,NA,NA,NA,NA,NA,0.214260979226071,0.258926238765958,0.254559760007608,0.129296938904647
ABCA15P,Abca15,one-to-one,NA,NA,NA,NA,NA,0,0,0,0
ABCA15P_1,NA,human-specific,NA,NA,NA,NA,NA,0.10901764771322842,0.224372628184893,0.0551472135995548,0.0475331013552374
ABCA17P,Abca17,one-to-one,NA,NA,NA,NA,NA,0.1380643061791685,0.163797018920076,0.211358148396957,0.0390377512204725
ABCA2,Abca2,one-to-one,NA,NA,Medium,Approved,glandular cells,7.156240058968113,9.0608394749418,10.0139348893642,2.39394581259834
ABCA3,Abca3,one-to-one,NA,NA,Medium,Enhanced,glandular cells,12.277327755550052,13.8583517032372,17.5256124079306,5.44801915548236
ABCA4,Abca4,one-to-one,NA,NA,Not detected,Enhanced,glandular cells,0.11013885892773001,0.234027673047653,0.0517682426789489,0.0446206610565881
ABCA5,Abca5,one-to-one,NA,NA,High,Approved,glandular cells,15.004158419700067,16.6326128046691,16.3565818972567,12.0232805571744
ABCA6,Abca6,one-to-one,NA,NA,NA,NA,NA,13.171192491931398,18.9189712574837,12.5240555408855,8.07055067742499
ABCA7,Abca7,one-to-one,NA,NA,Low,Enhanced,glandular cells,6.28494801722004,8.30855352209773,8.72842224615833,1.81786828340406
ABCA8,Abca8a | Abca8b,one-to-many (human-to-mouse),NA,NA,Not detected,Enhanced,glandular cells,14.963153942095845,18.4758896821356,18.3038464450791,8.10972569907284
ABCA9,Abca9,one-to-one,NA,NA,High,Uncertain,glandular cells,5.922270280984087,8.58899020010755,5.45084263118805,3.72697801165666
ABCA9-AS1,NA,human-specific,NA,NA,NA,NA,NA,1.295005595562806,1.96744335154095,1.81337324259722,0.104200192550248
ABCB1,Abcb1a | Abcb1b,one-to-many (human-to-mouse),NA,NA,Not detected,Enhanced,glandular cells,1.144735277128822,1.48073019380103,1.41164554162949,0.541830095955946
ABCB10,Abcb10,one-to-one,NA,NA,Medium,Uncertain,glandular cells,7.2400794540176,9.16472343526626,7.65321789879753,4.90229702798901
ABCB11,Abcb11,one-to-one,NA,NA,Not detected,Enhanced,glandular cells,0.024264538791304524,0.0571118552049154,0.00842230989634869,0.00725945127264948
ABCB11_1,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
ABCB4,Abcb4,one-to-one,NA,NA,Not detected,Enhanced,glandular cells,0.5746896025133297,0.843443626149325,0.407641748269746,0.472983433120918
ABCB5,Abcb5,one-to-one,NA,NA,NA,NA,NA,0.050608895509862674,0.144750111967352,0,0.00707657456223603
ABCB6,Abcb6,one-to-one,Intracellular and membrane,Transport,Medium,Approved,glandular cells,8.667710305097094,13.8692652325658,7.61685726868737,4.51700841403811
ABCB7,Abcb7,one-to-one,NA,NA,Low,Approved,glandular cells,6.054520621062767,8.1922214578119,5.47640034732798,4.49494005804842
ABCB8,Abcb8,one-to-one,NA,NA,Medium,Approved,glandular cells,4.6156162206621865,7.26861015985964,4.1237450776099696,2.45449342451695
ABCB9,Abcb9,one-to-one,NA,NA,Medium,Approved,glandular cells,2.2275425586619866,2.43662958447923,2.65512359709904,1.59087449440769
ABCC1,Abcc1,one-to-one,NA,NA,Not detected,Uncertain,glandular cells,0.914476268177696,1.99770719043115,0.543881981865717,0.201839632236221
ABCC10,Abcc10,one-to-one,NA,NA,Low,Approved,glandular cells,6.33252496853864,8.47705933436626,7.56057933352772,2.95993623772194
ABCC11,NA,human-specific,NA,NA,NA,NA,NA,0.12131758798820673,0.175465383102003,0.153638486692148,0.0348488941704692
ABCC12,Abcc12,one-to-one,NA,NA,NA,NA,NA,0.005330153464162,0,0.015990460392486,0
ABCC13,NA,human-specific,NA,NA,NA,NA,NA,0.028547818215098598,0,0.0856434546452958,0
ABCC1_1,NA,human-specific,NA,NA,NA,NA,NA,0.42924219676310543,0.611828322544844,0.530081194866003,0.145817072878469
ABCC2,Abcc2,one-to-one,NA,NA,Medium,Enhanced,glandular cells,0.5548679077945033,0.982515407483137,0.465179484248615,0.216908831651758
ABCC3,Abcc3,one-to-one,NA,NA,Low,Enhanced,glandular cells,5.0396599338433665,7.73474779383186,5.96494918495406,1.41928282274418
ABCC4,Abcc4,one-to-one,NA,NA,Not detected,Enhanced,glandular cells,2.128792248724803,3.58651444789008,1.63032837318406,1.16953392510027
ABCC5,Abcc5,one-to-one,NA,NA,Not detected,Uncertain,glandular cells,6.779118310219332,10.5663505833872,6.0212558306067,3.7497485166641
ABCC5-AS1,NA,human-specific,NA,NA,NA,NA,NA,1.8040830413418771,2.92529601380503,2.02216248588133,0.464790624339272
ABCC6,Abcc6,one-to-one,NA,NA,NA,NA,NA,0.5005281665676776,0.857171261453223,0.158009269097903,0.486403969151907
ABCC6P1,NA,human-specific,NA,NA,NA,NA,NA,0.5708537951992306,0.942973673804911,0.50988935799911,0.259698353793671
ABCC6P1_1,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
ABCC6P2,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
ABCC6P2_1,NA,human-specific,NA,NA,NA,NA,NA,0.059283900976923994,0,0.177851702930772,0
ABCC6_1,NA,human-specific,NA,NA,NA,NA,NA,0.4023105750805293,0.336745852713766,0.665896205484021,0.204289667043801
ABCC8,Abcc8,one-to-one,NA,NA,Not detected,Approved,glandular cells,0.060306164700463204,0.0918233868334748,0.0112843620188987,0.0778107452490161
ABCC9,Abcc9,one-to-one,NA,NA,NA,NA,NA,3.903317302436261,7.1009846694484,3.69055185769624,0.918415380164144
ABCD1,Abcd1,one-to-one,NA,NA,Not detected,Approved,glandular cells,2.117263107206099,3.49990773080245,1.95939342106385,0.892488169751997
ABCD2,Abcd2,one-to-one,NA,NA,NA,NA,NA,0.47859293136281494,0.71975737543205,0.516467278284265,0.19955414037213
ABCD3,Abcd3,one-to-one,NA,NA,Medium,Enhanced,glandular cells,6.112380261596663,7.30284115979385,6.22260507560603,4.81169454939011
ABCD4,Abcd4,one-to-one,NA,NA,Not detected,Approved,glandular cells,8.577434651878521,12.0430817483137,9.39477443450293,4.29444777281893
ABCE1,Abce1,one-to-one,NA,NA,High,Approved,glandular cells,18.271245362210667,26.2294988814357,16.0220957514822,12.5621414537141
ABCF1,Abcf1,one-to-one,NA,NA,High,Approved,glandular cells,0.08173369260234127,0,0.0371373159423728,0.208063761864651
ABCF1-DT,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
ABCF1_1,NA,human-specific,NA,NA,NA,NA,NA,0.06807985295306103,0.151097338157991,0.0371373159423728,0.0160049047588193
ABCF1_2,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
ABCF1_3,NA,human-specific,NA,NA,NA,NA,NA,0.16084702050009467,0.352560455701979,0.129980605798305,0
ABCF1_4,NA,human-specific,NA,NA,NA,NA,NA,0.19058641635080895,0.226646007236987,0.297098527538982,0.0480147142764578
ABCF1_5,NA,human-specific,NA,NA,NA,NA,NA,0.49312964942264387,1.41024182280792,0.0371373159423728,0.0320098095176386
ABCF1_6,NA,human-specific,NA,NA,NA,NA,NA,0.061895526570621334,0,0.185686579711864,0
ABCF2,Abcf2,one-to-many (mouse-to-human),NA,NA,Medium,Approved,glandular cells,1.8275985934752297,3.08744897790138,1.48044747548935,0.914899327034958
ABCF2-H2BK1,Abcf2,one-to-many (mouse-to-human),NA,NA,Medium,Approved,glandular cells,0.09224798463035967,0.222144402602746,0.054599551288333,0
ABCF3,Abcf3,one-to-one,NA,NA,Medium,Approved,glandular cells,19.8625452415133,24.1348683487181,21.2533857690469,14.1993816067749
ABCG1,Abcg1,one-to-one,NA,NA,Not detected,Approved,glandular cells,13.484430839361233,17.6557186546489,10.2489074797816,12.5486663836532
ABCG2,Abcg2 | Abcg3,one-to-many (human-to-mouse),NA,NA,Not detected,Enhanced,glandular cells,0.8580183907677147,1.23644901809171,0.866113430025885,0.471492724185549
ABCG4,Abcg4,one-to-one,NA,NA,Not detected,Enhanced,glandular cells,0.020607514526256632,0.0377993120584791,0,0.0240232315202908
ABCG5,Abcg5,one-to-one,NA,NA,NA,NA,NA,0.2075641167273307,0.223460112165662,0.179747776522785,0.219484461493545
ABCG8,Abcg8,one-to-one,NA,NA,Medium,Uncertain,glandular cells,0.1407190067766301,0.155253567167212,0.228953104483166,0.0379503486795123
ABHD1,Abhd1,one-to-one,NA,NA,Medium,Uncertain,glandular cells,2.31642197388926,2.67219409502057,2.27684666231181,2.0002251643354
ABHD10,Abhd10,one-to-one,NA,NA,Medium,Supported,glandular cells,21.0642674086526,21.953487498181,20.0438735278505,21.1954411999263
ABHD11,Abhd11,one-to-one,NA,NA,Medium,Approved,glandular cells,11.163923779875043,14.091876553324,11.7957039904249,7.60419079587623
ABHD12,Abhd12,one-to-one,NA,NA,Not detected,Uncertain,glandular cells,10.238705588705127,15.0401647717009,9.68979828851805,5.98615370589643
ABHD12B,Abhd12b,one-to-one,NA,NA,NA,NA,NA,0.24650783628329398,0.154444775584762,0.398580658090082,0.186498075175038
ABHD13,Abhd13,one-to-one,NA,NA,Medium,Approved,glandular cells,6.791435208779624,9.19446870631383,5.97792399285752,5.20191292716752
ABHD14A,Abhd14a,one-to-one,NA,NA,Medium,Approved,glandular cells,6.210520924367799,7.80256165314448,7.71052199901093,3.11847912094799
ABHD14A-ACY1,NA,human-specific,NA,NA,Not detected,Approved,glandular cells,0,0,0,0
ABHD14B,Abhd14b,one-to-one,NA,NA,High,Supported,glandular cells,17.85110564410883,19.1410628790049,19.2506770827994,15.1615769705222
ABHD15,Abhd15,one-to-one,Secreted to blood,No annotated function,Medium,Approved,glandular cells,3.472272404898437,4.44454204817968,4.59893333892897,1.37334182758666
ABHD16A,Abhd16a,one-to-one,NA,NA,Not detected,Approved,glandular cells,0.12445622003875988,0,0.326469606154335,0.0468990539619446
ABHD16A_1,NA,human-specific,NA,NA,NA,NA,NA,0.2914396393908937,0.22137970586401,0.652939212308671,0
ABHD16A_2,NA,human-specific,NA,NA,NA,NA,NA,0.38895777738889353,0.22137970586401,0.0544116010257226,0.891082025276948
ABHD16A_3,NA,human-specific,NA,NA,NA,NA,NA,0.12319647160454061,0.22137970586401,0.0544116010257226,0.0937981079238892
ABHD16A_4,NA,human-specific,NA,NA,NA,NA,NA,0.45839242971533495,1.32827823518406,0,0.0468990539619446
ABHD16A_5,NA,human-specific,NA,NA,NA,NA,NA,0.06736167576444506,0.147650003279655,0.0544350240136802,0
ABHD16A_6,NA,human-specific,NA,NA,NA,NA,NA,0.15630785802577774,0.184562504099569,0.190522584047881,0.0938384859298832
ABHD16B,Abhd16b,one-to-one,NA,NA,NA,NA,NA,0,0,0,0
ABHD17A,Abhd17a,one-to-one,NA,NA,Medium,Uncertain,glandular cells,13.678417286068177,17.1817973441431,15.2451165006771,8.60833801338433
ABHD17B,Abhd17b,one-to-one,NA,NA,NA,NA,NA,4.825293164986664,5.98528933023439,4.93786175061116,3.55272841411444
ABHD17C,Abhd17c,one-to-one,NA,NA,Low,Uncertain,glandular cells,15.454581289321167,16.4522346252905,17.031729914969,12.879779327704
ABHD18,Abhd18,one-to-one,Intracellular and membrane,No annotated function,Medium,Approved,glandular cells,4.896980670487103,5.83120374794587,5.18923353919886,3.67050472431658
ABHD2,Abhd2,one-to-one,NA,NA,Low,Approved,glandular cells,17.807526931230697,26.8715063621565,16.4459675495782,10.1051068819574
ABHD3,Abhd3,one-to-one,NA,NA,Medium,Approved,glandular cells,8.35488835978717,10.8715883888051,8.49038622405375,5.70269046650266
ABHD4,Abhd4,one-to-one,NA,NA,Low,Uncertain,glandular cells,4.462201103189887,5.52443820455423,4.98949684966823,2.8726682553472
ABHD5,Abhd5,one-to-one,NA,NA,Low,Approved,glandular cells,12.807532168421853,18.8453564433208,11.7982054319794,7.77903462996536
ABHD6,Abhd6,one-to-one,NA,NA,Low,Uncertain,glandular cells,3.74991731593898,4.76581576182729,4.27683154740486,2.20710463858479
ABHD8,Abhd8,one-to-one,NA,NA,Low,Approved,glandular cells,4.43177749002694,4.19920369268658,5.5733254018316,3.52280337556264
ABI1,Abi1,one-to-one,NA,NA,Medium,Approved,glandular cells,25.467952863024735,30.8598036325541,26.4622900323723,19.0817649241478
ABI2,Abi2,one-to-one,NA,NA,Low,Enhanced,glandular cells,8.800518686263244,12.5082410935811,8.87446043682882,5.01885452837981
ABI3,Abi3,one-to-one,NA,NA,Not detected,Enhanced,glandular cells,4.132585207463646,7.53540740222769,3.64030099226031,1.22204722790294
ABI3BP,Abi3bp,one-to-one,Secreted in other tissues,No annotated function,NA,NA,NA,6.5877356071198845,11.7275705093506,5.86723508357433,2.16840122843472
ABITRAM,Abitram,one-to-one,NA,NA,Low,Uncertain,glandular cells,4.86878761125364,5.93298991673196,4.87720255477409,3.79617036225487
ABL1,Abl1,one-to-one,NA,NA,Medium,Supported,glandular cells,15.329891376687241,19.1463626392039,18.5491490607589,8.29416243009892
ABL2,Abl2,one-to-one,NA,NA,Medium,Uncertain,glandular cells,7.352016775628873,12.4364333973526,6.02550459510442,3.5941123344296
ABLIM1,Ablim1,one-to-one,NA,NA,Not detected,Approved,glandular cells,52.38410293736903,55.8461366839953,59.7486172275615,41.5575549005503
ABLIM2,Ablim2,one-to-one,NA,NA,Not detected,Uncertain,glandular cells,0.5005969284209073,1.02890955534482,0.291795645153635,0.181085584764267
ABLIM3,Ablim3,one-to-one,NA,NA,High,Approved,glandular cells,1.3583082292873223,2.76570896423163,0.912527892202222,0.396687831428115
ABO,Abo,one-to-one,Secreted to blood,NA,NA,NA,NA,1.1768480383938313,1.36622837669517,1.66568683158946,0.498628906896864
ABO_1,NA,human-specific,NA,NA,NA,NA,NA,0.5999330187054307,0.516233688913513,0.888174053050626,0.395391314152153
ABR,Abr,one-to-one,NA,NA,High,Enhanced,glandular cells,1.644004861805704,2.10476390875537,1.84846339601114,0.978787280650602
ABR-AS1,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
ABR-AS1_1,NA,human-specific,NA,NA,NA,NA,NA,0.23638144889126667,0.345061325572072,0.25443171183859,0.109651309263138
ABRA,Abra,one-to-one,NA,NA,NA,NA,NA,0.7986402776792513,0.529307033362098,1.19381502555492,0.672798774120736
ABRACL,Abracl,one-to-one,NA,NA,Low,Enhanced,glandular cells,14.569853226754567,21.2231485561851,12.2096080901836,10.276803033895
ABRAXAS1,Abraxas1,one-to-one,NA,NA,Not detected,Uncertain,glandular cells,2.747666409232876,3.17657295079389,2.90963094302299,2.15679533388175
ABRAXAS2,Abraxas2,one-to-one,NA,NA,Medium,Approved,glandular cells,8.218667773245633,10.5893292638285,7.96041723006321,6.10625682584519
ABR_1,NA,human-specific,NA,NA,NA,NA,NA,0.41295082174146663,0.307523273417788,0.198408829681662,0.73292036212495
ABR_2,NA,human-specific,NA,NA,NA,NA,NA,1.5693993495878187,1.65512725254258,2.54159122524508,0.511479570975796
ABT1,Abt1,one-to-one,NA,NA,NA,NA,NA,1.090380289286099,1.66076151752145,0.665992080240767,0.94438727009608
ABT1_1,NA,human-specific,NA,NA,NA,NA,NA,1.1074591214584089,0.786676508299632,1.86907454777248,0.666626308303115
ABTB1,Abtb1,one-to-one,NA,NA,Medium,Uncertain,glandular cells,4.246281340416027,5.67950664383455,5.1324122031265,1.92692517428703
ABTB2,Abtb2,one-to-one,NA,NA,Low,Approved,glandular cells,5.135900552404931,5.50673555809743,7.01225209647053,2.88871400264683
ABTB3,Abtb3,one-to-one,NA,NA,NA,NA,NA,2.1753052663778116,3.03531820901451,2.57720424230819,0.913393347810734
ACAA1,Acaa1a | Acaa1b,one-to-many (human-to-mouse),NA,NA,Not detected,Enhanced,glandular cells,7.005651816393789,6.65414556226638,9.00444822159627,5.35836166531872
ACAA2,Acaa2,one-to-one,NA,NA,Medium,Approved,glandular cells,3.516094840270226,7.09191829662601,1.96636757199657,1.4899986521881
ACACA,Acaca,one-to-one,NA,NA,Medium,Approved,glandular cells,0.4757433178860197,0.630910443624869,0.475541023222191,0.320778486810999
ACACA_1,NA,human-specific,NA,NA,NA,NA,NA,0.9034888102410598,1.02053842294861,0.841025170173031,0.848902837601538
ACACB,Acacb,one-to-one,Intracellular and membrane,Enzyme,Not detected,Enhanced,glandular cells,8.224166457705218,9.62565347295,10.8429115678633,4.20393433230235
ACAD10,Acad10 | Acad12,one-to-many (human-to-mouse),NA,NA,NA,NA,NA,10.323059584611867,13.3673592289772,10.8744883328329,6.7273311920255
ACAD11,Acad11,one-to-one,NA,NA,Not detected,Enhanced,glandular cells,0,0,0,0
ACAD8,Acad8,one-to-one,NA,NA,Medium,Enhanced,glandular cells,13.195363912129833,11.4061148354639,16.9695019768697,11.2104749240559
ACAD9,Acad9,one-to-one,NA,NA,Medium,Supported,glandular cells,14.362194768524546,19.1846794132875,15.2928267009861,8.60907819130004
ACAD9-DT,NA,human-specific,NA,NA,NA,NA,NA,1.488349377598191,1.37416249045929,2.56687890479894,0.524006737536343
ACADL,Acadl,one-to-one,NA,NA,Medium,Enhanced,glandular cells,6.286768629033044,6.68361476316215,6.85091375961721,5.32577736431977
ACADM,Acadm,one-to-one,NA,NA,Medium,Enhanced,glandular cells,18.169089224432568,20.2439856941862,18.5254067758699,15.7378752032416
ACADS,Acads,one-to-one,NA,NA,Medium,Enhanced,glandular cells,10.624850888518733,10.8096199749746,14.5493191497095,6.5156135408721
ACADSB,Acadsb,one-to-one,NA,NA,Medium,Enhanced,glandular cells,8.65919962389808,9.23753006582349,11.903579807023,4.83648899884775
ACADVL,Acadvl,one-to-one,NA,NA,Medium,Enhanced,glandular cells,102.28701173205383,126.961423334085,114.438305507716,65.4613063543605
ACAN,Acan,one-to-one,Secreted to extracellular matrix,No annotated function,Not detected,Enhanced,glandular cells,0.6037201207356541,1.71127462760373,0.0881911636367559,0.0116945709664763
ACAP1,Acap1,one-to-one,NA,NA,Low,Approved,glandular cells,0,0,0,0
ACAP1_1,NA,human-specific,NA,NA,NA,NA,NA,0.5021540746384484,0.502428160574179,0.642141910230129,0.361892153111037
ACAP2,Acap2,one-to-one,NA,NA,Medium,Supported,glandular cells,10.494690052793377,14.3879236411024,10.3952072053989,6.70093931187883
ACAP3,Acap3,one-to-one,NA,NA,Low,Approved,glandular cells,19.364761175620334,24.1070157045129,23.2236845872599,10.7635832350882
ACAT1,Acat1,one-to-one,NA,NA,High,Enhanced,glandular cells,41.94163028337574,43.8257927997696,48.6652432446064,33.3338548057512
ACAT2,Acat2 | Acat3,one-to-many (human-to-mouse),NA,NA,Medium,Enhanced,glandular cells,7.8605422646385135,8.57006511348056,9.23568950260441,5.77587217783057
ACBD3,Acbd3,one-to-one,NA,NA,Medium,Approved,glandular cells,18.528918983108564,21.3890845501579,17.6236200087884,16.5740523903794
ACBD3-AS1,NA,human-specific,NA,NA,NA,NA,NA,3.698771940798386,3.88878636755827,3.87099675868712,3.33653269614977
ACBD4,Acbd4,one-to-one,NA,NA,Not detected,Approved,glandular cells,3.77936432826152,4.03898020636722,4.68394602637838,2.61516675203896
ACBD5,Acbd5,one-to-one,NA,NA,High,Enhanced,glandular cells,6.262543069090239,6.91427911139692,7.1651201938505,4.7082299020233
ACBD6,Acbd6,one-to-one,NA,NA,Medium,Approved,glandular cells,2.4159996849597967,3.23232092603065,2.29686593914905,1.71881218969969
ACBD7,Acbd7,one-to-one,NA,NA,NA,NA,NA,2.1660951330562166,2.39177670742968,2.10128884388476,2.00521984785421
ACBD7-DCLRE1CP1,NA,human-specific,NA,NA,NA,NA,NA,0.060497914238568595,0,0.12683305996367,0.0546606827520358
ACCS,Accs,one-to-one,NA,NA,Low,Approved,glandular cells,6.0641396035001,5.46366666172593,9.41647201011285,3.31228013866152
ACCSL,Accsl,one-to-one,NA,NA,NA,NA,NA,0.15191583633486136,0.221761395012051,0.163516242392818,0.0704698715997151
ACD,Acd,one-to-one,NA,NA,High,Approved,glandular cells,4.5880855935935365,5.72774683646058,5.21709975728755,2.81941018703248
ACE,Ace,one-to-one,Secreted to blood,Enzyme,Not detected,Enhanced,glandular cells,5.094415745432699,6.77631948104241,5.9555840893484,2.55134366590729
ACE2,Ace2,one-to-one,Secreted to blood,Receptor,Not detected,Enhanced,glandular cells,1.2869027291318902,1.77319008346598,1.11478639785439,0.972731706075301
ACE2-DT,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
ACER1,Acer1,one-to-one,NA,NA,NA,NA,NA,0.12680119496270292,0.245554809291695,0.0724241470697475,0.0624246285266663
ACER2,Acer2,one-to-one,NA,NA,NA,NA,NA,2.5001844224297565,3.40308235760093,2.69242851031511,1.40504239937323
ACER3,Acer3,one-to-one,NA,NA,Not detected,Approved,glandular cells,7.855473787156903,9.25604528806559,7.49041930454552,6.8199567688596
ACER3-AS1,NA,human-specific,NA,NA,NA,NA,NA,5.541964118833917,6.05456235866972,6.19427813195035,4.37705186588168
ACHE,Ache,one-to-one,Intracellular and membrane,Enzyme,NA,NA,NA,1.6277534717697326,1.88000453706117,2.19635712067498,0.806898757573047
ACIN1,Acin1,one-to-one,NA,NA,Medium,Supported,glandular cells,12.151348812335423,17.215110332284,12.2248218227599,7.01411428196237
ACKR1,Ackr1,one-to-one,NA,NA,Not detected,Enhanced,glandular cells,12.0240022818614,25.0217065654066,9.40993136267253,1.64036891750507
