Geneid,mouse_gene,ortholog_type,Secretome location,Secretome function,Level,Reliability,Cell type,Mean_TPM,adult_SM_01,adult_SM_02,adult_SM_03,adult_SM_04,adult_SM_05,adult_SM_06
AAAS_1,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
AACS,Aacs,one-to-one,NA,NA,High,Approved,glandular cells,16.093771431063367,19.960297552167,10.8324616079965,16.6480773919847,15.7954553491237,16.6623110174597,16.6640256676486
AACSP1,NA,human-specific,NA,NA,NA,NA,NA,0.05916454794858513,0,0.0532569400589797,0.0461796933661001,0.0373557457905732,0.150199665076113,0.0679952433997448
AADAC,Aadac,one-to-one,NA,NA,Not detected,Approved,glandular cells,0.01934766146450985,0.0751206110126341,0,0,0,0,0.040965357774425
AADACL2,Aadacl2,one-to-one,Secreted in other tissues,Enzyme,NA,NA,NA,0.014724887329853133,0,0,0.0257821410591369,0.0625671829199819,0,0
AADACL2-AS1,NA,human-specific,NA,NA,NA,NA,NA,0.16093624352981453,0.0760450226766497,0.259846037420756,0,0.546787470768753,0,0.0829389303127284
AADACL2-AS1_1,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
AADACL2_1,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
AADACL3,Aadacl3,one-to-one,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
AADACL4,Aadacl4 | Aadacl4fm1 | Aadacl4fm2 | AAdacl4fm3 | Aadacl4fm4 | Aadacl4fm5,one-to-many (human-to-mouse),NA,NA,NA,NA,NA,0.017508573749364667,0,0,0,0,0,0.105051442496188
AADACP1,NA,human-specific,NA,NA,NA,NA,NA,0.18235084667676216,0.27326652058824,0,0.202416809556606,0.409348261669392,0.109726934016038,0.0993465542302969
AADAT,Aadat,one-to-one,NA,NA,Not detected,Enhanced,glandular cells,0.5372705564847479,0.449037386979246,0.41694616912376,0.802615970916464,0.157926477672984,0.587953184015102,0.809144150200931
AAGAB,Aagab,one-to-one,NA,NA,Medium,Supported,glandular cells,7.302780611980905,6.72471449099354,5.84512201759387,9.28371190984231,5.09215405015328,8.16144347544518,8.70953772785725
AAK1,Aak1,one-to-one,NA,NA,Not detected,Enhanced,glandular cells,3.8375544887412567,4.64993032044812,2.90568287724123,4.70411978063774,3.32898217818816,3.66629266747401,3.77031910845828
AAMDC,Aamdc,one-to-one,NA,NA,Not detected,Enhanced,glandular cells,1.6178068911596,1.2648558452339,1.19973193473628,1.97721822339402,1.64645588337723,1.74433216784158,1.87424729237459
AAMP,Aamp,one-to-one,NA,NA,Medium,Approved,glandular cells,33.948694412964585,36.7624845643996,26.483219252339,35.7408038035788,33.0117895603464,32.6518850279613,39.0419842691624
AANAT,Aanat,one-to-one,NA,NA,NA,NA,NA,0.4709972016460845,0.897142426076387,0.191596123102983,0.186902054096322,0.478765438230425,0.337722105889859,0.733855062480531
AAR2,Aar2,one-to-one,NA,NA,NA,NA,NA,8.11246369023724,9.92168903158207,6.55892580220294,8.32513651619228,8.51048240793301,6.67020105674176,8.68834732677138
AARD,Aard,one-to-one,NA,NA,NA,NA,NA,0.6495520437038651,0.691873615308637,0.525363092681336,0.626378861349437,0.575785584124669,0.555627307516393,0.922283801242719
AARS1,Aars1,one-to-one,NA,NA,Medium,Supported,glandular cells,29.8886922696778,48.9536127475318,24.732247149153,29.1508474620573,22.6749757353523,23.0448909078082,30.7755796161642
AARS2,Aars2,one-to-one,NA,NA,Medium,Approved,glandular cells,5.646228133089852,6.85197669936832,3.81510089747919,6.53919568968226,5.53163618953312,6.02836070656411,5.11109861591211
AARSD1,Aarsd1,one-to-many (mouse-to-human),NA,NA,Not detected,Supported,glandular cells,0.016471923454448582,0,0,0.0988315407266915,0,0,0
AASDH,Aasdh,one-to-one,NA,NA,High,Approved,glandular cells,6.987539926031658,6.30359055437145,7.23393501336751,7.44265025681722,6.1914077547698,6.73010997205145,8.02354600481252
AASDHPPT,Aasdhppt,one-to-one,NA,NA,Low,Approved,glandular cells,13.967609842358433,11.7540815534987,13.1945817281409,15.1108318105653,13.5964721837762,14.9003188404247,15.2493729377448
AASS,Aass,one-to-one,NA,NA,Low,Enhanced,glandular cells,7.2275241850231735,6.06767829260505,3.82858721075565,8.38343518956144,6.70186210291826,7.40413785224194,10.9794444620567
AATBC,NA,human-specific,NA,NA,NA,NA,NA,0.8457351955271478,0.944823848514929,0.643511706853011,0.822808042413604,1.12461268183125,0.661356543247818,0.877298350302275
AATF,Aatf,one-to-one,NA,NA,High,Uncertain,glandular cells,0.008529743118199916,0,0,0,0.0511784587091995,0,0
AATF_1,NA,human-specific,NA,NA,NA,NA,NA,0.5855341888933236,0.711769610892017,0.340496601896645,1.48678680569446,0.588552275155794,0.137185274439062,0.248414565281964
AATK,Aatk,one-to-one,NA,NA,Not detected,Approved,glandular cells,2.12101315954219,1.75673104616461,0.991363998770482,1.10015958828515,4.96645453250759,1.82120044871487,2.09016934281044
ABALON,NA,human-specific,NA,NA,NA,NA,NA,0.8925276588858612,0.863788339557783,0.527065530448827,0.719813533616366,0.748636234938511,1.48647417705384,1.00938813769984
ABAT,Abat,one-to-one,NA,NA,Low,Enhanced,glandular cells,1.270069402420784,1.21945669010622,0.652101353478143,1.58431130301325,1.21254190800629,1.37065792661766,1.58134723330314
ABCA1,Abca1,one-to-one,NA,NA,Medium,Approved,glandular cells,5.104436887944077,3.7509601980917,3.99930214589074,7.02550958128843,4.21795469380108,5.06882981303891,6.5640648955536
ABCA10,NA,human-specific,NA,NA,Medium,Uncertain,glandular cells,6.4699342097216785,6.34667648717552,6.30424704238917,5.53481475722704,6.79046630594002,9.24547697451538,4.59792369108294
ABCA11P,NA,human-specific,NA,NA,NA,NA,NA,5.696963559805412,5.23558945571353,3.7579633253579,6.64335707533824,6.15359524820571,5.26194209247516,7.12933416174193
ABCA12,Abca12,one-to-one,NA,NA,NA,NA,NA,0.06537851191642058,0.104209551802062,0.0366557373452481,0.0953538097853848,0.0220382127719264,0.0738425487870277,0.0601712110068745
ABCA13,Abca13,one-to-one,NA,NA,NA,NA,NA,0.017464213746950844,0.021103874292319202,0.00360559962773786,0,0.0436262416913958,0.020337625702304,0.0161119411679482
ABCA15P,Abca15,one-to-one,NA,NA,NA,NA,NA,0.044771149250202896,0.0509607270020604,0.217666168499157,0,0,0,0
ABCA15P_1,NA,human-specific,NA,NA,NA,NA,NA,0.08591482125796117,0.051205196255014,0,0,0,0.18504755945923199,0.279236171833521
ABCA17P,Abca17,one-to-one,NA,NA,NA,NA,NA,0.2460893906362953,0.280357008148871,0.383192246205966,0.186902054096322,0.100792723837984,0.219519368828408,0.305772942700221
ABCA2,Abca2,one-to-one,NA,NA,Medium,Approved,glandular cells,6.667530179221835,8.25950168792282,5.64334055635606,7.1359964548768,7.51880482129675,5.01305768266881,6.43447987220977
ABCA3,Abca3,one-to-one,NA,NA,Medium,Enhanced,glandular cells,7.339052214131515,8.26091755883385,5.18062625288464,9.89992040493421,6.40980350275767,6.02000651969329,8.26303904568543
ABCA4,Abca4,one-to-one,NA,NA,Not detected,Enhanced,glandular cells,0.045586799337765015,0.0240338799835045,0,0.0178026246942185,0.0864055528316343,0.0579031187008759,0.0873756198163569
ABCA5,Abca5,one-to-one,NA,NA,High,Approved,glandular cells,10.504927576157264,10.4560739969046,10.2263088216196,10.9623046030365,8.91228879047149,12.6329356061306,9.8396536387808
ABCA6,Abca6,one-to-one,NA,NA,NA,NA,NA,8.224546298732685,7.85551801250479,7.53055401100216,7.71075471100897,8.21075220623284,9.94133033490991,8.09836851673744
ABCA7,Abca7,one-to-one,NA,NA,Low,Enhanced,glandular cells,6.005526189792518,8.80813300348334,4.28721571863478,6.71597782457278,4.84599772288252,3.06363937790627,8.31219349127542
ABCA8,Abca8a | Abca8b,one-to-many (human-to-mouse),NA,NA,Not detected,Enhanced,glandular cells,13.129198289157532,8.69206280262889,16.2916740587936,11.8071421465812,14.9418767572563,14.0459060855859,12.9965278840993
ABCA9,Abca9,one-to-one,NA,NA,High,Uncertain,glandular cells,5.947174762772241,5.4829743125599,5.84786415135973,6.15519230847997,5.78096681498252,8.37333388921654,4.04271710003479
ABCA9-AS1,NA,human-specific,NA,NA,NA,NA,NA,2.2941316333456485,1.4592501865829,1.72601364053481,2.36968933214668,2.82489435184928,2.56914181738698,2.81580047157324
ABCB1,Abcb1a | Abcb1b,one-to-many (human-to-mouse),NA,NA,Not detected,Enhanced,glandular cells,0.5678256062456005,0.573448180770438,0.419887265073414,0.284444518051703,0.644261183506529,0.703119398479012,0.781793091592507
ABCB10,Abcb10,one-to-one,NA,NA,Medium,Uncertain,glandular cells,5.46218917805802,5.16222039883123,4.40060449797502,6.20369726393703,5.16390271786723,5.90626013132722,5.93645005841039
ABCB11,Abcb11,one-to-one,NA,NA,Not detected,Enhanced,glandular cells,0.0975617298332806,0.0938432250001975,0.120248452644159,0.199848513151882,0.021086315810251,0.0565224528893058,0.0938214195038883
ABCB11_1,NA,human-specific,NA,NA,NA,NA,NA,0.009066153678230283,0,0.0238924655656055,0,0,0,0.0305044565037762
ABCB4,Abcb4,one-to-one,NA,NA,Not detected,Enhanced,glandular cells,0.3470365389319373,0.334829415435591,0.236284200501383,0.490644927760381,0.314025404769491,0.362421768585457,0.344013516539321
ABCB5,Abcb5,one-to-one,NA,NA,NA,NA,NA,0.011724182332440932,0.0152465283745938,0,0,0,0.0550985656200518,0
ABCB6,Abcb6,one-to-one,Intracellular and membrane,Transport,Medium,Approved,glandular cells,3.96109733779392,5.22056736214396,2.08679039179648,3.41466289705375,3.8599892693162,3.51221923760194,5.67235486885119
ABCB7,Abcb7,one-to-one,NA,NA,Low,Approved,glandular cells,5.877659362310495,5.30213370296954,5.07505606710026,6.37382780825849,5.20185873578252,6.54093118904635,6.77214867070581
ABCB8,Abcb8,one-to-one,NA,NA,Medium,Approved,glandular cells,3.4180562793251914,4.6895561551724,1.90713852873908,4.48993768196213,3.29571007715749,2.49402071161543,3.63197452130462
ABCB9,Abcb9,one-to-one,NA,NA,Medium,Approved,glandular cells,1.3294907838012284,1.6682261613197,1.15757616941955,1.22094478302453,1.45332726446401,1.17282034084381,1.30404998373577
ABCC1,Abcc1,one-to-one,NA,NA,Not detected,Uncertain,glandular cells,0.23738048571926718,0.266530081868841,0.155783442745203,0.405244740470735,0.157601526072834,0.194329415338917,0.244793707819073
ABCC10,Abcc10,one-to-one,NA,NA,Low,Approved,glandular cells,4.720040036345757,6.59441008544288,3.24340308452034,5.26116696749903,3.88885089281249,4.09222029133854,5.24018889646126
ABCC11,NA,human-specific,NA,NA,NA,NA,NA,0.07591350165073063,0.0525575268633604,0.0705529015787523,0.125135215909227,0.0809796509975977,0.0361780324713321,0.0900776820841143
ABCC12,Abcc12,one-to-one,NA,NA,NA,NA,NA,0.0024745724796144666,0.0148474348776868,0,0,0,0,0
ABCC13,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
ABCC1_1,NA,human-specific,NA,NA,NA,NA,NA,0.21802263044786632,0.382232723685807,0.102876967544661,0.238528495546225,0.164714117242371,0.151378542219058,0.268404936449076
ABCC2,Abcc2,one-to-one,NA,NA,Medium,Enhanced,glandular cells,0.3657125279195092,0.47441234506417,0.217755429743024,0.440575774364796,0.343662949002047,0.486187855684498,0.23168081365852
ABCC3,Abcc3,one-to-one,NA,NA,Low,Enhanced,glandular cells,3.139387970661434,9.2545664644404,5.61357970148527,1.99129020139567,0.718943477648429,0.573265509097415,0.68468246990142
ABCC4,Abcc4,one-to-one,NA,NA,Not detected,Enhanced,glandular cells,0.8602864954712478,0.819567675688452,0.631477367847769,1.10702579835109,0.595072163112452,0.778195598578814,1.23038036924891
ABCC5,Abcc5,one-to-one,NA,NA,Not detected,Uncertain,glandular cells,2.913299131571392,4.1658411659118,2.43462283157621,3.2687828366804,2.41695368061647,2.83097530293575,2.36261897170772
ABCC5-AS1,NA,human-specific,NA,NA,NA,NA,NA,0.5584168425441103,0.500697292165233,0.21386049135269,1.39080633005579,0.562526555748238,0,0.682610385942711
ABCC6,Abcc6,one-to-one,NA,NA,NA,NA,NA,0.8476670696097135,0.534459948737068,0.966838772580905,1.18767213882915,0.452109883006224,0.744809269801294,1.20011240470364
ABCC6P1,NA,human-specific,NA,NA,NA,NA,NA,0.9456061238589801,0.989923330386065,0.919176781931925,1.05207769160672,1.35394038308025,0.466621026950167,0.891897529198754
ABCC6P1_1,NA,human-specific,NA,NA,NA,NA,NA,0.10583300840936366,0,0.378492718658157,0.123073239395503,0,0.133432092402522,0
ABCC6P2,NA,human-specific,NA,NA,NA,NA,NA,0.10164175982224173,0.330277116772847,0,0,0,0.0994641476418234,0.18010929451878
ABCC6P2_1,NA,human-specific,NA,NA,NA,NA,NA,0.0535298356416465,0,0.141069719331099,0,0,0,0.18010929451878
ABCC6_1,NA,human-specific,NA,NA,NA,NA,NA,0.9832408427362537,0.628776410278903,0.760937922864601,0.442466090936348,1.85553431150471,1.14877361952403,1.06295670130893
ABCC8,Abcc8,one-to-one,NA,NA,Not detected,Approved,glandular cells,0.05774217683267167,0.0628664188895666,0,0.128059429890377,0.0376690993604745,0.0378648986114598,0.0799932142441521
ABCC9,Abcc9,one-to-one,NA,NA,NA,NA,NA,1.34401740893766,1.0024703011691,1.09144035918863,1.25216032402835,1.4369037708394,1.67326226588698,1.6078674325135
ABCD1,Abcd1,one-to-one,NA,NA,Not detected,Approved,glandular cells,1.6855764234703,1.9524545202422,1.41517559709928,2.08719066357049,1.87449325296423,1.12252395195772,1.66162055498788
ABCD2,Abcd2,one-to-one,NA,NA,NA,NA,NA,0.8657919280491123,1.02193612018869,0.55656617592105,1.00318106068026,0.805549689696865,0.804756904547009,1.0027616172608
ABCD3,Abcd3,one-to-one,NA,NA,Medium,Enhanced,glandular cells,3.5989642329771834,3.82418855894859,2.76279256016619,4.16891414786158,2.69275274758653,4.52243653140488,3.62270085189533
ABCD4,Abcd4,one-to-one,NA,NA,Not detected,Approved,glandular cells,8.365310036845269,9.96939412146617,6.35810536693276,7.62488641628549,8.23925563506024,8.22553172123715,9.7746869600898
ABCE1,Abce1,one-to-one,NA,NA,High,Approved,glandular cells,11.817621377708852,11.8712403910496,9.05724214715423,15.30452302398,9.50231377680198,10.6251353847256,14.5452735425417
ABCF1,Abcf1,one-to-one,NA,NA,High,Approved,glandular cells,0.042846133392290486,0.0344826769494118,0.0589136977647058,0.0574703232419528,0.0309926525281555,0,0.075217449869517
ABCF1-DT,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
ABCF1_1,NA,human-specific,NA,NA,NA,NA,NA,0.008358237823689966,0,0,0.0191567744139843,0.0309926525281555,0,0
ABCF1_2,NA,human-specific,NA,NA,NA,NA,NA,0.006385591471328084,0,0,0.0383135488279685,0,0,0
ABCF1_3,NA,human-specific,NA,NA,NA,NA,NA,0.06691094739493308,0.103448030848235,0.0736421222058823,0.0766270976559371,0.0309926525281555,0.0415383312618716,0.075217449869517
ABCF1_4,NA,human-specific,NA,NA,NA,NA,NA,0.36872966309416194,0.120689369322941,0.353482186588235,1.11109291601109,0.464889787922332,0.124614993785615,0.0376087249347585
ABCF1_5,NA,human-specific,NA,NA,NA,NA,NA,0.10384398122096328,0.0517240154241177,0.162012668852941,0.26819484179578,0.0619853050563109,0.0415383312618716,0.0376087249347585
ABCF1_6,NA,human-specific,NA,NA,NA,NA,NA,0.039070985025040104,0.155172046272353,0.0294568488823529,0,0.0309926525281555,0,0.0188043624673792
ABCF2,Abcf2,one-to-many (mouse-to-human),NA,NA,Medium,Approved,glandular cells,1.1258050300869777,1.01151470852599,0.830852969221435,1.41206628102549,0.850860246925223,0.796701890355679,1.85283408446805
ABCF2-H2BK1,Abcf2,one-to-many (mouse-to-human),NA,NA,Medium,Approved,glandular cells,0.05035067762064868,0.0506966817844331,0,0.140822143522488,0,0,0.110585240416971
ABCF3,Abcf3,one-to-one,NA,NA,Medium,Approved,glandular cells,20.38249012468915,19.686946425539,18.8744137386348,23.0805624664505,20.4101010349319,17.1750226859249,23.0678943966538
ABCG1,Abcg1,one-to-one,NA,NA,Not detected,Approved,glandular cells,5.3360259746885745,5.66577280220799,4.20562241966496,7.48702747037059,5.11705463684293,3.3462730879864,6.19440543105858
ABCG2,Abcg2 | Abcg3,one-to-many (human-to-mouse),NA,NA,Not detected,Enhanced,glandular cells,2.331381200610457,3.02633969841796,0.931052519446143,1.15220332628017,3.10046630189513,3.62007904621982,2.15814631140352
ABCG4,Abcg4,one-to-one,NA,NA,Not detected,Enhanced,glandular cells,0.020843279329107917,0,0,0.0287541621686649,0.0116299296736136,0,0.084675584132369
ABCG5,Abcg5,one-to-one,NA,NA,NA,NA,NA,0.20270894887806212,0.250348646082617,0.0712868304508967,0.370881688014877,0.250011802554772,0.167540888351899,0.106183837813311
ABCG8,Abcg8,one-to-one,NA,NA,Medium,Uncertain,glandular cells,0.11716138587660711,0.212587144173498,0.118740229634749,0.10901752124727,0.0734888453052712,0.0196988882934085,0.169435686605446
ABHD1,Abhd1,one-to-one,NA,NA,Medium,Uncertain,glandular cells,5.05951206459287,4.91933355835956,5.97357968020734,5.37550499215676,5.99269980082153,3.085386125568,5.01056823044403
ABHD10,Abhd10,one-to-one,NA,NA,Medium,Supported,glandular cells,15.171021954876167,12.1568963209734,13.7648937978118,15.3985196474094,16.1314656003381,19.0376850210601,14.5366713416642
ABHD11,Abhd11,one-to-one,NA,NA,Medium,Approved,glandular cells,9.847236228629225,12.0447455969149,8.52684436077815,10.3489647452415,8.39876858200976,8.84444453309944,10.9196495537316
ABHD12,Abhd12,one-to-one,NA,NA,Not detected,Uncertain,glandular cells,8.164489628248933,10.0397436647602,7.01510238363678,8.46644586554109,7.41555781311278,9.69072146641861,6.35936657602414
ABHD12B,Abhd12b,one-to-one,NA,NA,NA,NA,NA,0.09046254544693506,0.169183739211451,0.0361313294108111,0.0469948248412222,0.0665264655086983,0.0509502946493778,0.17298861906005
ABHD13,Abhd13,one-to-one,NA,NA,Medium,Approved,glandular cells,4.110558091851175,3.5090074220437,3.04298959417478,4.6786110277718,3.19208602976774,4.90588307132546,5.33477140602357
ABHD14A,Abhd14a,one-to-one,NA,NA,Medium,Approved,glandular cells,3.9691500659304,5.56227252171082,2.0699930110479,3.67141558421856,3.66286053354565,4.6438373622266,4.20452138283287
ABHD14A-ACY1,NA,human-specific,NA,NA,Not detected,Approved,glandular cells,0,0,0,0,0,0,0
ABHD14B,Abhd14b,one-to-one,NA,NA,High,Supported,glandular cells,16.36858765445462,18.7418372342875,16.0308051654076,19.4589043379077,17.3862485499119,12.826344672226,13.767385966987
ABHD15,Abhd15,one-to-one,Secreted to blood,No annotated function,Medium,Approved,glandular cells,3.3401052838792116,4.48874692273819,3.1451639357569,3.5117461550309,2.5838526485941,3.13901672132507,3.17210531983011
ABHD16A,Abhd16a,one-to-one,NA,NA,Not detected,Approved,glandular cells,0.0314976665385402,0,0.0647378897016427,0.0561349542853842,0.0681131552442143,0,0
ABHD16A_1,NA,human-specific,NA,NA,NA,NA,NA,0.036167724926493165,0.101044333057442,0,0,0,0.0608597323350572,0.0551022841664598
ABHD16A_2,NA,human-specific,NA,NA,NA,NA,NA,0.5732928944461604,0,0.647378897016427,0.0842024314280763,0.0908175403256191,0,2.61735849790684
ABHD16A_3,NA,human-specific,NA,NA,NA,NA,NA,0.06552312583542579,0.0505221665287208,0.0863171862688569,0.14033738571346,0,0.0608597323350572,0.0551022841664598
ABHD16A_4,NA,human-specific,NA,NA,NA,NA,NA,0.02029137280097355,0.0505221665287208,0.0431585931344284,0.0280674771426921,0,0,0
ABHD16A_5,NA,human-specific,NA,NA,NA,NA,NA,0.06500997873945732,0.10108783040271,0,0,0.04542831763167,0.243543724402364,0
ABHD16A_6,NA,human-specific,NA,NA,NA,NA,NA,0.10688536095464966,0.202175660805419,0,0.112318238277428,0.04542831763167,0.060885931100591,0.22050401791279
ABHD16B,Abhd16b,one-to-one,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
ABHD17A,Abhd17a,one-to-one,NA,NA,Medium,Uncertain,glandular cells,10.659601734947667,12.4135475546281,8.0160819462991,11.8981941362109,11.3776578852734,9.8705177589195,10.381611128355
ABHD17B,Abhd17b,one-to-one,NA,NA,NA,NA,NA,2.7466503709928647,2.5978494036799,1.79650699070723,3.53934842017674,2.41830855305627,2.46813346212751,3.65975539620954
ABHD17C,Abhd17c,one-to-one,NA,NA,Low,Uncertain,glandular cells,8.463282092545318,8.15578842104639,9.26112848660811,7.18318186730211,8.69359655715919,8.53660209970389,8.94939512345222
ABHD18,Abhd18,one-to-one,Intracellular and membrane,No annotated function,Medium,Approved,glandular cells,3.3219394577657635,3.78580575373305,2.55455465371059,3.72201951449609,2.3990335896672,4.01686919129425,3.4533540436934
ABHD2,Abhd2,one-to-one,NA,NA,Low,Approved,glandular cells,10.88567483496099,12.5587660458791,8.75244052123225,11.3091560679683,9.3651929965159,10.6108946236172,12.7175987545532
ABHD3,Abhd3,one-to-one,NA,NA,Medium,Approved,glandular cells,4.7038223315954,6.2480763346069,3.31350098789574,5.66092946490957,3.37319049154431,5.07661457272879,4.55062213788709
ABHD4,Abhd4,one-to-one,NA,NA,Low,Uncertain,glandular cells,3.7451637620626186,5.55578747054768,3.58658020084826,3.47860213322245,4.05008715825123,1.22079670237572,4.57912890713037
ABHD5,Abhd5,one-to-one,NA,NA,Low,Approved,glandular cells,10.34616689901397,9.31630362341973,10.2060229575015,9.88315407266916,6.60614320245773,11.1661593115794,14.8992182264563
ABHD6,Abhd6,one-to-one,NA,NA,Low,Uncertain,glandular cells,1.5813808555661617,1.21409925045495,1.29643132844996,2.30450796386409,1.15942030908592,1.85862108891578,1.65520519262627
ABHD8,Abhd8,one-to-one,NA,NA,Low,Approved,glandular cells,4.38288456999715,5.28993309557921,3.8067062729882,4.24849786728158,5.27133112123099,4.29439623540339,3.38644282749953
ABI1,Abi1,one-to-one,NA,NA,Medium,Approved,glandular cells,16.336722761372968,14.9652548199697,14.0359064641393,19.7727290695093,16.6801963118589,17.8097281958838,14.7565217068768
ABI2,Abi2,one-to-one,NA,NA,Low,Enhanced,glandular cells,6.37333939178676,6.7799280314567,5.21190783500472,7.32267573198168,5.67518052478459,6.02794456696629,7.22239966052658
ABI3,Abi3,one-to-one,NA,NA,Not detected,Enhanced,glandular cells,2.4510995942200333,2.56174941845994,1.39812916377059,2.33242436114992,2.36642989621798,2.4001603045496,3.64770442117217
ABI3BP,Abi3bp,one-to-one,Secreted in other tissues,No annotated function,NA,NA,NA,3.966177765145925,5.16277392691605,2.90863537166826,4.39903000267173,3.7719780405271,3.53881202173022,4.01583722736219
ABITRAM,Abitram,one-to-one,NA,NA,Low,Uncertain,glandular cells,5.304980458813507,5.07748954589954,5.06426442636581,6.61741620517848,4.8596087952545,3.83515897190604,6.37594480827667
ABL1,Abl1,one-to-one,NA,NA,Medium,Supported,glandular cells,13.238185728615312,15.1658423768432,11.2337786665676,16.0949376508852,12.5063066756772,9.02322357376857,15.4050254279501
ABL2,Abl2,one-to-one,NA,NA,Medium,Uncertain,glandular cells,5.403183719886192,4.66958905991997,4.43858517069714,6.6037053804351,4.88391767807962,5.83099691414936,5.99230811603596
ABLIM1,Ablim1,one-to-one,NA,NA,Not detected,Approved,glandular cells,52.09279913075882,48.9502177613903,48.289943046788,60.1648065954467,58.2164560945536,52.4182125943268,44.5171586920475
ABLIM2,Ablim2,one-to-one,NA,NA,Not detected,Uncertain,glandular cells,0.28985792185500486,0.335962614490969,0.185158889504175,0.457577079827474,0.0681844076987803,0.195825204836634,0.496439334771997
ABLIM3,Ablim3,one-to-one,NA,NA,High,Approved,glandular cells,0.6155466553259579,0.839931018539983,0.327285997936082,0.818634749995186,0.622478557648514,0.4260181263454,0.658931481490582
ABO,Abo,one-to-one,Secreted to blood,NA,NA,NA,NA,0.22065524933991543,0.0926120168896886,0.087025262256549,0.102900799620786,0.183125067115012,0.423934743806087,0.43433360635137
ABO_1,NA,human-specific,NA,NA,NA,NA,NA,0.12082223847585132,0.0271874455880088,0.0696746784501162,0.140969965469995,0.0325810379309569,0.20741913715551,0.247101166260521
ABR,Abr,one-to-one,NA,NA,High,Enhanced,glandular cells,1.0815700027335604,1.11297983697974,0.685550696012991,2.04368873480339,0.895035767108501,0.557453772589661,1.19471120890708
ABR-AS1,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
ABR-AS1_1,NA,human-specific,NA,NA,NA,NA,NA,0.1525554129588826,0.0590611242518849,0.0504530032416558,0.131245104385546,0.159250475641402,0,0.515322770232807
ABRA,Abra,one-to-one,NA,NA,NA,NA,NA,0.7540147280700629,0.68214097320405,0.327779641975202,0.852664272936162,0.977129461651568,0.84739553236024,0.836978486293155
ABRACL,Abracl,one-to-one,NA,NA,Low,Enhanced,glandular cells,7.425184057062894,7.61112087344644,3.68284052855727,9.462022394142,6.4580904582411,10.8354601237478,6.50156996424275
ABRAXAS1,Abraxas1,one-to-one,NA,NA,Not detected,Uncertain,glandular cells,2.0494213044314264,2.3099069336378,1.60397828943548,2.40142906137566,2.0761190632514,2.03402579881893,1.87106868006929
