Geneid,mouse_gene,ortholog_type,Secretome location,Secretome function,Level,Reliability,Cell type,Mean_TPM,adult_PAR_01,adult_PAR_02,adult_PAR_03,adult_PAR_04
AAGAB,Aagab,one-to-one,NA,NA,Medium,Supported,glandular cells,7.56355246236387,7.80822972690269,9.07408105374378,6.18339445852458,7.18850461028443
AAK1,Aak1,one-to-one,NA,NA,Not detected,Enhanced,glandular cells,3.72442996202589,4.26575491787445,3.93671030245048,2.83522176075464,3.86003286702399
AAMDC,Aamdc,one-to-one,NA,NA,Not detected,Enhanced,glandular cells,2.16392651666145,1.94841294760805,2.20765785351529,1.79630989803204,2.70332536749042
AAMP,Aamp,one-to-one,NA,NA,Medium,Approved,glandular cells,44.2468764939927,41.7932814254236,46.2509462708031,39.5661554570701,49.377122822674004
AANAT,Aanat,one-to-one,NA,NA,NA,NA,NA,0.321688205202783,0.530124129405848,0.168134835188758,0.185237663205118,0.403256193011408
AAR2,Aar2,one-to-one,NA,NA,NA,NA,NA,11.294293236928556,11.6525307902663,12.5917192069763,9.95106858952293,10.9818543609487
AARD,Aard,one-to-one,NA,NA,NA,NA,NA,0.3653712756442132,0.151418584539481,0.491766871947983,0.2821822106442,0.536117435445189
AARS1,Aars1,one-to-one,NA,NA,Medium,Supported,glandular cells,45.61361241059548,37.82895299594,57.6717649608382,24.5274715082911,62.4262601773126
AARS2,Aars2,one-to-one,NA,NA,Medium,Approved,glandular cells,7.341549603644418,7.40361768720864,7.74886428092608,5.94200573285464,8.27171071358831
AARSD1,Aarsd1,one-to-one,NA,NA,Not detected,Supported,glandular cells,0,0,0,0,0
AASDH,Aasdh,one-to-one,NA,NA,High,Approved,glandular cells,7.35528278124415,7.91630241895455,7.68353577776499,7.37637233732749,6.44492059092957
AASDHPPT,Aasdhppt,one-to-one,NA,NA,Low,Approved,glandular cells,17.90104844288245,17.602008238549,20.7401945125758,16.1444631806589,17.1175278397461
AASS,Aass,one-to-one,NA,NA,Low,Enhanced,glandular cells,10.991404889597352,13.9691265978504,11.353806893783,8.49317793809951,10.1495081286565
AATBC,NA,human-specific,NA,NA,NA,NA,NA,1.1870100586253924,1.40329264365966,1.08731093896709,0.87172086916754,1.38571578270728
AATF,Aatf,one-to-one,NA,NA,High,Uncertain,glandular cells,0,0,0,0,0
AATF_1,NA,human-specific,NA,NA,NA,NA,NA,0.542909357415191,0.336469425004803,0.204892926218385,1.03461792780473,0.595657150632846
AATK,Aatk,one-to-one,NA,NA,Not detected,Approved,glandular cells,6.285072249029488,6.14026800376556,8.05799461815736,2.8255630421689,8.11646333202613
ABALON,NA,human-specific,NA,NA,NA,NA,NA,0.9330735089334682,0.802080872092374,1.2210670920876,0.781346675011816,0.927799396542083
ABAT,Abat,one-to-one,NA,NA,Low,Enhanced,glandular cells,1.7917680050513476,2.12202472138211,1.78513325015424,1.26356384736687,1.99635020130217
ABCA1,Abca1,one-to-one,NA,NA,Medium,Approved,glandular cells,6.2383236291094075,4.83286862904429,6.9954817949915,4.58399144988823,8.54095264251361
ABCA10,NA,human-specific,NA,NA,Medium,Uncertain,glandular cells,6.218139895270642,7.03175629418821,6.33999370267924,4.34778759086658,7.15302199334854
ABCA11P,NA,human-specific,NA,NA,NA,NA,NA,6.511658801076868,7.06614201538055,6.61416711235631,5.56074667374647,6.80557940282414
ABCA12,Abca12,one-to-one,NA,NA,NA,NA,NA,0.11390626702833198,0.0724443932713693,0.124992458244741,0.0337516677762276,0.22443654882099
ABCA13,Abca13,one-to-one,NA,NA,NA,NA,NA,0.06841990144695932,0.0249406842461681,0.0506254000841554,0.120845967066162,0.0772675543913518
ABCA15P,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0,0
ABCA15P_1,NA,human-specific,NA,NA,NA,NA,NA,0.00704840214332602,0,0,0.0281936085733041,0
ABCA17P,NA,human-specific,NA,NA,NA,NA,NA,0.3488065941720663,0.381026718010453,0.521217989085149,0.108055303536319,0.384926366056344
ABCA2,Abca2,one-to-one,NA,NA,Medium,Approved,glandular cells,10.286996891777722,12.2995225992555,9.30503383521517,7.81937467575872,11.7240564568815
ABCA3,Abca3,one-to-one,NA,NA,Medium,Enhanced,glandular cells,8.634426760644407,7.88170199590923,8.45789019975796,6.19844726481144,11.999667582099
ABCA4,Abca4,one-to-one,NA,NA,Not detected,Enhanced,glandular cells,0.08615781836367825,0.113613529644089,0,0.052932268934432,0.178085474876192
ABCA5,Abca5,one-to-one,NA,NA,High,Approved,glandular cells,11.572318581116626,11.2637010041507,13.7031580029376,11.0356194982716,10.2867958191066
ABCA6,Abca6,one-to-one,NA,NA,NA,NA,NA,9.966909931863263,11.2916887892441,9.47510734590661,8.23741897066745,10.8634246216349
ABCA7,Abca7,one-to-one,NA,NA,Low,Enhanced,glandular cells,6.979092222255828,8.1552803299489,5.62302130603749,5.53591784316847,8.60214940986845
ABCA8,Abca8b,one-to-one,NA,NA,Not detected,Enhanced,glandular cells,18.3965447348387,20.1270886549187,18.0963882354506,15.4956628833175,19.867039165668
ABCA9,Abca9,one-to-one,NA,NA,High,Uncertain,glandular cells,9.710395176608316,9.99769760151118,11.3337002429214,8.26186082124791,9.24832204075277
ABCA9-AS1,NA,human-specific,NA,NA,NA,NA,NA,3.5363899107489276,2.91847017130361,3.23127505822035,4.32634427543121,3.66947013804054
ABCB1,Abcb1a | Abcb1b,one-to-many (mouse-to-human),NA,NA,Not detected,Enhanced,glandular cells,0.8570299097486578,0.714010069897685,0.319341809419736,1.08254014791981,1.3122276117574
ABCB10,Abcb10,one-to-one,NA,NA,Medium,Uncertain,glandular cells,5.046071392060517,5.13075021436132,6.67101867608198,3.7223706062431,4.66014607155567
ABCB11,Abcb11,one-to-one,NA,NA,Not detected,Enhanced,glandular cells,0.066743797525965,0.0554522409239299,0,0.180845455392342,0.0306774937875881
ABCB11_1,NA,human-specific,NA,NA,NA,NA,NA,0.0041317291231533,0.0165269164926132,0,0,0
ABCB4,Abcb4,one-to-one,NA,NA,Not detected,Enhanced,glandular cells,0.5479909123774735,0.510400032551094,0.558755779616215,0.475588283750552,0.647219553592033
ABCB5,Abcb5,one-to-one,NA,NA,NA,NA,NA,0.05389329280584167,0.0991014088814302,0,0.0167894934316547,0.0996822689102818
ABCB6,Abcb6,one-to-one,Intracellular and membrane,Transport,Medium,Approved,glandular cells,4.7161408556892574,4.49340238897521,5.55285040590844,3.66627604479902,5.15203458307436
ABCB7,Abcb7,one-to-one,NA,NA,Low,Approved,glandular cells,6.498163284162832,6.90025199439556,6.9572035942506,5.40257033125074,6.73262721675443
ABCB8,Abcb8,one-to-one,NA,NA,Medium,Approved,glandular cells,3.4243904475065925,3.81759482003856,3.70998247425299,2.32111803983452,3.8488664559003
ABCB9,Abcb9,one-to-one,NA,NA,Medium,Approved,glandular cells,1.4220819849646364,1.87731730449436,1.49557330093825,0.833883872853456,1.48155346157248
ABCC1,Abcc1,one-to-one,NA,NA,Not detected,Uncertain,glandular cells,6.220000511839695,2.80172502477476,5.3925843505723,6.54203213338382,10.1436605386279
ABCC10,Abcc10,one-to-one,NA,NA,Low,Approved,glandular cells,6.226415386335304,7.02322286195314,6.40893065278775,4.4297762741343,7.04373175646603
ABCC11,NA,human-specific,NA,NA,NA,NA,NA,0.13857463950744892,0.0798593117948476,0.0450280528053791,0.22323756239696,0.206173631032609
ABCC12,Abcc12,one-to-one,NA,NA,NA,NA,NA,0.03014786227967243,0.0526403607253341,0,0,0.0679510883933556
ABCC13,NA,human-specific,NA,NA,NA,NA,NA,0.05661461886512187,0.0704842486650765,0,0,0.155974226795411
ABCC1_1,NA,human-specific,NA,NA,NA,NA,NA,5.500245201059448,8.35381678902845,6.68853330900465,3.93238477709203,3.02624592911266
ABCC2,Abcc2,one-to-one,NA,NA,Medium,Enhanced,glandular cells,0.576190569843141,0.485350348002345,0.645462554849347,0.40546292508099,0.768486451439882
ABCC3,Abcc3,one-to-one,NA,NA,Low,Enhanced,glandular cells,0.4124038383835408,0.287188666861636,0.485787298910326,0.267601011901703,0.609038375860498
ABCC4,Abcc4,one-to-one,NA,NA,Not detected,Enhanced,glandular cells,0.588065536238834,0.600133542039115,0.659199747896412,0.424710026006261,0.668218829013548
ABCC5,Abcc5,one-to-one,NA,NA,Not detected,Uncertain,glandular cells,2.3395127274279823,2.17300563174287,1.99866027242292,1.87293643532755,3.31344857021859
ABCC5-AS1,NA,human-specific,NA,NA,NA,NA,NA,0.44334625562067026,0,0.300276626767811,0,1.47310839571487
ABCC6,Abcc6,one-to-one,NA,NA,NA,NA,NA,5.094352766412695,4.23562271315757,5.6060391938174,2.86195826949829,7.67379088917752
ABCC6P1,NA,human-specific,NA,NA,NA,NA,NA,2.0781914416917,1.75484592561706,2.40050689694495,2.44088646599501,1.71652647820978
ABCC6P1_1,NA,human-specific,NA,NA,NA,NA,NA,0.13787293464509276,0.261811303532039,0,0,0.289680435048332
ABCC6P2,NA,human-specific,NA,NA,NA,NA,NA,0.689883269674238,1.07338952151321,0.396145535735875,1.1820299268096,0.107968094638267
ABCC6P2_1,NA,human-specific,NA,NA,NA,NA,NA,0.1977553615748495,0.19516173118422,0.198072767867937,0.181850757970707,0.215936189276534
ABCC6_1,NA,human-specific,NA,NA,NA,NA,NA,3.84584544676571,3.05906084839158,3.01670270519322,4.88148527418458,4.42613295929346
ABCC8,Abcc8,one-to-one,NA,NA,Not detected,Approved,glandular cells,0.07581319551723875,0.049530605344273,0.0251347024726224,0.0230761893480586,0.205511284904001
ABCC9,Abcc9,one-to-one,NA,NA,NA,NA,NA,2.359664734899338,2.71015607171837,2.09830022509741,2.12847584991997,2.5017267928616
ABCD1,Abcd1,one-to-one,NA,NA,Not detected,Approved,glandular cells,3.15648135064691,4.52744238294822,2.83859386150876,1.7591277403697,3.50076141776096
ABCD2,Abcd2,one-to-one,NA,NA,NA,NA,NA,2.26272514627856,2.12623049502444,2.86403782330186,1.77726307789928,2.28336918888866
ABCD3,Abcd3,one-to-one,NA,NA,Medium,Enhanced,glandular cells,3.9192572398167496,3.71886072688725,5.1556317616922,2.94784038569768,3.85469608498987
ABCD4,Abcd4,one-to-one,NA,NA,Not detected,Approved,glandular cells,10.636501354821789,10.1679318696537,11.3843172873628,9.58722060886276,11.4065356534079
ABCE1,Abce1,one-to-one,NA,NA,High,Approved,glandular cells,14.7242502577835,14.1187487496445,16.702472137083,12.473876599933,15.6019035444735
ABCF1,Abcf1,one-to-one,NA,NA,High,Approved,glandular cells,0.09192861038866836,0.22413508070364,0,0.0759447218309384,0.0676346390200951
ABCF1-DT,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0,0
ABCF1_1,NA,human-specific,NA,NA,NA,NA,NA,0.03110545208861175,0,0.0413596880922477,0.0379723609154692,0.0450897593467301
ABCF1_2,NA,human-specific,NA,NA,NA,NA,NA,0.02052788023686372,0.0407518328552072,0.0413596880922477,0,0
ABCF1_3,NA,human-specific,NA,NA,NA,NA,NA,0.353899010797188,0.122255498565622,1.15807126658294,0,0.13526927804019
ABCF1_4,NA,human-specific,NA,NA,NA,NA,NA,0.12916259694525603,0.0815036657104145,0.0827193761844955,0.284792706866019,0.0676346390200951
ABCF1_5,NA,human-specific,NA,NA,NA,NA,NA,0.2001668848856331,0.0407518328552072,0.165438752368991,0.0759447218309384,0.518532232487396
ABCF1_6,NA,human-specific,NA,NA,NA,NA,NA,0.09433456009888176,0,0,0.151889443661877,0.22544879673365
ABCF2,Abcf2,one-to-one,NA,NA,Medium,Approved,glandular cells,1.4514527235587575,1.44062725226046,1.41545241372028,1.2709668780239,1.67876435023039
ABCF2-H2BK1,NA,human-specific,NA,NA,Medium,Approved,glandular cells,0.04584414572634082,0.119827280545752,0.0304036567258427,0,0.0331456456337686
ABCF3,Abcf3,one-to-one,NA,NA,Medium,Approved,glandular cells,26.156685311071925,23.9635770323746,28.0017311694026,24.8505970657051,27.8108359768054
ABCG1,Abcg1,one-to-one,NA,NA,Not detected,Approved,glandular cells,5.20160874470576,4.24178468231283,6.16892972532616,3.92218730727895,6.4735332639051
ABCG2,Abcg3,one-to-one,NA,NA,Not detected,Enhanced,glandular cells,2.2672266498943476,2.50108130627218,1.5864921813503,3.09955898089112,1.88177413106379
ABCG4,Abcg4,one-to-one,NA,NA,Not detected,Enhanced,glandular cells,0.03574199171046333,0.0611681687775978,0.0310402772656168,0,0.0507595207986387
ABCG5,Abcg5,one-to-one,NA,NA,NA,NA,NA,0.30771276923742924,0.262989795540357,0.433732905331283,0.352263142039205,0.181865234038872
ABCG8,Abcg8,one-to-one,NA,NA,Medium,Uncertain,glandular cells,0.2010138534293342,0.10629247211642,0.27459837484087,0.0810350278728798,0.342129538887167
ABHD1,Abhd1,one-to-one,NA,NA,Medium,Uncertain,glandular cells,2.052836505995991,2.16211897134319,2.38942422429054,0.895400892778204,2.76440193557203
ABHD10,Abhd10,one-to-one,NA,NA,Medium,Supported,glandular cells,16.282494498249026,17.188266941597,18.1074380690235,13.0707628668151,16.7635101155605
ABHD11,Abhd11,one-to-one,NA,NA,Medium,Approved,glandular cells,12.681335326444046,13.947709676796,13.3915616452481,8.78677487990088,14.5992951038312
ABHD12,Abhd12,one-to-one,NA,NA,Not detected,Uncertain,glandular cells,8.247748966084096,9.24863784807764,8.83080575638536,6.37833260389472,8.53321965597866
ABHD12B,Abhd12b,one-to-one,NA,NA,NA,NA,NA,0.0912722431637267,0.11246757185229,0.0634139670182383,0.0232881644303265,0.165919269354052
ABHD13,Abhd13,one-to-one,NA,NA,Medium,Approved,glandular cells,4.343421896102472,4.80042714300821,5.42045269249176,3.23181174978624,3.92099599912368
ABHD14A,Abhd14a,one-to-one,NA,NA,Medium,Approved,glandular cells,6.407286877618458,5.85759811373277,8.7192895919051,4.4271106430364,6.62514916179956
ABHD14A-ACY1,NA,human-specific,NA,NA,Not detected,Approved,glandular cells,0,0,0,0,0
ABHD14B,Abhd14b,one-to-one,NA,NA,High,Supported,glandular cells,26.973111905862076,26.9605480828407,26.813704723309,24.6972656097431,29.4209292075555
ABHD15,Abhd15,one-to-one,Secreted to blood,No annotated function,Medium,Approved,glandular cells,4.471365586893217,3.87431245991355,5.16214388835202,3.57303931286001,5.27596668644729
ABHD16A,Abhd16a,one-to-one,NA,NA,Not detected,Approved,glandular cells,0.01514949848903867,0,0.0605979939561547,0,0
ABHD16A_1,NA,human-specific,NA,NA,NA,NA,NA,0.03007634776528445,0.0597073971049831,0.0605979939561547,0,0
ABHD16A_2,NA,human-specific,NA,NA,NA,NA,NA,0.06772744477508826,0.119414794209966,0.151494984890387,0,0
ABHD16A_3,NA,human-specific,NA,NA,NA,NA,NA,0.0376510970098038,0.0597073971049831,0.0908969909342321,0,0
ABHD16A_4,NA,human-specific,NA,NA,NA,NA,NA,0.26041400253442576,0,0.151494984890387,0.890161025247316,0
ABHD16A_5,NA,human-specific,NA,NA,NA,NA,NA,0.01515602001227975,0,0.060624080049119,0,0
ABHD16A_6,NA,human-specific,NA,NA,NA,NA,NA,0.3464745367056315,0.119466199631494,0.151560200122798,0.222636054958541,0.892235692109693
ABHD16B,Abhd16b,one-to-one,NA,NA,NA,NA,NA,0,0,0,0,0
ABHD17A,Abhd17a,one-to-one,NA,NA,Medium,Uncertain,glandular cells,16.383976880297674,17.5551973407823,17.7582003458632,11.3599919117574,18.8625179227878
ABHD17B,Abhd17b,one-to-one,NA,NA,NA,NA,NA,3.07455934982737,2.62242311209393,3.39415804630593,2.73304229832822,3.5486139425814
ABHD17C,Abhd17c,one-to-one,NA,NA,Low,Uncertain,glandular cells,15.53024162424725,15.7508164141003,18.2225688034641,15.1420217219815,13.0055595574431
ABHD18,Abhd18,one-to-one,Intracellular and membrane,No annotated function,Medium,Approved,glandular cells,4.443815472289658,4.70005180129169,4.68759745274537,3.53727679424261,4.85033584087896
ABHD2,Abhd2,one-to-one,NA,NA,Low,Approved,glandular cells,12.28382301222805,14.4439370817778,13.3867035982001,10.2563775324467,11.0482738364876
ABHD3,Abhd3,one-to-one,NA,NA,Medium,Approved,glandular cells,4.437869710926105,5.42650678588639,4.7781518234428,2.88606894904403,4.6607512853312
ABHD4,Abhd4,one-to-one,NA,NA,Low,Uncertain,glandular cells,4.562261840418382,5.11153480554923,3.60322695751868,5.0618304230829,4.47245517552272
ABHD5,Abhd5,one-to-one,NA,NA,Low,Approved,glandular cells,12.4947245300914,13.6104297266775,13.5663734807462,11.4036087035401,11.3984862094018
ABHD6,Abhd6,one-to-one,NA,NA,Low,Uncertain,glandular cells,1.83187289382528,1.9728908654784,1.6989369507604,1.67120924925255,1.98445450980977
ABHD8,Abhd8,one-to-one,NA,NA,Low,Approved,glandular cells,5.461851542822698,5.30033265818535,5.31042596594808,4.43227826846331,6.80436927869405
ABI1,Abi1,one-to-one,NA,NA,Medium,Approved,glandular cells,22.591085781702,22.9408294021551,25.9074710272894,20.7793016895439,20.7367410078196
ABI2,Abi2,one-to-one,NA,NA,Low,Enhanced,glandular cells,6.451264404701147,6.95852065007378,7.21378464110157,4.56307755320756,7.06967477442168
ABI3,Abi3,one-to-one,NA,NA,Not detected,Enhanced,glandular cells,1.085273507939497,0.588678749153858,1.23759466686939,0.97951430997858,1.53530630575616
ABI3BP,Abi3bp,one-to-one,Secreted in other tissues,No annotated function,NA,NA,NA,4.12962643843504,4.35145641728291,3.04871499077875,3.44428622351519,5.67404812216331
ABITRAM,Abitram,one-to-one,NA,NA,Low,Uncertain,glandular cells,7.328258813251633,6.55201452925201,7.60441081519353,6.83049810548878,8.32611180307221
ABL1,Abl1,one-to-one,NA,NA,Medium,Supported,glandular cells,21.84840998666153,22.9744942689626,24.8985203992665,16.7468784743956,22.7737468040214
ABL2,Abl2,one-to-one,NA,NA,Medium,Uncertain,glandular cells,7.323433322923225,7.11112269785889,9.91107474609905,5.20121930806533,7.07031653966963
ABLIM1,Ablim1,one-to-one,NA,NA,Not detected,Approved,glandular cells,60.71569349487183,64.0073636925952,66.0013816663776,53.8467824305749,59.0072461899396
ABLIM2,Ablim2,one-to-one,NA,NA,Not detected,Uncertain,glandular cells,0.301346522500819,0.230540874625776,0.181984154638864,0.381896662853011,0.410964397885625
ABLIM3,Ablim3,one-to-one,NA,NA,High,Approved,glandular cells,1.5831766829003,1.88078300880697,1.58186013389712,1.59834902840631,1.2717145604908
ABO,Abo,one-to-one,Secreted to blood,NA,NA,NA,NA,0.08839631526763406,0.120394376052357,0.0222163965852822,0.101984452529715,0.108990035903182
ABO_1,NA,human-specific,NA,NA,NA,NA,NA,0.05463935124407129,0,0.163047705257144,0.0199592295333703,0.0355504701857709
ABR,Abr,one-to-one,NA,NA,High,Enhanced,glandular cells,1.348951506251995,1.30148065675176,1.62301284511065,1.07725072087247,1.3940618022731
ABR-AS1,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0,0
ABR-AS1_1,NA,human-specific,NA,NA,NA,NA,NA,0.152286658705809,0.348993940824901,0,0.260152693998335,0
ABRA,Abra,one-to-one,NA,NA,NA,NA,NA,0.838845453053281,0.730580925070341,1.02272867069066,0.821596970243472,0.780475246208651
ABRACL,Abracl,one-to-one,NA,NA,Low,Enhanced,glandular cells,6.329758584286025,5.59820452747338,6.5116197966086,8.61581852711894,4.59339148594318
ABRAXAS1,Abraxas1,one-to-one,NA,NA,Not detected,Uncertain,glandular cells,2.4161953268619425,2.26690275009448,2.13869367348616,2.38004397454529,2.87914090932184
ABRAXAS2,Abraxas2,one-to-one,NA,NA,Medium,Approved,glandular cells,5.946585819063425,6.33196946298346,6.51125445058882,5.39381946235795,5.54929990032347
ABR_1,NA,human-specific,NA,NA,NA,NA,NA,0.28179619275398426,0.186616843671223,0.168355932999526,0.347777346160954,0.424434648184234
ABR_2,NA,human-specific,NA,NA,NA,NA,NA,1.853801484965387,2.71524331350343,1.33422896768984,2.71322168172215,0.652511976946128
ABT1,Abt1,one-to-one,NA,NA,NA,NA,NA,0.82251239093258,0.730812048425314,0.454598202706077,1.29603422461998,0.808605087978949
ABT1_1,NA,human-specific,NA,NA,NA,NA,NA,1.0775807056826725,0.91940870608346,1.84231903201936,0.505233680784059,1.04336140384381
ABTB1,Abtb1,one-to-one,NA,NA,Medium,Uncertain,glandular cells,9.323224851053812,9.74360493672773,8.48625412970445,9.04684880122647,10.0161915365566
ABTB2,Abtb2,one-to-one,NA,NA,Low,Approved,glandular cells,6.7066422496972145,7.41184864596512,7.16351062579997,4.19124288233037,8.0599668446934
ABTB3,Abtb3,one-to-one,NA,NA,NA,NA,NA,4.5512905510066055,5.17233540659837,4.4563982511623,3.33728326851109,5.23914527775466
ACAA1,Acaa1a | Acaa1b,one-to-many (mouse-to-human),NA,NA,Not detected,Enhanced,glandular cells,10.517745279056395,10.5538352845752,9.40727746915639,10.4326047935814,11.6772635689126
ACAA2,Acaa2,one-to-one,NA,NA,Medium,Approved,glandular cells,5.177869439303385,4.71859845924883,7.53241763151647,3.29205185383779,5.16840981261045
ACACA,Acaca,one-to-one,NA,NA,Medium,Approved,glandular cells,0.3548826908829015,0.448088590536563,0.322370230764789,0.454522827292219,0.194549114938035
ACACA_1,NA,human-specific,NA,NA,NA,NA,NA,0.462771310837752,0.485726755480811,0.382053196515027,0.34510585560285,0.63819943575232
ACACB,Acacb,one-to-one,Intracellular and membrane,Enzyme,Not detected,Enhanced,glandular cells,25.65502968302965,24.1945169678974,31.7541027999092,22.3477134331506,24.3237855311614
ACAD10,Acad10 | Acad12,one-to-many (mouse-to-human),NA,NA,NA,NA,NA,12.247569447862311,11.1035074423054,13.0728751626095,9.79418724293294,15.0197079436014
ACAD11,Acad11,one-to-one,NA,NA,Not detected,Enhanced,glandular cells,0,0,0,0,0
ACAD8,Acad8,one-to-one,NA,NA,Medium,Enhanced,glandular cells,10.77608575863847,9.39223010610817,11.6874591239132,9.17019106210671,12.8544627424258
ACAD9,Acad9,one-to-one,NA,NA,Medium,Supported,glandular cells,19.8034798999769,19.2197795368787,20.6241585250246,17.1759277983319,22.1940537396724
ACAD9-DT,NA,human-specific,NA,NA,NA,NA,NA,1.0468079732373337,1.18598282796565,0.752295608729186,0.690683167292589,1.55827028896191
ACADL,Acadl,one-to-one,NA,NA,Medium,Enhanced,glandular cells,7.788873631294765,9.56612278376365,8.46142653488635,5.89790813041133,7.23003707611773
ACADM,Acadm,one-to-one,NA,NA,Medium,Enhanced,glandular cells,17.15764033316955,19.1292230249316,20.3941884431849,14.608473115431,14.4986767491307
ACADS,Acads,one-to-one,NA,NA,Medium,Enhanced,glandular cells,20.450927518700176,19.6443608888297,24.7632080494584,15.1998668812084,22.1962742553042
ACADSB,Acadsb,one-to-one,NA,NA,Medium,Enhanced,glandular cells,10.342115258876095,11.2350984401304,11.3063546459391,8.66689269075439,10.1601152586805
ACADVL,Acadvl,one-to-one,NA,NA,Medium,Enhanced,glandular cells,141.38866289922402,146.847399521605,151.455215188964,120.83100836531,146.421028521017
ACAN,Acan,one-to-one,Secreted to extracellular matrix,No annotated function,Not detected,Enhanced,glandular cells,0.10920142481221348,0.119107288302129,0.120883895239574,0.0485553230912129,0.148259192615938
ACAP1,Acap1,one-to-one,NA,NA,Low,Approved,glandular cells,0,0,0,0,0
ACAP1_1,NA,human-specific,NA,NA,NA,NA,NA,0.3493496067864498,0.650437457212409,0.275058081941608,0.202024826433082,0.2698780615587
ACAP2,Acap2,one-to-one,NA,NA,Medium,Supported,glandular cells,7.221855338874595,6.63918521664409,8.69964682863619,5.948789244609,7.5998000656091
ACAP3,Acap3,one-to-one,NA,NA,Low,Approved,glandular cells,26.6553560859455,28.6055802229731,25.5598456785028,21.8396334991005,30.6163649432056
ACAT1,Acat1,one-to-one,NA,NA,High,Enhanced,glandular cells,46.81498958678305,46.4848989882408,61.7701179750802,42.0760456968161,36.9288956869951
ACAT2,Acat2 | Acat3,one-to-many (mouse-to-human),NA,NA,Medium,Enhanced,glandular cells,5.663615110449843,4.45769328171931,7.076288315651,5.21869732861735,5.90178151581171
