gene_id,gene_name,human_gene,ortholog_type,secreted,Reference,Function,mean_tpm,sd_tpm,Mous-1A-LIV-Mal,Mous-1B-LIV-Mal,Mous-2A-LIV-Mal,Mous-2B-LIV-Mal,Mous-3A-LIV-Mal,Mous-3B-LIV-Mal,Mous-4A-LIV-Fem,Mous-4B-LIV-Fem,Mous-5A-LIV-Fem,Mous-5B-LIV-Fem,Mous-6A-LIV-Fem,Mous-6B-LIV-Fem
ENSMUSG00000000157,Itgb2l,ITGB2,one-to-many (human-to-mouse),No_annotation,NA,NA,0.3813604166666667,0.1872038782341368,0.168385,0.288298,0.520024,0.37334,0.525388,0.23086,0.064574,0.397322,0.78344,0.3726350000000001,0.391032,0.461027
ENSMUSG00000000159,Igsf5,IGSF5,one-to-one,No_annotation,NA,NA,22.024293416666666,3.031593000386384,22.667405,20.505386,21.717354,20.900403,26.231702,19.988225,23.728102,24.820443,14.36887,23.775926,23.685665,21.90204
ENSMUSG00000000167,Pih1d2,PIH1D2,one-to-one,No_annotation,NA,NA,0.52029725,0.19847771978194664,0.642498,0.420803,0.7645360000000001,0.224393,0.848836,0.187405,0.687701,0.515481,0.56533,0.423152,0.486137,0.477295
ENSMUSG00000000168,Dlat,DLAT,one-to-one,No_annotation,NA,NA,18.354975166666662,4.600446443266227,19.196248,18.804379,13.433751000000001,22.213861,16.227434,25.12228,18.055306,18.554685,9.590984,14.644683,25.529746,18.886345
ENSMUSG00000000171,Sdhd,SDHD,one-to-one,No_annotation,NA,NA,220.07205083333332,36.359923953294555,203.30109,244.162098,181.294729,236.96128,226.87539,273.341316,222.133386,232.673817,128.556444,239.613129,222.94806,229.003871
ENSMUSG00000000182,Fgf23,FGF23,one-to-one,yes,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000183,Fgf6,FGF6,one-to-one,yes,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000184,Ccnd2,CCND2,one-to-one,No_annotation,NA,NA,1.9411613333333335,0.6732502779184969,1.6036560000000002,0.975465,1.950631,1.424204,2.273638,1.055141,2.102042,2.042208,3.055934,1.625958,3.116845,2.068214
ENSMUSG00000000194,Gpr107,GPR107,one-to-one,No_annotation,NA,NA,5.846813166666667,1.652138608212499,6.593515,3.648171,7.589707,3.843222,7.279539000000001,4.898992000000001,7.49444,5.431084,5.27275,4.095967000000001,8.688706,5.325665
ENSMUSG00000000197,Nalcn,NALCN,one-to-one,No_annotation,NA,NA,0.00479375,0.00755767180510217,0,0,0,0.015215,0.01475,0,0.007647,0.019913,0,0,0,0
ENSMUSG00000000202,Btbd17,BTBD17,one-to-one,yes,NA,NA,0.00202766666666666,0.00702404337496098,0,0,0,0,0,0,0,0,0,0.024332,0,0
ENSMUSG00000000204,Slfn4,SLFN12 | SLFN12L,many-to-many,No_annotation,NA,NA,0.152825,0.2069156949998543,0.05916,0.037912,0.772925,0.031535,0.212524,0.257726,0.063371,0.078486,0.095609,0.068464,0.084627,0.071561
ENSMUSG00000000214,Th,TH,one-to-one,No_annotation,NA,NA,0.00450916666666666,0.01562021153292532,0,0,0.05411,0,0,0,0,0,0,0,0,0
ENSMUSG00000000215,Ins2,INS,one-to-many (human-to-mouse),yes,NA,NA,4.974901166666667,1.7313572585900154,6.913433,3.804601,5.91482,6.322782,4.971719,6.361429,4.727625000000001,5.455807,1.856281,2.650904,7.297237,3.422176
ENSMUSG00000000216,Scnn1g,SCNN1G,one-to-one,No_annotation,NA,NA,0.054856,0.03904772756512215,0.039914,0.065245,0.080625,0.137291,0.075577,0.070977,0,0,0.052587,0.036549,0.080423,0.019084
ENSMUSG00000000223,Drp2,DRP2,one-to-one,No_annotation,NA,NA,0.00924391666666666,0.01061870192767401,0.032097,0,0,0.007051,0.007742,0,0.011168,0,0.016489,0.023999,0.012381,0
ENSMUSG00000000244,Tspan32,TSPAN32,one-to-one,No_annotation,NA,NA,0.38743325,0.23274456164142504,0.235984,0.257784,0.380359,0.174427,0.7297440000000001,0.224493,0.49647300000000005,0.249274,0.797865,0.28333200000000003,0.68876,0.130704
ENSMUSG00000000247,Lhx2,LHX2,one-to-one,No_annotation,NA,NA,0.8110739166666666,0.31911649508076007,0.620549,0.592518,0.863403,0.543813,0.211032,0.7038949999999999,0.994271,0.851466,1.216475,0.686323,1.095434,1.353708
ENSMUSG00000000248,Clec2g,CLEC2A | CLEC2D,many-to-many,No_annotation,NA,NA,0.06660891666666667,0.14894436249300264,0,0,0,0,0.371398,0,0,0.398047,0,0.029862,0,0
ENSMUSG00000000253,Gmpr,GMPR,one-to-one,No_annotation,NA,NA,0.6053551666666667,0.16819848290896916,0.616585,0.378509,0.715162,0.575778,0.674254,0.60447,0.458939,0.890206,0.417637,0.863446,0.651907,0.417369
ENSMUSG00000000263,Glra1,GLRA1,one-to-one,No_annotation,NA,NA,0.00163208333333333,0.00565370251103941,0,0,0,0,0,0,0.019585,0,0,0,0,0
ENSMUSG00000000266,Mid2,MID2,one-to-one,No_annotation,NA,NA,1.310994,0.3027034542242172,1.622212,1.177112,1.430625,0.912476,1.416163,1.046398,1.330557,1.267686,1.271366,0.793928,1.814664,1.648741
ENSMUSG00000000275,Trim25,TRIM25,one-to-one,No_annotation,NA,NA,11.980899333333332,2.6202423984620316,10.419645,10.2076,10.751399,7.509919,12.811971,11.555983,13.568604,13.124084999999999,11.988999,10.116649,13.59952,18.116418
ENSMUSG00000000276,Dgke,DGKE,one-to-one,No_annotation,NA,NA,0.25294325,0.0870943822519048,0.299372,0.261905,0.237558,0.187859,0.259216,0.176725,0.2318,0.222926,0.370102,0.122297,0.44678,0.218779
ENSMUSG00000000278,Scpep1,SCPEP1,one-to-one,yes,NA,NA,44.790468583333336,12.552485585377,48.215648,32.750362,36.846921,32.512904,41.338444,33.297183,61.012756,52.11723,27.658844,53.694924,66.896451,51.143956
ENSMUSG00000000282,Mnt,MNT,one-to-one,No_annotation,NA,NA,2.585291,0.8176600889433879,2.763974,1.851243,2.148916,1.853608,2.520749,2.640862,2.239583,3.03152,3.103194,2.098804,1.980849,4.79019
ENSMUSG00000000290,Itgb2,ITGB2,one-to-many (human-to-mouse),yes,NA,NA,2.1778073333333334,0.7972305785137279,1.228164,1.189877,3.5359160000000003,1.890765,2.311398,3.5558829999999997,1.406492,2.513773,2.096532,1.65583,2.054016,2.6950420000000004
ENSMUSG00000000295,Hddc2,HDDC2,one-to-one,No_annotation,NA,NA,1.4361916666666668,0.31309325851670144,1.104844,0.803422,1.69598,1.909355,1.248258,1.6520629999999998,1.105893,1.6812900000000002,1.467426,1.556878,1.524335,1.484556
ENSMUSG00000000296,Tpd52l1,TPD52L1,one-to-one,No_annotation,NA,NA,8.4471255,1.5384251080148343,7.687205,7.96321,8.37674,8.075937,10.881967,8.924036000000001,8.947961000000001,10.589329,4.7695039999999995,8.824706,8.519227,7.805684
ENSMUSG00000000301,Pemt,PEMT,one-to-one,No_annotation,NA,NA,672.7495441666666,109.3092548124622,683.5592570000001,684.807194,567.793047,639.1263580000001,621.661358,639.588047,841.3193309999999,682.76047,491.7941080000001,719.469396,891.5605059999999,609.5554579999999
ENSMUSG00000000303,Cdh1,CDH1,one-to-one,No_annotation,NA,NA,11.11750275,3.6402257702224543,20.082512,12.012618,12.63552,10.725682,10.662253,9.693843,11.460735,9.943963,5.118371,7.437512,13.804633,9.832391
ENSMUSG00000000305,Cdh4,CDH4,one-to-one,No_annotation,NA,NA,0.08946375,0.05598594676446614,0.046466,0.006304,0.049585,0.093757,0.063505,0.072608,0.105485,0.056115,0.200146,0.074722,0.178703,0.126169
ENSMUSG00000000308,Ckmt1,CKMT1A | CKMT1B,one-to-many (mouse-to-human),No_annotation,NA,NA,3.694034916666667,1.36357266471871,3.746153,2.667822,5.568779,3.032442,4.234507000000001,1.865968,5.114756999999999,4.403141,5.834485,3.0434299999999994,3.1081220000000003,1.708813
ENSMUSG00000000317,Bcl6b,BCL6B,one-to-one,No_annotation,NA,NA,0.5660145833333333,0.2578401423914573,0.631801,0.296729,0.6515390000000001,0.327435,1.155473,0.519368,0.354243,0.620297,0.464895,0.328331,0.918528,0.523536
ENSMUSG00000000318,Clec10a,CLEC10A,one-to-many (human-to-mouse),No_annotation,NA,NA,0.52259225,0.2228597777527895,0.3860630000000001,0.463072,0.492467,0.451993,0.658544,0.35789099999999996,0.464126,0.423446,0.466912,0.416624,1.189365,0.500604
ENSMUSG00000000320,Alox12,ALOX12,one-to-one,No_annotation,NA,NA,0.38220075,0.17285725025692836,0.284771,0.152889,0.6966979999999999,0.31605099999999997,0.552232,0.262268,0.323566,0.271246,0.30406500000000003,0.389352,0.6926610000000001,0.34061
ENSMUSG00000000326,Comt,COMT,one-to-one,No_annotation,NA,NA,446.5441905,34.583285546129616,447.404353,481.33024,455.53973,467.148837,521.134335,432.702682,431.074528,442.528433,404.35034799999994,415.969213,396.927223,462.420364
ENSMUSG00000000339,Rtca,RTCA,one-to-one,No_annotation,NA,NA,7.857213333333333,1.0187909011003131,7.966082,8.594382999999999,7.707995,8.294625,9.696834,7.570586,7.236621,6.4090869999999995,6.222594,7.144142,8.832175,8.611436
ENSMUSG00000000340,Dbt,DBT,one-to-one,No_annotation,NA,NA,33.95530816666667,6.8679831112386305,30.037151,26.911544,24.071662,26.618367,36.704248,30.342807,42.825861,33.25199799999999,36.433025,32.721909,42.730486,44.81464
ENSMUSG00000000346,Dazap2,DAZAP2,one-to-one,No_annotation,NA,NA,53.87795466666667,7.840943725734566,57.214541,55.874583,52.021473,55.58511300000001,50.975711,49.616659,68.689536,56.70309100000001,35.548952,52.150297,61.18866,50.966840000000005
ENSMUSG00000000355,Mcts1,MCTS1,one-to-one,No_annotation,NA,NA,41.0443415,6.162749828185429,31.521013,44.621334999999995,32.299801,38.385766999999994,44.996728,43.278398,40.767612,49.094278,32.261385000000004,41.57033199999999,46.966897,46.768552
ENSMUSG00000000359,Rem1,REM1,one-to-one,No_annotation,NA,NA,0.3011493333333333,0.21755080715185648,0.276142,0.206464,0.53144,0.084803,0.367732,0.052668,0.406006,0.157009,0.452771,0.244811,0.7776949999999999,0.056251
ENSMUSG00000000365,Rnf17,RNF17,one-to-one,No_annotation,NA,NA,0.02069658333333333,0.03355934564986287,0,0.029884,0,0.011666,0,0.012148,0,0.045686,0.114287,0.034688,0,0
ENSMUSG00000000374,Trappc10,TRAPPC10,one-to-one,No_annotation,NA,NA,5.038583166666666,1.0077153863659605,4.997038000000001,3.4052219999999997,5.868702,4.050136,6.247719999999999,4.060721,6.149418,4.591793,4.646304,4.426332,6.542529999999999,5.477081999999999
ENSMUSG00000000378,Ccm2,CCM2,one-to-one,No_annotation,NA,NA,13.382393916666668,1.6404998104712114,11.597326,11.150250000000002,16.052647999999998,12.195735,12.364304,13.440877,14.484122,12.021641,16.209335,13.39436,13.401989,14.27614
ENSMUSG00000000381,Wap,NA,mouse-specific,yes,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000384,Tbrg4,TBRG4,one-to-one,No_annotation,NA,NA,19.540622666666664,3.7962239520286305,19.939245,15.172665,18.692478,17.880705,27.456715999999997,18.637742999999997,19.161675,17.39738,16.421581,15.809246,25.524105,22.393933
ENSMUSG00000000385,Tmprss2,TMPRSS2,one-to-one,yes,NA,NA,3.78558225,1.938098954725205,5.445809,1.592043,4.526522,1.879055,4.6542069999999995,1.756429,5.288276,2.553251,4.526025000000001,2.423487,7.975519,2.806364
ENSMUSG00000000386,Mx1,MX1 | MX2,many-to-many,No_annotation,NA,NA,0.41103941666666666,0.13194297116795875,0.224954,0.558542,0.331649,0.288125,0.275904,0.281596,0.5130140000000001,0.564838,0.51114,0.41861,0.371438,0.592663
ENSMUSG00000000392,Fap,FAP,one-to-one,yes,NA,NA,0.15692133333333333,0.06454924680686315,0.127009,0.100583,0.094377,0.117998,0.235819,0.178512,0.114925,0.114148,0.270942,0.166644,0.10426,0.257839
ENSMUSG00000000394,Gcg,GCG,one-to-one,yes,NA,NA,0.3259005833333333,0.33003507191163745,0.428977,0.16138,0.4663119999999999,0.226199,1.264413,0.059403,0.05799,0.291016,0.297395,0.429,0.164598,0.064124
ENSMUSG00000000399,Ndufa9,NDUFA9,one-to-one,No_annotation,NA,NA,118.14012341666668,17.306157356613664,106.945902,120.41106,102.601262,123.103268,117.956424,123.287637,121.827373,135.957334,74.006925,138.802343,130.236625,122.545328
ENSMUSG00000000402,Egfl6,EGFL6,one-to-one,yes,NA,NA,0.03969641666666666,0.04839334035974622,0.031251,0,0.019423,0,0.068134,0.064212,0.021024,0,0.018763,0.155179,0.098371,0
ENSMUSG00000000409,Lck,LCK,one-to-one,No_annotation,NA,NA,0.8245308333333333,0.49917206575267,0.408941,1.491084,0.385156,0.62949600000000006,0.9657,0.168266,0.887734,0.58275,1.928826,0.799418,1.106022,0.540977
ENSMUSG00000000411,Tssk3,TSSK3,one-to-one,No_annotation,NA,NA,0.031204,0.04280627317663531,0.032563,0,0.038801,0,0.136958,0.042703,0.084916,0,0,0,0.038507,0
ENSMUSG00000000416,Cttnbp2,CTTNBP2,one-to-one,No_annotation,NA,NA,0.17432408333333332,0.12235644346406216,0.065558,0.120612,0.193428,0.114619,0.13106400000000001,0.079512,0.233145,0.049971,0.206529,0.137296,0.259297,0.500858
ENSMUSG00000000420,Galnt1,GALNT1,one-to-one,yes,NA,NA,16.37324125,3.53807135356932,19.041178,12.912405,14.546966,14.524464,22.910036,13.850323,19.685536,17.100716,11.066232,14.896241,20.782479,15.162319
ENSMUSG00000000435,Myf5,MYF5,one-to-one,No_annotation,NA,NA,0.00487491666666666,0.01171568752072764,0,0,0,0,0,0,0,0,0.022771,0.035728,0,0
ENSMUSG00000000439,Mkrn2,MKRN2,one-to-one,No_annotation,NA,NA,3.773344916666667,0.8647678920553776,3.111672,3.1076040000000003,4.167793,2.910517,5.193862,3.464205,3.824549,5.5637989999999995,2.956726,3.147927,4.0267,3.804785
ENSMUSG00000000440,Pparg,PPARG,one-to-one,No_annotation,NA,NA,4.017332,1.9655661845490544,2.15235,4.014093,4.002694,5.587175,2.548409,4.583259999999999,2.316917,8.593087,2.000868,4.1879100000000005,2.3590989999999996,5.862121999999999
ENSMUSG00000000441,Raf1,RAF1,one-to-one,No_annotation,NA,NA,29.24134675,2.1925366697947304,27.901277,26.766031,28.01142800000001,27.267538,26.663337,28.64997,33.021933,28.340241,30.445352000000003,29.732983999999995,32.067695,32.028375000000004
ENSMUSG00000000486,Septin1,SEPTIN1,one-to-one,No_annotation,NA,NA,1.9879813333333336,0.8306107684969846,1.5982539999999998,2.512702,1.966977,1.553886,1.254924,1.031396,2.526167,1.534466,4.060347999999999,1.372829,2.570227,1.8736
ENSMUSG00000000489,Pdgfb,PDGFB,one-to-one,yes,NA,NA,0.35178508333333336,0.11735073205369398,0.213737,0.162663,0.411623,0.305765,0.295467,0.485312,0.339636,0.406293,0.303658,0.50454,0.259953,0.532774
ENSMUSG00000000530,Acvrl1,ACVRL1,one-to-one,No_annotation,NA,NA,1.3049490833333333,0.3856168265911968,0.862978,0.675327,2.126646,1.310647,1.562345,1.233137,1.153178,1.296016,1.211073,1.152012,1.796237,1.279793
ENSMUSG00000000531,Tamalin,TAMALIN,one-to-one,No_annotation,NA,NA,0.6515625833333334,0.24608984704166975,0.530733,0.407104,0.813621,0.500383,1.00059,0.339456,0.399975,0.686128,0.770459,0.503867,0.753839,1.112596
ENSMUSG00000000532,Acvr1b,ACVR1B,one-to-one,No_annotation,NA,NA,4.150020416666667,0.7212013062300302,5.416781,4.219025,2.821878,3.658222,3.913211,3.952278,4.31181,4.278257,4.29297,3.363238,4.276759,5.295816
ENSMUSG00000000538,Tom1l2,TOM1L2,one-to-one,No_annotation,NA,NA,7.316557833333333,1.5399139281734864,6.3505910000000005,9.31698,5.499905999999999,7.625785,5.675394999999999,8.88386,5.523024,7.652756999999999,7.414278,6.06595,7.729461,10.060707
ENSMUSG00000000544,Gpa33,GPA33,one-to-one,No_annotation,NA,NA,0.14785658333333335,0.2330560121228989,0,0,0.300435,0,0,0,0.622904,0.326766,0.524174,0,0,0
ENSMUSG00000000552,Zfp385a,ZNF385A,one-to-one,No_annotation,NA,NA,10.711273,2.7239525252189893,11.979972,7.726318,11.201371,7.0069360000000005,7.225403999999999,7.957149,11.797879,11.644172,13.824586,9.85837,13.385335,14.927784
ENSMUSG00000000555,Itga5,ITGA5,one-to-one,No_annotation,NA,NA,7.87303425,2.6773569665145893,8.717123,4.293683,8.646111999999999,5.383107,7.2785,4.635923,11.768248,4.656782,9.430881,8.111383,11.966046,9.588623
ENSMUSG00000000560,Gabra2,GABRA2,one-to-one,No_annotation,NA,NA,0.00223875,0.00775525749088964,0,0.026865,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000561,Wdr77,WDR77,one-to-one,No_annotation,NA,NA,10.064472083333332,2.9844888140240715,9.027916,8.290001,13.900638,7.473763999999999,14.435649999999995,7.985884,10.645116000000002,10.880203,6.242266000000001,6.642016,14.681964,10.568247
ENSMUSG00000000562,Adora3,ADORA3,one-to-one,No_annotation,NA,NA,0.03529841666666666,0.02839807983092049,0.072935,0,0.0502,0.052608,0,0.056686,0.05517,0,0.02295,0,0.051842,0.06119
ENSMUSG00000000563,Atp5pb,ATP5PB,one-to-one,No_annotation,NA,NA,185.32898941666667,37.92217425484865,160.64390200000005,201.280271,159.75270799999998,210.099136,187.302852,197.275635,192.820352,214.134513,79.563824,212.710461,206.195613,202.168606
ENSMUSG00000000567,Sox9,SOX9,one-to-one,No_annotation,NA,NA,1.2306485,0.5269785285701013,1.562523,1.332868,1.407626,0.805597,0.9027,0.923,2.667404,0.929995,1.431335,1.094544,0.96567,0.74452
ENSMUSG00000000568,Hnrnpd,HNRNPD,one-to-one,No_annotation,NA,NA,30.44284675,6.606921207024068,27.243786000000004,30.114013,23.248065000000004,27.618914,21.549673,29.577622,30.306819000000004,32.509821,41.19187899999999,26.302374,31.334811,44.316384
ENSMUSG00000000579,Dynlt1c,DYNLT1,one-to-many (human-to-mouse),No_annotation,NA,NA,2.4995313333333335,1.205508596721531,2.171101,1.535265,2.789564,1.627523,2.024362,1.715792,1.823901,3.4854860000000003,5.221271000000001,1.425207,4.223588,1.951316
ENSMUSG00000000581,C1d,C1D,one-to-one,No_annotation,NA,NA,52.8134485,13.605445361615317,46.413428999999994,53.577827,45.714669,55.529049,55.135458,51.566368999999995,64.607571,68.59532800000001,15.779825000000002,64.790378,54.266737,57.784742
ENSMUSG00000000594,Gm2a,GM2A,one-to-one,No_annotation,NA,NA,40.91784641666667,8.319566347255853,50.294728,41.914121,29.140052,29.348742,41.945181,38.428403,53.000835,41.601009,33.515703,36.36046,53.966658,41.498265
ENSMUSG00000000600,Krit1,KRIT1,one-to-one,No_annotation,NA,NA,5.057286416666667,0.952444801848042,4.0790299999999995,4.262522000000001,4.736369,3.85566,5.73431,4.630719000000001,5.581347,4.339207,5.866233999999999,4.646755,5.950962999999999,7.004321000000001
ENSMUSG00000000605,Clcn4,CLCN4,one-to-one,No_annotation,NA,NA,13.660278,2.152178976259727,13.139981,12.007866,11.489378,12.04429,11.031721,11.845333000000002,13.022192,15.993005000000002,16.616690000000002,14.799529,14.570984,17.362367000000003
ENSMUSG00000000606,Vmn2r88,NA,mouse-specific,No_annotation,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000617,Grm6,GRM6,one-to-one,No_annotation,NA,NA,0.00370883333333333,0.00991295172840546,0,0,0,0,0.010948,0,0.033558,0,0,0,0,0
ENSMUSG00000000627,Sema4f,SEMA4F,one-to-one,No_annotation,NA,NA,0.06237966666666667,0.0720764127983544,0.264279,0.04154,0.079599,0.021832,0.125573,0.043191,0.032934,0.025914,0.025087,0.016799,0.071808,0
ENSMUSG00000000628,Hk2,HK2,one-to-one,No_annotation,NA,NA,0.5166488333333333,0.05102749626664457,0.483464,0.483359,0.521083,0.495574,0.605342,0.538596,0.42009,0.584339,0.548424,0.546475,0.48627,0.48677
ENSMUSG00000000631,Myo18a,MYO18A,one-to-one,No_annotation,NA,NA,19.537825583333333,4.423249514494612,19.891782,14.52964,18.802843000000003,13.301719,21.254133,16.069631,18.287939,18.936871,26.52703,16.432036,22.882334,27.537949000000005
ENSMUSG00000000632,Sez6,SEZ6,one-to-one,yes,NA,NA,0.02625616666666666,0.02256931583863902,0.024018,0.048649,0.046859,0,0,0,0.04103,0.035551,0.059814,0,0.044772,0.014381
ENSMUSG00000000673,Haao,HAAO,one-to-one,No_annotation,NA,NA,583.58285425,94.2444668478178,594.85955,675.370822,351.1169720000001,530.919302,532.5143079999999,664.97272,634.0809009999999,684.208606,505.4991470000001,576.6280889999999,608.887774,643.93606
ENSMUSG00000000682,Cd52,CD52,one-to-one,No_annotation,NA,NA,9.70902525,3.739588550356336,3.852201,13.550523,5.236746999999999,8.953349,11.639019,9.037428,5.607727000000001,14.676191,15.230957,11.82205,7.999917,8.902194
ENSMUSG00000000686,Abhd15,ABHD15,one-to-one,yes,NA,NA,13.840640166666669,3.097744440740915,12.34119,11.581584,12.770721,12.51475,14.52498,13.008359,15.881841,16.08763,7.236963,15.093735,15.010244,20.035685
ENSMUSG00000000690,Hoxb6,HOXB6,one-to-one,No_annotation,NA,NA,0.04740166666666667,0.05268559909730955,0,0,0.088506,0.034558,0.069307,0,0.179132,0.022507,0.071781,0.034041,0.068988,0
ENSMUSG00000000693,Loxl3,LOXL3,one-to-one,yes,NA,NA,0.48850683333333333,0.1861833536777576,0.430437,0.179216,0.444987,0.34696,0.545892,0.430155,0.519596,0.524042,0.474759,0.342545,0.709386,0.914107
ENSMUSG00000000701,Tcl1b5,TCL1B,one-to-many (human-to-mouse),No_annotation,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000706,Btn1a1,BTN1A1,one-to-one,yes,NA,NA,0.0134005,0.01451844776013043,0,0,0,0.015633,0.017164,0,0.015707,0.020077,0.044289,0.033303,0.014633,0
