gene_id,gene_name,human_gene,ortholog_type,secreted,Reference,Function,mean_tpm,sd_tpm,Mous-1A-PAR-Mal-L,Mous-1B-PAR-Mal-L,Mous-2A-PAR-Mal-L,Mous-2B-PAR-Mal-L,Mous-3A-PAR-Mal-L,Mous-3B-PAR-Mal-L,Mous-4A-PAR-Fem-L,Mous-4B-PAR-Fem-L,Mous-5A-PAR-Fem-L,Mous-5B-PAR-Fem-L,Mous-6A-PAR-Fem-L,Mous-6B-PAR-Fem-L
ENSMUSG00000000149,Gna12,GNA12,one-to-one,No_annotation,NA,NA,6.330567583333333,4.065774812646471,10.271093,7.435108,4.616206,2.60445,5.495645,5.602953,3.173334,2.517942,16.811626,7.811844,6.528435,3.098175
ENSMUSG00000000154,Slc22a18,SLC22A18,one-to-one,No_annotation,NA,NA,3.8685820833333335,0.7563534037640989,3.372591,3.770128,3.411123,5.1191260000000005,3.383538,3.5172359999999996,4.363934,4.949929,2.99879,4.843122999999999,3.692876,3.000591
ENSMUSG00000000157,Itgb2l,ITGB2,one-to-many (human-to-mouse),No_annotation,NA,NA,0.36554583333333335,0.16495694642312708,0.428571,0.248938,0.49044,0.191143,0.36020599999999997,0.253795,0.193196,0.585212,0.25361,0.311917,0.7252689999999999,0.34425300000000003
ENSMUSG00000000159,Igsf5,IGSF5,one-to-one,No_annotation,NA,NA,6.365269416666667,1.0732842163230032,6.508258,5.20224,8.283251,6.259694,7.819461,5.751214000000001,7.024864000000001,7.165016999999999,4.630285,6.060066000000001,6.27861,5.400273
ENSMUSG00000000167,Pih1d2,PIH1D2,one-to-one,No_annotation,NA,NA,0.35622983333333336,0.16848296983797575,0.238831,0.072156,0.391317,0.241632,0.357166,0.464408,0.34726300000000004,0.283197,0.645773,0.453427,0.602813,0.176775
ENSMUSG00000000168,Dlat,DLAT,one-to-one,No_annotation,NA,NA,12.102892,9.889310357317044,8.768675,10.124475,7.562487,4.883602,7.630677,32.238627,6.832412,4.963081,17.646007,31.743031,7.600204000000001,5.241426
ENSMUSG00000000171,Sdhd,SDHD,one-to-one,No_annotation,NA,NA,65.09419191666666,41.78714449961834,52.893049,63.517122,44.292013,30.219657,42.814257,123.665522,41.076394,32.229452,144.079396,128.955337,46.201248,31.186856
ENSMUSG00000000182,Fgf23,FGF23,one-to-one,yes,NA,NA,0.00406908333333333,0.00782412147212746,0.015651,0,0,0,0.010395,0,0,0,0.022783,0,0,0
ENSMUSG00000000183,Fgf6,FGF6,one-to-one,yes,NA,NA,0.00133675,0.00316646798140652,0.00678,0,0,0,0,0,0,0,0.009261,0,0,0
ENSMUSG00000000184,Ccnd2,CCND2,one-to-one,No_annotation,NA,NA,6.7557895,7.323615031740074,11.677144,6.975569999999999,1.644633,0.999684,5.11815,3.780488,1.144857,0.977254,25.669416999999996,10.489554,11.680005,0.912718
ENSMUSG00000000194,Gpr107,GPR107,one-to-one,No_annotation,NA,NA,5.0413344166666665,2.219012644055109,7.234083,4.938492999999999,5.509677,3.030857,6.0985429999999985,4.757552,3.422788,2.4079599999999997,10.246334999999998,5.713326000000001,4.6744699999999995,2.461929
ENSMUSG00000000197,Nalcn,NALCN,one-to-one,No_annotation,NA,NA,0.06305616666666666,0.03437202923846215,0.058538,0.097922,0.082917,0.045462,0.03266,0.026857,0.108604,0.119179,0.012935,0.072053,0.067817,0.03173
ENSMUSG00000000202,Btbd17,BTBD17,one-to-one,yes,NA,NA,0.01886683333333333,0.017793110484032,0.012212,0,0,0.021424,0.036106,0.02675,0,0,0.040272,0.022736,0.014086,0.052816
ENSMUSG00000000204,Slfn4,SLFN12 | SLFN12L,many-to-many,No_annotation,NA,NA,0.22831391666666667,0.2157844092663948,0.382678,0.477777,0.071262,0.066228,0.664694,0.261867,0.099969,0,0.458036,0.077016,0.114444,0.065796
ENSMUSG00000000214,Th,TH,one-to-one,No_annotation,NA,NA,0.012806,0.02463702297172065,0.073025,0,0.045806,0,0,0,0,0.034841,0,0,0,0
ENSMUSG00000000215,Ins2,INS,one-to-many (human-to-mouse),yes,NA,NA,3.9280096666666666,2.5606425251826694,6.906415,4.851398,2.589369,1.20254,1.322689,7.011112,6.051706,1.5775169999999998,2.615383,0.980889,4.045488,7.98161
ENSMUSG00000000216,Scnn1g,SCNN1G,one-to-one,No_annotation,NA,NA,0.7602569166666666,0.3020485552112015,0.987548,0.751087,1.244483,0.518749,1.088474,0.393708,0.821562,0.563872,0.273745,0.719015,1.112085,0.648755
ENSMUSG00000000223,Drp2,DRP2,one-to-one,No_annotation,NA,NA,0.27520925,0.4066826503354193,0.196164,0.095917,0.104277,0.051029,0.045454,1.227641,0.031623,0.122985,0.065237,1.039749,0.114248,0.208187
ENSMUSG00000000244,Tspan32,TSPAN32,one-to-one,No_annotation,NA,NA,9.794676583333333,12.792412638090164,21.644400999999995,16.278048000000002,2.201253,0.903361,6.6395360000000005,7.230779000000002,0.685534,0.32625000000000004,42.569615,1.295444,17.356767,0.405131
ENSMUSG00000000247,Lhx2,LHX2,one-to-one,No_annotation,NA,NA,0.08127016666666667,0.11699100923484625,0.114079,0.061946,0.025753,0.006477,0.095825,0,0.012079,0,0.380356,0.031289,0.239189,0.008249
ENSMUSG00000000248,Clec2g,CLEC2A | CLEC2D,many-to-many,No_annotation,NA,NA,0.5934573333333333,0.4078953567805737,0.6941,1.058743,0.550823,0.824153,0.471918,0.438699,0.30006,0.187726,1.574317,0.277919,0.593909,0.149121
ENSMUSG00000000253,Gmpr,GMPR,one-to-one,No_annotation,NA,NA,1.9202905833333332,1.44145063251967,3.493908,2.232007,1.201661,0.305905,0.902533,3.204626,1.43909,0.39439,4.860844,3.067354,1.242342,0.698827
ENSMUSG00000000263,Glra1,GLRA1,one-to-one,No_annotation,NA,NA,0.00378741666666666,0.01311999619219965,0,0,0,0,0,0,0,0,0,0.045449,0,0
ENSMUSG00000000266,Mid2,MID2,one-to-one,No_annotation,NA,NA,1.111209,0.33789472019846656,1.1768,1.273625,1.529154,0.8921410000000001,0.865474,0.954582,0.905002,0.8708210000000001,0.854355,1.955019,1.142221,0.915314
ENSMUSG00000000275,Trim25,TRIM25,one-to-one,No_annotation,NA,NA,3.7086814166666664,2.063534066725091,6.357959,5.247682,1.837556,2.197285,2.353465,5.434276,1.310522,1.852969,7.514843,4.266468,4.07379,2.057362
ENSMUSG00000000276,Dgke,DGKE,one-to-one,No_annotation,NA,NA,0.6878539166666666,0.4159865627833009,1.102822,1.104356,0.480105,0.30711900000000003,0.542899,0.548639,0.222523,0.308659,1.443056,1.086047,0.8735979999999999,0.234424
ENSMUSG00000000278,Scpep1,SCPEP1,one-to-one,yes,NA,NA,11.1888705,8.826738266184694,18.743674,13.399597,6.79084,3.070326,8.134662,9.939667,4.272624,2.788658,30.206942,23.527283,10.317424,3.074749
ENSMUSG00000000282,Mnt,MNT,one-to-one,No_annotation,NA,NA,2.0518285,0.961731588340767,3.37228,2.908812,1.730132,0.845613,1.797955,1.608628,1.14018,1.08414,3.754583,2.356874,2.757578,1.265167
ENSMUSG00000000290,Itgb2,ITGB2,one-to-many (human-to-mouse),yes,NA,NA,13.320121416666666,17.211947139388688,26.385248,17.531739999999996,3.952138,1.750531,11.452649,13.519062,1.074939,1.070777,60.960750999999995,3.081256,17.957883,1.104483
ENSMUSG00000000295,Hddc2,HDDC2,one-to-one,No_annotation,NA,NA,5.202649583333333,2.612786043800701,5.573067,5.855322,4.071268,2.6825840000000003,4.2297139999999995,5.70268,2.736563,4.6330599999999995,12.348676,7.06059,4.347497,3.1907740000000002
ENSMUSG00000000296,Tpd52l1,TPD52L1,one-to-one,No_annotation,NA,NA,32.2258215,6.944495421021963,30.476218000000003,28.851317,45.930240000000005,25.5067,40.88100400000001,34.706983,38.474743999999994,33.98777599999999,21.720776,26.815846,31.584793,27.773461
ENSMUSG00000000301,Pemt,PEMT,one-to-one,No_annotation,NA,NA,4.6157585,1.5661507367221017,6.046352,4.711781,4.1823120000000005,3.010002,2.1142,6.454417,4.196676999999999,3.790412,7.369545,6.053567,4.200883999999999,3.258953
ENSMUSG00000000303,Cdh1,CDH1,one-to-one,No_annotation,NA,NA,8.893685833333333,2.213905645852507,9.50436,8.890432,11.738754,7.244571,10.317753,7.223208,9.618493,8.443619,4.048065,12.511163,9.057492,8.12632
ENSMUSG00000000305,Cdh4,CDH4,one-to-one,No_annotation,NA,NA,0.08435933333333333,0.11005533251822452,0.185136,0.102683,0.018567,0.007035,0.070932,0.031586,0.014396,0,0.391217,0.068184,0.092673,0.029903
ENSMUSG00000000308,Ckmt1,CKMT1A | CKMT1B,one-to-many (mouse-to-human),No_annotation,NA,NA,49.19393766666666,12.40169909836611,54.867472,56.604529,61.19639899999999,38.405151,67.740491,49.986298,61.367534,43.31821799999999,28.610389,31.989929,55.011445,41.229397
ENSMUSG00000000317,Bcl6b,BCL6B,one-to-one,No_annotation,NA,NA,0.46205016666666665,0.34016363082649004,0.897784,0.40229,0.171952,0.076179,0.554538,0.641632,0.261483,0.091378,0.902063,1.010694,0.436765,0.097844
ENSMUSG00000000318,Clec10a,CLEC10A,one-to-many (human-to-mouse),No_annotation,NA,NA,5.9832479166666666,4.4012902988851605,14.332401,6.810665,3.75079,3.3807769999999997,6.845186,5.268481,1.864785,1.881117,5.099136000000001,15.040883,5.028322,2.496432
ENSMUSG00000000320,Alox12,ALOX12,one-to-one,No_annotation,NA,NA,2.6039345833333334,0.8826114314006895,3.856691,3.037384,3.176714,2.107076,3.143123,1.599183,3.819158,2.038193,1.376011,1.6807569999999998,3.322357,2.090568
ENSMUSG00000000326,Comt,COMT,one-to-one,No_annotation,NA,NA,20.403283666666667,11.98090258300658,22.146915,23.266204,12.653432,9.332383,13.612039,34.202079,11.5313,10.768085,39.252799,42.571061,15.321694999999998,10.181412
ENSMUSG00000000339,Rtca,RTCA,one-to-one,No_annotation,NA,NA,5.967070166666667,3.1425114501883487,7.05867,7.404603,5.377287,3.399289,4.281992000000001,6.470378999999999,3.357598,3.735969,14.399546,7.706778,5.474507,2.938224
ENSMUSG00000000340,Dbt,DBT,one-to-one,No_annotation,NA,NA,9.552641583333331,2.545674263973137,8.235917,7.900806,10.321338,6.622325,9.82348,11.38621,9.063936,8.042199,11.590276,15.841094,9.029895,6.774223
ENSMUSG00000000346,Dazap2,DAZAP2,one-to-one,No_annotation,NA,NA,36.31208108333333,22.003670470148073,50.64154799999999,44.757498,29.150872,17.689807,30.780882,33.055389,22.184327000000003,18.420765,96.78126000000002,38.793693999999995,37.798754,15.690177
ENSMUSG00000000355,Mcts1,MCTS1,one-to-one,No_annotation,NA,NA,24.280991916666668,10.414473613793811,26.141296,29.256427,16.391937000000002,11.22209,20.078107000000003,29.211147,17.972917999999996,15.207696,46.463971,35.427498,30.403529,13.595287
ENSMUSG00000000359,Rem1,REM1,one-to-one,No_annotation,NA,NA,1.06761075,0.8976851241549643,2.844503,0.84292,0.51568,0.257797,1.235219,0.542058,0.843216,0.243254,2.703918,0.8192060000000001,1.655504,0.308054
ENSMUSG00000000365,Rnf17,RNF17,one-to-one,No_annotation,NA,NA,0.04445466666666667,0.04970856622597783,0,0.132337,0,0.056741,0.016357,0.124128,0.007442,0,0.040754,0.095876,0.059821,0
ENSMUSG00000000374,Trappc10,TRAPPC10,one-to-one,No_annotation,NA,NA,4.75265925,1.8201783339387445,6.37608,5.084315,5.053875,2.809355,4.65025,3.990578,3.1321790000000003,3.027207,8.988367,5.7698160000000005,5.4428019999999995,2.707087
ENSMUSG00000000378,Ccm2,CCM2,one-to-one,No_annotation,NA,NA,17.550952916666667,17.938422789642786,31.719378000000003,24.846912999999997,9.589346999999998,4.017304,12.724426,14.643076,5.400205000000001,3.5548770000000003,66.923475,10.275799,21.81834,5.098294999999999
ENSMUSG00000000381,Wap,NA,mouse-specific,yes,NA,NA,0.03185041666666666,0.05825885559444369,0.150392,0.119226,0,0,0,0.112587,0,0,0,0,0,0
ENSMUSG00000000384,Tbrg4,TBRG4,one-to-one,No_annotation,NA,NA,9.17758625,3.942885132143193,13.057219,10.536164,9.921661000000002,4.109798,9.625587,8.931367999999999,5.623507,4.870214,18.032837,9.217003,10.904884,5.3007930000000005
ENSMUSG00000000385,Tmprss2,TMPRSS2,one-to-one,yes,NA,NA,18.9159105,5.76993945840883,19.472022,17.592088,23.660708000000003,14.257612,18.452018,16.924522000000003,20.2281,18.567931999999995,8.412799999999999,32.763163,15.966986,20.692975
ENSMUSG00000000386,Mx1,MX1 | MX2,many-to-many,No_annotation,NA,NA,1.30228175,1.1743684868815956,2.379159,3.339539,0.593846,0.266803,0.970299,2.080324,0.163671,0.243429,3.0907899999999997,0.644402,1.715217,0.139902
ENSMUSG00000000392,Fap,FAP,one-to-one,yes,NA,NA,1.5729363333333333,0.9241771924914256,2.456983,1.259299,0.732157,1.266104,0.912909,1.263866,1.112693,0.453214,2.949273,3.431932,1.943431,1.093375
ENSMUSG00000000394,Gcg,GCG,one-to-one,yes,NA,NA,0.24009266666666668,0.21380283845863624,0.699905,0.466266,0.083612,0.156504,0.025486,0.367209,0.253675,0,0.376658,0.046554,0.080527,0.324716
ENSMUSG00000000399,Ndufa9,NDUFA9,one-to-one,No_annotation,NA,NA,44.876501000000005,22.640826266922975,40.00024,49.513064,33.561458,26.719472,33.620523999999996,73.917928,28.757811,27.101642,81.81497300000001,85.55316300000001,34.693908,23.263829
ENSMUSG00000000402,Egfl6,EGFL6,one-to-one,yes,NA,NA,0.3998,0.2232050526688612,0.212415,0.479345,0.289319,0.136887,0.354183,0.396891,0.475258,0.278913,0.969063,0.501361,0.530743,0.173222
ENSMUSG00000000409,Lck,LCK,one-to-one,No_annotation,NA,NA,24.924432000000003,38.54426521906154,42.678122,32.148282,4.601174,1.90019,15.483014,16.732678,0.711159,0.228422,133.982009,0.611575,49.44832100000001,0.568238
ENSMUSG00000000411,Tssk3,TSSK3,one-to-one,No_annotation,NA,NA,0.02608083333333333,0.02789281080667507,0,0.058663,0.030577,0.022895,0.073285,0.029869,0,0,0,0.068671,0,0.02901
ENSMUSG00000000416,Cttnbp2,CTTNBP2,one-to-one,No_annotation,NA,NA,0.49257525,0.24402791518189623,1.010391,0.541443,0.514594,0.20757000000000003,0.33455199999999996,0.378047,0.515554,0.294493,0.836223,0.307704,0.675663,0.294669
ENSMUSG00000000420,Galnt1,GALNT1,one-to-one,yes,NA,NA,38.2189865,13.60678034235961,50.679601,30.05482,46.14052,18.567108,52.510854,30.118961,45.193577,25.424584,55.654387,24.986492,53.796491,25.500443
ENSMUSG00000000435,Myf5,MYF5,one-to-one,No_annotation,NA,NA,0.01918083333333333,0.0318842141529553,0,0,0,0,0,0.055019,0,0,0,0.09538,0.051955,0.027816
ENSMUSG00000000439,Mkrn2,MKRN2,one-to-one,No_annotation,NA,NA,2.610243166666667,1.1005636428714674,3.508485,2.599968,2.6158539999999997,1.358725,1.980423,3.4369249999999996,1.839607,1.411101,4.849239,3.472814,3.022163,1.227614
ENSMUSG00000000440,Pparg,PPARG,one-to-one,No_annotation,NA,NA,6.3868669166666665,12.355698244044858,2.568105,3.825161,0.4406,0.966567,0.899717,8.957632,1.244284,0.987402,9.574451,44.343005,0.7538659999999999,2.081613
ENSMUSG00000000441,Raf1,RAF1,one-to-one,No_annotation,NA,NA,12.249488083333333,5.819197639410147,16.872486000000002,14.382043,10.433751000000001,5.341914999999999,10.467856,10.292785,8.198995,6.807219000000001,25.430968,17.881926,14.34865,6.5352630000000005
ENSMUSG00000000486,Septin1,SEPTIN1,one-to-one,No_annotation,NA,NA,29.394866916666665,38.66796587454955,59.66512699999999,47.847317999999994,8.642847999999999,2.18757,21.266904,21.082475999999996,1.3094850000000002,0.577101,130.227008,3.4978439999999997,54.907257,1.527465
ENSMUSG00000000489,Pdgfb,PDGFB,one-to-one,yes,NA,NA,1.590995333333333,0.8231313372198469,2.426942,1.939457,1.023212,0.664087,1.31448,1.647628,0.929611,0.70684,2.666277,3.221522,1.539608,1.01228
ENSMUSG00000000530,Acvrl1,ACVRL1,one-to-one,No_annotation,NA,NA,5.082535083333333,2.5403363996749957,8.716054,6.594491,4.604559,2.061576,5.225556,3.50047,3.90278,2.033598,10.225069,4.597226,6.503573,3.025469
ENSMUSG00000000531,Tamalin,TAMALIN,one-to-one,No_annotation,NA,NA,0.8668524166666667,0.6123681796390525,1.3757,1.311462,0.408716,0.293341,0.409284,0.784668,0.361008,0.276119,2.097255,1.635926,1.009509,0.439241
ENSMUSG00000000532,Acvr1b,ACVR1B,one-to-one,No_annotation,NA,NA,5.104928166666666,1.28877593457794,6.709717,5.986979,5.180853,3.158422,4.552768,4.433896,3.642548,4.017919,7.166411,6.152231,6.0504810000000004,4.206913
ENSMUSG00000000538,Tom1l2,TOM1L2,one-to-one,No_annotation,NA,NA,6.143217583333334,1.5808460883945237,6.872736,7.103145,6.49105,4.428011,5.060243999999999,5.790968999999999,4.372148,4.4430320000000005,8.440418000000001,9.156647,6.496842,5.063369
ENSMUSG00000000544,Gpa33,GPA33,one-to-one,No_annotation,NA,NA,0.11715075,0.1731307548673309,0.104903,0,0,0.257704,0.014818,0,0.302687,0.022018,0.5614870000000001,0.086309,0.041911,0.013972
ENSMUSG00000000552,Zfp385a,ZNF385A,one-to-one,No_annotation,NA,NA,2.8163784166666663,2.2320377683723516,7.441611999999999,3.535579,1.873727,0.804702,1.666797,1.985936,1.089616,0.8180689999999999,3.168414,7.027886,2.5984019999999997,1.785801
ENSMUSG00000000555,Itga5,ITGA5,one-to-one,No_annotation,NA,NA,1.66411075,0.6876045468963743,2.9362960000000005,2.033055,1.385188,0.679892,1.641528,1.324295,1.083309,0.757387,2.013538,2.618718,1.94403,1.5520930000000002
ENSMUSG00000000560,Gabra2,GABRA2,one-to-one,No_annotation,NA,NA,0.07235508333333333,0.06037230295042486,0.179828,0.114187,0.12978599999999998,0.034062,0.02164,0.024659,0,0.020708,0.127465,0.028386,0.134945,0.052595
ENSMUSG00000000561,Wdr77,WDR77,one-to-one,No_annotation,NA,NA,11.217092666666666,4.094832945424367,11.696796999999998,8.648698,15.350235,4.98858,16.575166000000003,7.460224,10.729590000000002,6.810109000000001,17.393335,12.063115,14.629971,8.259291999999999
ENSMUSG00000000562,Adora3,ADORA3,one-to-one,No_annotation,NA,NA,0.13329716666666666,0.09781334958697736,0.189548,0.34330700000000003,0.075072,0.024592,0.21719,0.02717,0.101231,0.014639,0.178294,0.11323,0.21124,0.104053
ENSMUSG00000000563,Atp5pb,ATP5PB,one-to-one,No_annotation,NA,NA,70.43217141666666,26.22829329207057,62.312788,70.50913099999998,64.33534399999999,42.641437,63.421817999999995,93.440508,57.722677,47.871686,132.906762,99.978047,64.815081,45.23077800000001
ENSMUSG00000000567,Sox9,SOX9,one-to-one,No_annotation,NA,NA,6.307781916666666,1.1493357983414485,6.250144,6.53987,7.957239,5.3723,7.160504,4.755475,6.917244,6.397504,4.145445,6.413877,7.889906,5.893875
ENSMUSG00000000568,Hnrnpd,HNRNPD,one-to-one,No_annotation,NA,NA,31.945416666666667,17.1503413406569,43.573862000000005,44.55291000000001,23.100543,17.159981,24.248238,26.90224199999999,17.247036999999995,19.081046,75.733718,31.329179000000003,41.486857,18.929387
ENSMUSG00000000579,Dynlt1c,DYNLT1,one-to-many (human-to-mouse),No_annotation,NA,NA,6.899305333333333,5.386104845062462,9.212835,6.062781,5.8768069999999994,4.097812,4.605587,5.4477590000000005,3.865468,2.739251,21.97871,5.912630999999999,11.056697,1.935326
ENSMUSG00000000581,C1d,C1D,one-to-one,No_annotation,NA,NA,15.596047416666668,11.934762920386492,19.591064,14.176847999999998,10.203093,8.281749,12.129645,18.462001,7.905541,6.312142000000001,49.339167,22.264116,13.540938,4.9462649999999995
ENSMUSG00000000594,Gm2a,GM2A,one-to-one,No_annotation,NA,NA,15.09000875,11.942538429918612,20.619929,19.715089,6.355144,4.682034,12.357086,13.583944,6.365135,5.788363,46.689279,24.239705,14.378033,6.306364
ENSMUSG00000000600,Krit1,KRIT1,one-to-one,No_annotation,NA,NA,5.68512975,3.51329420075027,8.052563,6.417974,4.080558,2.224992,5.374946,4.231073,2.2509849999999996,2.9500369999999996,14.425722,7.726723999999999,7.757448,2.728535
ENSMUSG00000000605,Clcn4,CLCN4,one-to-one,No_annotation,NA,NA,7.166070333333333,2.996903576841311,9.882707,8.066871,6.14159,3.965946,5.480231999999999,6.624618,4.190157999999999,4.469337999999999,14.093262,9.843793000000002,8.081987,5.152341999999999
ENSMUSG00000000606,Vmn2r88,NA,mouse-specific,No_annotation,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000617,Grm6,GRM6,one-to-one,No_annotation,NA,NA,0.11831416666666666,0.1967475769737981,0.18118,0.175778,0.022615,0,0.06080100000000001,0.042734,0,0,0.706214,0.038639,0.147864,0.043945
ENSMUSG00000000627,Sema4f,SEMA4F,one-to-one,No_annotation,NA,NA,0.6596146666666667,0.9120959190688556,1.113285,0.693519,0.236261,0.011582,0.6361950000000001,0.260461,0.132382,0.054985,3.110308,0.0808,1.556063,0.029535
ENSMUSG00000000628,Hk2,HK2,one-to-one,No_annotation,NA,NA,5.009615416666667,2.7135839961928396,4.112761,5.151605,5.356485,3.356002,3.969221,8.776931,2.752997,2.97824,6.456389,11.459141,2.826354,2.919259
ENSMUSG00000000631,Myo18a,MYO18A,one-to-one,No_annotation,NA,NA,7.244845666666667,2.0497706922729115,10.944012,8.444289999999999,7.486767,4.406106,7.754980000000001,6.382887000000001,5.0142,4.572134,9.263215,8.944301000000001,8.00306,5.722196
ENSMUSG00000000632,Sez6,SEZ6,one-to-one,yes,NA,NA,0.03197525,0.03152447776548191,0.008496,0.009964,0.009927,0.027842,0.018062,0.019843,0.040467,0,0.05927699999999999,0.0929,0.010014,0.086911
ENSMUSG00000000673,Haao,HAAO,one-to-one,No_annotation,NA,NA,9.015114333333331,9.035765028708308,18.18998,19.849232,3.1209779999999996,3.347251,6.2498320000000005,6.268269,2.6934599999999995,2.3244390000000004,30.083765999999997,2.166845,10.841393,3.0459270000000003
ENSMUSG00000000682,Cd52,CD52,one-to-one,No_annotation,NA,NA,135.35605041666668,213.5281442128888,231.063209,214.483327,22.650158,15.710514,85.70689999999999,101.957032,4.731222,6.118406,758.003038,8.813986,169.594533,5.44028
