gene_id,gene_name,human_gene,ortholog_type,secreted,Reference,Function,mean_tpm,sd_tpm,Mous-1A-PANC-Mal,Mous-1B-PANC-Mal,Mous-2A-PANC-Mal,Mous-2B-PANC-Mal,Mous-3A-PANC-Mal,Mous-3B-PANC-Mal,Mous-4A-PANC-Fem,Mous-4B-PANC-Fem,Mous-5A-PANC-Fem,Mous-5B-PANC-Fem,Mous-6A-PANC-Fem,Mous-6B-PANC-Fem
ENSMUSG00000000094,Tbx4,TBX4,one-to-one,No_annotation,NA,NA,0.02028133333333333,0.057450568338566,0.0112,0,0,0,0.013348,0,0,0,0.201598,0,0,0.01723
ENSMUSG00000000103,Zfy2,NA,mouse-specific,No_annotation,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000120,Ngfr,NGFR,one-to-one,No_annotation,NA,NA,0.4808463333333334,0.7161627080969715,0.239215,0.250455,0.342822,0.236568,0.474404,0.103023,0.081838,0.069411,1.363652,0.122089,2.449463,0.037216
ENSMUSG00000000125,Wnt3,WNT3,one-to-one,yes,NA,NA,0.15889125,0.3840598656871857,0,0.010413,0.059697,0,0.040253,0.014008,0.060558,0.048429,1.362251,0.029485,0.234957,0.046644
ENSMUSG00000000126,Wnt9a,WNT9A,one-to-one,yes,NA,NA,0.2813050833333333,0.14003667082359558,0.179076,0.166398,0.139703,0.341983,0.216431,0.312597,0.138655,0.248034,0.187833,0.570104,0.457348,0.417499
ENSMUSG00000000127,Fer,FER,one-to-one,No_annotation,NA,NA,0.80803525,0.900415199111461,0.6483129999999999,0.476365,0.45431599999999994,0.333509,0.366497,0.5479430000000001,0.535044,0.403861,3.357132,0.494316,1.823274,0.255853
ENSMUSG00000000131,Xpo6,XPO6,one-to-one,No_annotation,NA,NA,6.3344932499999995,7.579878361834337,4.077424,2.824166,3.3423239999999996,3.291603,2.025585,3.434412,1.553943,2.270745,22.542733,3.456139,22.3591,4.835745
ENSMUSG00000000134,Tfe3,TFE3,one-to-one,No_annotation,NA,NA,2.8922761666666665,3.2824207428065764,1.257207,1.719837,1.191664,2.258016,1.4485,1.380498,1.48733,1.0917169999999998,11.284249999999998,1.856384,8.205098,1.526813
ENSMUSG00000000142,Axin2,AXIN2,one-to-one,No_annotation,NA,NA,1.9266374166666669,3.8256102448609415,0.701165,0.379305,0.308394,1.118137,0.408402,0.5609029999999999,0.444666,0.494462,13.771441,0.969746,3.427397,0.535631
ENSMUSG00000000148,Brat1,BRAT1,one-to-one,No_annotation,NA,NA,1.5957389166666665,1.8742784668292272,0.5355179999999999,0.916486,0.646857,0.759075,0.655492,0.7675749999999999,0.7993580000000001,0.867077,4.420904999999999,0.925186,6.517474999999999,1.337863
ENSMUSG00000000149,Gna12,GNA12,one-to-one,No_annotation,NA,NA,4.936989416666667,5.26417611105705,2.842008,2.29228,2.476582,2.748198,2.863158,2.594672,2.777607,2.580503,11.553981,2.858371,19.558446,4.098067
ENSMUSG00000000154,Slc22a18,SLC22A18,one-to-one,No_annotation,NA,NA,7.693669083333333,18.7966617591625,1.858655,1.814677,2.693541,1.970979,1.836951,2.544587,2.269832,2.8674729999999995,67.370706,2.248988,2.563014,2.284626
ENSMUSG00000000157,Itgb2l,ITGB2,one-to-many (human-to-mouse),No_annotation,NA,NA,0.19693016666666668,0.3121205027630524,0.024713,0.171778,0.120829,0.150942,0.16630299999999998,0.034375,0.057362,0.014917,1.167091,0.10805,0.213553,0.133249
ENSMUSG00000000159,Igsf5,IGSF5,one-to-one,No_annotation,NA,NA,6.616440916666667,14.35415954804964,3.358196,1.984598,3.003026,2.568843,2.547418,1.919663,2.129856,2.480232,52.176525000000005,2.8436,2.165887,2.219447
ENSMUSG00000000167,Pih1d2,PIH1D2,one-to-one,No_annotation,NA,NA,0.23965983333333335,0.2664107123388224,0.313267,0.046369,0.171549,0.190491,0.119725,0.156512,0.133089,0.053957,1.023725,0.058563,0.366883,0.241788
ENSMUSG00000000168,Dlat,DLAT,one-to-one,No_annotation,NA,NA,5.5648056666666665,9.308347672398735,1.581258,2.053249,2.136338,2.957813,2.3059540000000003,2.0406530000000003,2.803353,2.141352,34.519435,2.647952,8.708751,2.88156
ENSMUSG00000000171,Sdhd,SDHD,one-to-one,No_annotation,NA,NA,57.636039999999994,139.40918882751407,13.565232,14.233127,11.88469,16.379229,11.189835,15.269526,15.661991,12.089877,499.012168,15.286267,50.933868,16.12667
ENSMUSG00000000182,Fgf23,FGF23,one-to-one,yes,NA,NA,0.01466891666666666,0.04323284100491269,0,0,0,0,0,0,0,0,0,0,0.149857,0.02617
ENSMUSG00000000183,Fgf6,FGF6,one-to-one,yes,NA,NA,0.00184133333333333,0.00432892643280133,0.012211,0,0,0,0,0,0,0,0,0,0.009885,0
ENSMUSG00000000184,Ccnd2,CCND2,one-to-one,No_annotation,NA,NA,12.07589275,14.99660921614897,5.355006,5.943525999999999,4.2930839999999995,6.272161,4.683406,4.974509,6.0601519999999995,6.194488,49.948571,7.840851,37.23729,6.1076690000000005
ENSMUSG00000000194,Gpr107,GPR107,one-to-one,No_annotation,NA,NA,5.75520525,11.591215149575406,1.045303,1.090325,1.885549,1.454463,1.366478,1.498657,1.721007,1.581753,41.785912,3.791812,9.615937,2.225267
ENSMUSG00000000197,Nalcn,NALCN,one-to-one,No_annotation,NA,NA,0.04250041666666666,0.04178123437285807,0.007975,0.051705,0.004028,0.030468,0.027204,0.005775,0,0.09145,0.110522,0.030649,0.117664,0.032565
ENSMUSG00000000202,Btbd17,BTBD17,one-to-one,yes,NA,NA,0.03251991666666667,0.02813407882220853,0,0,0,0.009955,0.042447,0.054346,0,0.068296,0.047419,0.044114,0.066184,0.057478
ENSMUSG00000000204,Slfn4,SLFN12 | SLFN12L,many-to-many,No_annotation,NA,NA,1.1238146666666666,3.642268157189976,0.225704,0.152141,0.081452,0.049096,0.0122,0.06543,0.011025,0.022952,12.687288,0.013794,0.164694,0
ENSMUSG00000000214,Th,TH,one-to-one,No_annotation,NA,NA,0.08527766666666667,0.10389720302590467,0,0,0.038773,0,0.117102,0.194811,0,0.030957,0.293436,0,0.22481,0.123443
ENSMUSG00000000215,Ins2,INS,one-to-many (human-to-mouse),yes,NA,NA,851.4879498333333,565.4808234423239,1754.0476999999998,926.324564,154.533796,262.62161000000003,808.3927359999999,1708.580648,899.778123,997.102143,1.834178,529.7061600000001,1377.210912,797.722828
ENSMUSG00000000216,Scnn1g,SCNN1G,one-to-one,No_annotation,NA,NA,0.05621091666666666,0.03592775670819614,0.030365,0.052595,0.039871,0.031,0.107661,0.028117,0.071126,0.09917,0.017695,0.119203,0.015869,0.061859
ENSMUSG00000000223,Drp2,DRP2,one-to-one,No_annotation,NA,NA,0.04270425,0.05222217708655099,0,0.009809,0.009318,0,0.060084,0.022713,0.014437,0.010012,0.111712,0.05164,0.17184100000000002,0.050885
ENSMUSG00000000244,Tspan32,TSPAN32,one-to-one,No_annotation,NA,NA,4.029818000000001,12.94933473412811,0.163206,0.021966,0.20763,0.121407,0.095302,0.278389,0.082924,0.120151,1.977131,0.01152,45.114102,0.164088
ENSMUSG00000000247,Lhx2,LHX2,one-to-one,No_annotation,NA,NA,0.04096716666666666,0.10782410795940964,0.010364,0,0,0.01016,0,0.046219,0,0.019828,0,0.02467,0.380365,0
ENSMUSG00000000248,Clec2g,CLEC2A | CLEC2D,many-to-many,No_annotation,NA,NA,0.16312025,0.2770631686608423,0,0,0.017458,0.039751,0.232137,0,0,0,0.580607,0.244155,0.843335,0
ENSMUSG00000000253,Gmpr,GMPR,one-to-one,No_annotation,NA,NA,0.5464209999999999,0.7763457007641048,0.37873,0.079357,0.076024,0.182262,0.229431,0.240692,0.325721,0.300194,1.538573,0.254494,2.686028,0.265546
ENSMUSG00000000263,Glra1,GLRA1,one-to-one,No_annotation,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000266,Mid2,MID2,one-to-one,No_annotation,NA,NA,1.1765789166666667,0.958661214192002,0.410724,0.537941,0.676593,0.9418,0.867439,0.647411,0.732664,1.103397,3.847961,1.006122,2.208587,1.138308
ENSMUSG00000000275,Trim25,TRIM25,one-to-one,No_annotation,NA,NA,5.466677333333333,11.18490900376994,1.049396,1.378588,1.219183,1.489955,1.252496,1.29154,1.472395,1.413176,39.660959,1.598456,11.898021,1.875963
ENSMUSG00000000276,Dgke,DGKE,one-to-one,No_annotation,NA,NA,0.36668816666666665,0.4100519959348467,0.149979,0.356673,0.116816,0.237726,0.162474,0.21772,0.169124,0.24781,0.766085,0.174983,1.54864,0.252228
ENSMUSG00000000278,Scpep1,SCPEP1,one-to-one,yes,NA,NA,17.685800166666667,36.3275036015505,5.634462,3.424407,5.959216,3.366882,5.788667,2.886235,7.099722,3.312346,129.149775,4.676319,36.855498,4.076073
ENSMUSG00000000282,Mnt,MNT,one-to-one,No_annotation,NA,NA,1.3033833333333331,1.4579935650438698,0.640239,0.599278,0.595496,0.521706,0.80208,0.504396,0.499271,0.567376,4.546435,0.887458,4.229816,1.247049
ENSMUSG00000000290,Itgb2,ITGB2,one-to-many (human-to-mouse),yes,NA,NA,7.622581583333334,18.063381514477783,1.273529,1.13656,2.005861,1.6348,1.012942,2.200679,0.698177,1.755178,12.347939,1.672688,64.104774,1.627852
ENSMUSG00000000295,Hddc2,HDDC2,one-to-one,No_annotation,NA,NA,3.7866458333333335,2.9840074050227656,2.507697,2.7652780000000003,3.06586,2.378135,2.223302,2.5073929999999995,2.398058,2.696569,12.348089000000002,3.119022,6.962353,2.467994
ENSMUSG00000000296,Tpd52l1,TPD52L1,one-to-one,No_annotation,NA,NA,4.476682833333333,1.0929968989532517,5.687322,4.438706000000001,6.762666,3.763357,4.884011,3.763364,3.3582880000000004,4.193694,3.217855,5.7208689999999995,4.33757,3.5924920000000005
ENSMUSG00000000301,Pemt,PEMT,one-to-one,No_annotation,NA,NA,4.787218500000001,2.0594855943854484,4.731224000000001,3.895588,3.774205,3.546342,2.185672,6.940218000000001,5.3598490000000005,3.3555390000000003,10.013190000000002,3.439214,4.799434,5.406147
ENSMUSG00000000303,Cdh1,CDH1,one-to-one,No_annotation,NA,NA,17.189368166666668,33.66008713562939,6.095598,7.531848,6.945586,9.57095,8.097873,8.005233,6.724373,7.337402,124.0097,8.150706,5.146263,8.656886
ENSMUSG00000000305,Cdh4,CDH4,one-to-one,No_annotation,NA,NA,0.0369725,0.06938613644407911,0.004456,0.004626,0.008864,0,0.081789,0,0.005395,0.032428,0.067557,0,0.238555,0
ENSMUSG00000000308,Ckmt1,CKMT1A | CKMT1B,one-to-many (mouse-to-human),No_annotation,NA,NA,119.63309325,399.1173080303124,3.916288,3.941479,3.838311,4.503464,5.063533,4.494248,5.1010860000000005,3.957167,1386.999025,5.933346,3.705149000000001,4.144023
ENSMUSG00000000317,Bcl6b,BCL6B,one-to-one,No_annotation,NA,NA,0.33657075000000003,0.3110236838509321,0.5262020000000001,0.14336,0.181325,0.082743,0.246983,0.168151,0.132745,0.188954,0.579029,0.369315,1.191559,0.228483
ENSMUSG00000000318,Clec10a,CLEC10A,one-to-many (human-to-mouse),No_annotation,NA,NA,1.8654608333333331,2.8086093871386315,1.339248,1.27763,1.217726,0.911382,1.442608,0.878795,0.598515,1.312338,0.761506,1.031286,10.745138999999998,0.8693569999999999
ENSMUSG00000000320,Alox12,ALOX12,one-to-one,No_annotation,NA,NA,0.4875974166666666,0.2869922639785572,0.7153499999999999,0.499726,0.154356,0.22992,0.9696,0.257035,0.183767,0.308438,0.7871630000000001,0.36545,0.890066,0.490298
ENSMUSG00000000326,Comt,COMT,one-to-one,No_annotation,NA,NA,16.684416333333335,26.51501367611152,8.370874,5.6076239999999995,8.953458,7.401956,6.534964,7.573255,8.080392,7.10685,98.904207,7.434880000000001,27.070845,7.173691
ENSMUSG00000000339,Rtca,RTCA,one-to-one,No_annotation,NA,NA,5.260653083333333,8.178504986356808,2.140191,2.2665490000000004,2.487594,2.168465,1.975538,2.10986,1.7857740000000002,2.309381,30.039793999999997,2.554378,10.716166,2.574147
ENSMUSG00000000340,Dbt,DBT,one-to-one,No_annotation,NA,NA,10.07044725,1.2555191659207698,7.349904,10.592827,8.930102,9.874368,10.576988,8.687341,10.760491,9.778313,10.92094,11.902868,10.174596,11.296629
ENSMUSG00000000346,Dazap2,DAZAP2,one-to-one,No_annotation,NA,NA,24.82369016666667,41.5194544985547,9.256493,8.563864,8.630859999999998,9.417337000000002,7.767252,8.057725,8.645291,7.08702,144.10451500000002,8.548639,69.87567200000001,7.929614000000001
ENSMUSG00000000355,Mcts1,MCTS1,one-to-one,No_annotation,NA,NA,18.163866833333337,14.172995759118516,10.903194,12.024431,13.464569,11.758223,8.631418,14.433362,10.808197,12.637046000000002,46.816755,12.988006,49.773837,13.727364
ENSMUSG00000000359,Rem1,REM1,one-to-one,No_annotation,NA,NA,0.7967730833333333,0.8733082856660598,0.679835,0.348463,0.247977,0.524495,0.886352,0.294416,0.429134,0.310671,1.637578,0.45937,3.292178,0.450808
ENSMUSG00000000365,Rnf17,RNF17,one-to-one,No_annotation,NA,NA,0.08601316666666667,0.16926570533810462,0,0,0.080127,0,0.011271,0,0,0.010258,0.366304,0,0.510077,0.054121
ENSMUSG00000000374,Trappc10,TRAPPC10,one-to-one,No_annotation,NA,NA,5.339216666666667,6.480989925174596,2.3661689999999997,2.87113,2.634335,2.849686,2.881876,2.853982,2.884885,2.523044,24.629418,3.680509,10.648005,3.247561
ENSMUSG00000000378,Ccm2,CCM2,one-to-one,No_annotation,NA,NA,8.589604916666666,14.158236117225558,2.5664749999999996,3.352974,3.812980000000001,4.091096,3.077797,4.735184,3.979001,3.783802,14.143425999999998,3.31159,52.480926,3.740008
ENSMUSG00000000381,Wap,NA,mouse-specific,yes,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000384,Tbrg4,TBRG4,one-to-one,No_annotation,NA,NA,8.9918745,12.729839503337956,2.7601160000000005,4.052455,3.7236129999999994,3.725812,5.697337000000001,4.410724,4.208687,3.4007349999999996,46.555451999999995,4.571967,20.274316,4.52128
ENSMUSG00000000385,Tmprss2,TMPRSS2,one-to-one,yes,NA,NA,7.934708833333333,19.691183953511175,1.624349,1.540495,3.287764,2.419075,3.060638,2.479816,2.483895,1.752505,70.43928799999999,2.176933,1.892828,2.05892
ENSMUSG00000000386,Mx1,MX1 | MX2,many-to-many,No_annotation,NA,NA,1.2998626666666666,2.8818874624769264,0.160153,0,0.053169,0.022764,0.057168,0.015293,0.038789,0.089281,8.798494999999999,0.5050169999999999,5.8242650000000005,0.033958
ENSMUSG00000000392,Fap,FAP,one-to-one,yes,NA,NA,0.6826725,0.8463411074744036,0.380729,0.34659199999999996,0.220051,0.351329,0.242582,0.351364,0.215629,0.368117,1.867883,0.49089,2.964166,0.392738
ENSMUSG00000000394,Gcg,GCG,one-to-one,yes,NA,NA,30.361458416666668,21.035070838974537,20.207936,23.392076,1.655442,7.905756,28.189824,31.925566,30.292144,46.900122,33.311302,12.368763,79.879017,48.309553
ENSMUSG00000000399,Ndufa9,NDUFA9,one-to-one,No_annotation,NA,NA,32.11486383333333,53.14660958084742,12.804616,15.535025999999998,14.057433,15.901027,15.006891,15.189883,13.815417,12.293663,199.106893,14.517334,40.934073999999995,16.216109
ENSMUSG00000000402,Egfl6,EGFL6,one-to-one,yes,NA,NA,0.04992466666666666,0.065941723561357,0.057834000000000003,0.012367,0,0.075557,0.015927,0,0.057229,0.043213,0.060898,0.034783,0.241288,0
ENSMUSG00000000409,Lck,LCK,one-to-one,No_annotation,NA,NA,11.820850583333334,34.766800440617814,0.412682,0.131291,0.354084,0.119735,0.167431,0.353685,0.670223,0.342337,18.118255,0.08461,121.010298,0.085576
ENSMUSG00000000411,Tssk3,TSSK3,one-to-one,No_annotation,NA,NA,0.003188,0.01104355594905916,0,0,0,0,0,0,0,0,0,0,0.038256,0
ENSMUSG00000000416,Cttnbp2,CTTNBP2,one-to-one,No_annotation,NA,NA,0.27081541666666664,0.2453585140496021,0.282771,0.098836,0.226317,0.17684899999999998,0.28749,0.113566,0.124258,0.068678,0.665724,0.213784,0.865846,0.125666
ENSMUSG00000000420,Galnt1,GALNT1,one-to-one,yes,NA,NA,20.148795416666665,21.03167904964199,13.148697,9.143001,14.921634,11.737714,15.154914,9.592261,16.728803,8.007814,79.73172299999999,11.412708,43.490151,8.716125
ENSMUSG00000000435,Myf5,MYF5,one-to-one,No_annotation,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000439,Mkrn2,MKRN2,one-to-one,No_annotation,NA,NA,1.8140228333333337,1.9378270381726697,0.769293,1.409948,0.83901,0.986172,0.754428,0.739238,0.772944,1.678865,6.1186419999999995,1.15311,5.703391000000001,0.843233
ENSMUSG00000000440,Pparg,PPARG,one-to-one,No_annotation,NA,NA,1.6393335,3.1124631639188776,0.32897,0.576232,0.366841,0.452573,0.2716,0.618297,0.749116,0.194411,11.116014,0.739518,3.5069329999999996,0.7514970000000001
ENSMUSG00000000441,Raf1,RAF1,one-to-one,No_annotation,NA,NA,8.16618175,10.253748551161127,3.466876,4.469283,3.155794,4.308823,3.0162250000000004,4.257207999999999,3.25758,3.3166130000000003,34.024494,5.229971,25.411766,4.079548
ENSMUSG00000000486,Septin1,SEPTIN1,one-to-one,No_annotation,NA,NA,14.232811,39.16118052589195,0.655913,1.093544,0.7741910000000001,1.159397,1.002337,1.376738,1.140124,1.868898,22.543176,0.949482,137.035279,1.194653
ENSMUSG00000000489,Pdgfb,PDGFB,one-to-one,yes,NA,NA,1.8565264166666664,0.7266784448296807,0.987778,1.739356,0.980328,2.111246,1.21898,2.117876,1.130625,1.951266,2.1097029999999997,1.756533,3.303152,2.871474
ENSMUSG00000000530,Acvrl1,ACVRL1,one-to-one,No_annotation,NA,NA,3.37695375,4.373450314122168,0.90442,2.321563,0.646779,1.543138,1.823892,1.647954,0.8420030000000001,1.37649,11.939925,1.431396,13.325978,2.719907
ENSMUSG00000000531,Tamalin,TAMALIN,one-to-one,No_annotation,NA,NA,2.3001419166666666,0.881462296271935,1.442194,2.786224,1.413991,3.236225,1.566259,2.3202,1.57277,2.657654,0.906498,3.509972,3.249644,2.940072
ENSMUSG00000000532,Acvr1b,ACVR1B,one-to-one,No_annotation,NA,NA,4.065165666666666,6.159011650860555,1.392996,1.869574,0.94633,2.252331,1.282085,2.257654,1.216381,2.061785,22.936304,2.317853,7.090894,3.157801
ENSMUSG00000000538,Tom1l2,TOM1L2,one-to-one,No_annotation,NA,NA,5.261100833333333,7.708936131442662,1.898414,2.082075,1.928117,2.6708570000000003,2.20509,2.749346,2.579407,1.853921,28.543664,2.781101,10.546081,3.2951369999999995
ENSMUSG00000000544,Gpa33,GPA33,one-to-one,No_annotation,NA,NA,20.469664333333338,70.69936131032027,0,0,0,0,0.018987,0,0.492806,0.014794,244.969834,0,0.139551,0
ENSMUSG00000000552,Zfp385a,ZNF385A,one-to-one,No_annotation,NA,NA,1.5498966666666667,1.8422783242649368,0.950349,0.79752,0.643631,0.906271,0.865185,0.830586,0.629938,0.850274,2.5988290000000003,0.9943,7.154539999999999,1.3773369999999998
ENSMUSG00000000555,Itga5,ITGA5,one-to-one,No_annotation,NA,NA,1.2838186666666669,1.0882824445311925,0.826206,0.616664,0.538693,0.73961,1.240743,0.97479,0.418406,0.784576,2.961164,1.081552,4.033951,1.189469
ENSMUSG00000000560,Gabra2,GABRA2,one-to-one,No_annotation,NA,NA,0.03362883333333333,0.0753920666055826,0.010605,0.037361,0,0,0,0,0,0.02249,0.267292,0.01756,0.048238,0
ENSMUSG00000000561,Wdr77,WDR77,one-to-one,No_annotation,NA,NA,5.353308,6.503216381032515,1.34272,2.235816,2.245393,2.987144,2.682181,2.6905089999999996,2.589605,2.009174,21.631264,4.1545309999999995,16.336052,3.335307
ENSMUSG00000000562,Adora3,ADORA3,one-to-one,No_annotation,NA,NA,0.14976266666666666,0.3311005861298272,0,0,0.025692,0,0.033677,0.037066,0,0,1.0447609999999998,0,0.6153949999999999,0.040561
ENSMUSG00000000563,Atp5pb,ATP5PB,one-to-one,No_annotation,NA,NA,53.461803499999995,87.4566130311498,20.864700000000003,23.645997,28.642774,28.155085,21.659504,23.596941,24.45993,22.399734,328.029324,27.108469000000003,69.281926,23.697258
ENSMUSG00000000567,Sox9,SOX9,one-to-one,No_annotation,NA,NA,2.81307375,0.8020933124585631,3.108171,2.118506,2.311292,2.36527,3.416222,1.981376,2.54543,2.646559,4.98287,3.098375,2.512298,2.670516
ENSMUSG00000000568,Hnrnpd,HNRNPD,one-to-one,No_annotation,NA,NA,22.010381416666668,27.82001007963385,7.179839,9.597605,7.759745,12.574048,6.606349,12.345644,7.965349,8.01399,88.79872999999999,15.404157,72.726526,15.152594999999998
ENSMUSG00000000579,Dynlt1c,DYNLT1,one-to-many (human-to-mouse),No_annotation,NA,NA,4.540394083333333,9.291735544597708,1.12425,0.85545,1.089053,1.250508,0.8995540000000001,0.956193,0.735458,0.7948680000000001,31.657754999999995,0.793507,13.642856,0.685277
ENSMUSG00000000581,C1d,C1D,one-to-one,No_annotation,NA,NA,13.098999166666664,16.785980077596967,5.2161,6.432531,7.657494,6.867977999999999,5.362843,6.6435260000000005,7.391087,5.011168,61.045652,7.403989,31.768779,6.386843
ENSMUSG00000000594,Gm2a,GM2A,one-to-one,No_annotation,NA,NA,6.492691333333333,11.092445551164204,2.357751,1.619526,1.955017,1.742898,1.831371,1.856526,2.123561,1.54826,25.189557,1.50413,34.510912,1.672787
ENSMUSG00000000600,Krit1,KRIT1,one-to-one,No_annotation,NA,NA,3.830025083333333,4.57216885961926,1.828238,1.8894059999999997,1.856345,2.075095,1.758896,1.759151,1.5983290000000001,1.4361549999999998,9.630949,2.917845,16.487251999999998,2.7226400000000006
ENSMUSG00000000605,Clcn4,CLCN4,one-to-one,No_annotation,NA,NA,4.8579485,5.018869498829655,2.016524,2.4881309999999996,2.149106,3.3767320000000005,2.613945999999999,2.573632,2.2822229999999997,2.9955300000000005,16.533745,3.552912,14.491076,3.221825
ENSMUSG00000000606,Vmn2r88,NA,mouse-specific,No_annotation,NA,NA,0.00118733333333333,0.00411304331770689,0,0,0,0,0,0,0,0,0.014248,0,0,0
ENSMUSG00000000617,Grm6,GRM6,one-to-one,No_annotation,NA,NA,0.03374625,0.11313576392034884,0,0,0,0,0,0,0,0.012125,0,0,0.39283,0
ENSMUSG00000000627,Sema4f,SEMA4F,one-to-one,No_annotation,NA,NA,0.3477015,1.0876041873023226,0,0.01567,0,0.016047,0.08258,0.020919,0.018251,0.018251,0.192162,0,3.79697,0.011568
ENSMUSG00000000628,Hk2,HK2,one-to-one,No_annotation,NA,NA,1.1253505833333333,1.0122229082235037,0.612996,0.715352,0.705933,0.507767,0.763659,0.568073,0.648573,0.682393,3.871921,0.981939,2.477653,0.967948
ENSMUSG00000000631,Myo18a,MYO18A,one-to-one,No_annotation,NA,NA,8.607559666666667,11.274575838427452,2.856738,5.2921629999999995,4.0413570000000005,4.546306,3.631062,4.586366,3.105851,4.766743,43.165825000000005,6.934006,13.982118000000002,6.382181
ENSMUSG00000000632,Sez6,SEZ6,one-to-one,yes,NA,NA,0.04717716666666666,0.05206062872325503,0.061917,0.028176,0.09138,0.037476,0,0.037591,0,0.044109,0.189844,0.048771,0.012963,0.013899
ENSMUSG00000000673,Haao,HAAO,one-to-one,No_annotation,NA,NA,5.381804750000001,7.2312293854090095,3.311821,2.393802,2.9715490000000004,1.804992,2.246544,3.662061,4.616694,2.919721,6.048598,2.35316,28.030953000000004,4.221762
ENSMUSG00000000682,Cd52,CD52,one-to-one,No_annotation,NA,NA,58.64177908333333,166.92980487040623,3.292399,1.563456,3.673993,1.892324,1.452643,2.864957,4.201865,3.90949,95.6473,1.533192,581.858917,1.810813
ENSMUSG00000000686,Abhd15,ABHD15,one-to-one,yes,NA,NA,0.34375633333333333,0.50297539215287,0.072656,0.120671,0.102777,0.0251,0.093192,0.193111,0.169128,0.08197,1.307103,0.135905,1.502924,0.320539
ENSMUSG00000000690,Hoxb6,HOXB6,one-to-one,No_annotation,NA,NA,0.3533394166666667,0.45456126706957944,0.025149,0.188855,0.157752,0.024119,0.12568,0.066843,0.254521,0.155956,1.591375,0.358641,0.875008,0.416174
ENSMUSG00000000693,Loxl3,LOXL3,one-to-one,yes,NA,NA,0.6054330833333333,0.6826434791672281,0.242033,0.185801,0.171083,0.259621,0.272468,0.230684,0.421931,0.72796400000000006,2.009873,0.200206,2.041499,0.502034
ENSMUSG00000000701,Tcl1b5,TCL1B,one-to-many (human-to-mouse),No_annotation,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
