Geneid,Chr,Start,End,Strand,Length,adult_PAR_01,adult_PAR_02,adult_PAR_03,adult_PAR_04,adult_SL_01,adult_SL_02,adult_SL_03,adult_SM_01,adult_SM_02,adult_SM_03,adult_SM_04,adult_SM_05,adult_SM_06,Secretome location,Secretome function,Level,Reliability,Cell type
AADACP1,NC_000003.12,151770456,151770611,+,1289,0.43059733397046,0.655530199941522,0.200614257435489,0.357324974186849,0.798272205473948,1.12816481692278,0.676452452490671,0.27326652058824,0,0.202416809556606,0.409348261669392,0.109726934016038,0.0993465542302969,NA,NA,NA,NA,NA
AADAT,NC_000004.12,170060222,170060969,-,3007,0.761403341997899,0.796177434393003,0.494480453125203,0.408461937015274,1.71096254216149,0.462580036122904,0.253725909495482,0.449037386979246,0.41694616912376,0.802615970916464,0.157926477672984,0.587953184015102,0.809144150200931,NA,NA,Not detected,Enhanced,glandular cells
AAGAB,NC_000015.10,67200667,67202898,-,3492,7.80822972690269,9.07408105374378,6.18339445852458,7.18850461028443,13.9966241296266,9.46945722936949,7.47534926606829,6.72471449099354,5.84512201759387,9.28371190984231,5.09215405015328,8.16144347544518,8.70953772785725,NA,NA,Medium,Supported,glandular cells
AAK1,NC_000002.12,69457997,69475963,-,21160,4.26575491787445,3.93671030245048,2.83522176075464,3.86003286702399,7.91829313784052,4.52683434752896,2.89223983413727,4.64993032044812,2.90568287724123,4.70411978063774,3.32898217818816,3.66629266747401,3.77031910845828,NA,NA,Not detected,Enhanced,glandular cells
AAMDC,NC_000011.10,77821144,77821180,+,6730,1.94841294760805,2.20765785351529,1.79630989803204,2.70332536749042,3.08335110489267,2.69627674182352,1.76527202874056,1.2648558452339,1.19973193473628,1.97721822339402,1.64645588337723,1.74433216784158,1.87424729237459,NA,NA,Not detected,Enhanced,glandular cells
AAMP,NC_000002.12,218264129,218264608,-,1763,41.7932814254236,46.2509462708031,39.5661554570701,49.377122822674004,39.8826694905395,36.6877395580846,30.0458270471207,36.7624845643996,26.483219252339,35.7408038035788,33.0117895603464,32.6518850279613,39.0419842691624,NA,NA,Medium,Approved,glandular cells
AANAT,NC_000017.11,76453351,76453782,+,2094,0.530124129405848,0.168134835188758,0.185237663205118,0.403256193011408,0.45044180203021,0.422716296793913,0.15615100488189,0.897142426076387,0.191596123102983,0.186902054096322,0.478765438230425,0.337722105889859,0.733855062480531,NA,NA,NA,NA,NA
AAR2,NC_000020.11,36236478,36236503,+,2852,11.6525307902663,12.5917192069763,9.95106858952293,10.9818543609487,12.4472524942248,8.20256793302916,5.90444618424541,9.92168903158207,6.55892580220294,8.32513651619228,8.51048240793301,6.67020105674176,8.68834732677138,NA,NA,NA,NA,NA
AARD,NC_000008.11,116938207,116938567,+,2291,0.151418584539481,0.491766871947983,0.2821822106442,0.536117435445189,1.12284250639013,1.3798839020491,0.594682460757089,0.691873615308637,0.525363092681336,0.626378861349437,0.575785584124669,0.555627307516393,0.922283801242719,NA,NA,NA,NA,NA
AARS1,NC_000016.10,70252298,70252906,-,3437,37.82895299594,57.6717649608382,24.5274715082911,62.4262601773126,46.154587692354,32.7076888381669,33.551067410299,48.9536127475318,24.732247149153,29.1508474620573,22.6749757353523,23.0448909078082,30.7755796161642,NA,NA,Medium,Supported,glandular cells
AARS2,NC_000006.12,44298731,44300711,-,4798,7.40361768720864,7.74886428092608,5.94200573285464,8.27171071358831,10.6157059621442,7.37947415995377,4.94082217718719,6.85197669936832,3.81510089747919,6.53919568968226,5.53163618953312,6.02836070656411,5.11109861591211,NA,NA,Medium,Approved,glandular cells
AARSD1,NC_000017.11,42950526,42950728,-,1320,0,0,0,0,0,0,0,0,0,0.0988315407266915,0,0,0,NA,NA,Not detected,Supported,glandular cells
AASDH,NC_000004.12,56338290,56338791,-,4014,7.91630241895455,7.68353577776499,7.37637233732749,6.44492059092957,8.138985728245,6.93063362541889,5.53927600576535,6.30359055437145,7.23393501336751,7.44265025681722,6.1914077547698,6.73010997205145,8.02354600481252,NA,NA,High,Approved,glandular cells
AASDHPPT,NC_000011.10,106077662,106077893,+,2767,17.602008238549,20.7401945125758,16.1444631806589,17.1175278397461,15.5876808531059,11.9734625678895,9.09919614208392,11.7540815534987,13.1945817281409,15.1108318105653,13.5964721837762,14.9003188404247,15.2493729377448,NA,NA,Low,Approved,glandular cells
AASS,NC_000007.14,122073549,122076607,-,5960,13.9691265978504,11.353806893783,8.49317793809951,10.1495081286565,20.3435073017096,18.0131248499041,11.4022459358411,6.06767829260505,3.82858721075565,8.38343518956144,6.70186210291826,7.40413785224194,10.9794444620567,NA,NA,Low,Enhanced,glandular cells
AATBC,NC_000021.9,43805758,43806588,-,4598,1.40329264365966,1.08731093896709,0.87172086916754,1.38571578270728,1.30542447984476,2.14512826035989,0.557056314283959,0.944823848514929,0.643511706853011,0.822808042413604,1.12461268183125,0.661356543247818,0.877298350302275,NA,NA,NA,NA,NA
AATF,NC_000017.11,36948954,36949216,+,2062,0,0,0,0,0,0,0,0,0,0,0.0511784587091995,0,0,NA,NA,High,Uncertain,glandular cells
AATF_1,NT_187614.1,1185319,1185581,+,2062,0.336469425004803,0.204892926218385,1.03461792780473,0.595657150632846,4.15847426792725,0.337288595689033,0.317148597694159,0.711769610892017,0.340496601896645,1.48678680569446,0.588552275155794,0.137185274439062,0.248414565281964,NA,NA,NA,NA,NA
AATK,NC_000017.11,81117295,81118442,-,5514,6.14026800376556,8.05799461815736,2.8255630421689,8.11646333202613,3.343446494741,3.23355296889969,0.849966677643281,1.75673104616461,0.991363998770482,1.10015958828515,4.96645453250759,1.82120044871487,2.09016934281044,NA,NA,Not detected,Approved,glandular cells
ABALON,NC_000020.11,31721507,31723409,+,1903,0.802080872092374,1.2210670920876,0.781346675011816,0.927799396542083,2.3430806353349,1.39543025562762,1.60368641062095,0.863788339557783,0.527065530448827,0.719813533616366,0.748636234938511,1.48647417705384,1.00938813769984,NA,NA,NA,NA,NA
ABAT,NC_000016.10,8674617,8674711,+,12228,2.12202472138211,1.78513325015424,1.26356384736687,1.99635020130217,3.81475059176766,5.25334485428196,3.50297732688672,1.21945669010622,0.652101353478143,1.58431130301325,1.21254190800629,1.37065792661766,1.58134723330314,NA,NA,Low,Enhanced,glandular cells
ABCA1,NC_000009.12,104781006,104784455,-,10408,4.83286862904429,6.9954817949915,4.58399144988823,8.54095264251361,29.2471632289146,6.7187035082081,5.05801430436694,3.7509601980917,3.99930214589074,7.02550958128843,4.21795469380108,5.06882981303891,6.5640648955536,NA,NA,Medium,Approved,glandular cells
ABCA10,NC_000017.11,69148007,69148925,-,6364,7.03175629418821,6.33999370267924,4.34778759086658,7.15302199334854,12.2612260933753,9.4978510456704,5.91722504498927,6.34667648717552,6.30424704238917,5.53481475722704,6.79046630594002,9.24547697451538,4.59792369108294,NA,NA,Medium,Uncertain,glandular cells
ABCA11P,NC_000004.12,425435,426973,-,1895,7.06614201538055,6.61416711235631,5.56074667374647,6.80557940282414,8.59739867381814,9.14195294320726,4.08365778360776,5.23558945571353,3.7579633253579,6.64335707533824,6.15359524820571,5.26194209247516,7.12933416174193,NA,NA,NA,NA,NA
ABCA12,NC_000002.12,214931542,214932741,-,9577,0.0724443932713693,0.124992458244741,0.0337516677762276,0.22443654882099,0.0537210437953388,0.0726207668696654,0.0455229827326133,0.104209551802062,0.0366557373452481,0.0953538097853848,0.0220382127719264,0.0738425487870277,0.0601712110068745,NA,NA,NA,NA,NA
ABCA13,NC_000007.14,48171458,48171552,+,27818,0.0249406842461681,0.0506254000841554,0.120845967066162,0.0772675543913518,0.258926238765958,0.254559760007608,0.129296938904647,0.021103874292319202,0.00360559962773786,0,0.0436262416913958,0.020337625702304,0.0161119411679482,NA,NA,NA,NA,NA
ABCA15P,NC_000016.10,21300849,21301335,+,2304,0,0,0,0,0,0,0,0.0509607270020604,0.217666168499157,0,0,0,0,NA,NA,NA,NA,NA
ABCA15P_1,NW_017852933.1,124540,125027,+,2293,0,0,0.0281936085733041,0,0.224372628184893,0.0551472135995548,0.0475331013552374,0.051205196255014,0,0,0,0.18504755945923199,0.279236171833521,NA,NA,NA,NA,NA
ABCA17P,NC_000016.10,2340922,2341373,+,4188,0.381026718010453,0.521217989085149,0.108055303536319,0.384926366056344,0.163797018920076,0.211358148396957,0.0390377512204725,0.280357008148871,0.383192246205966,0.186902054096322,0.100792723837984,0.219519368828408,0.305772942700221,NA,NA,NA,NA,NA
ABCA2,NC_000009.12,137007234,137007964,-,8309,12.2995225992555,9.30503383521517,7.81937467575872,11.7240564568815,9.0608394749418,10.0139348893642,2.39394581259834,8.25950168792282,5.64334055635606,7.1359964548768,7.51880482129675,5.01305768266881,6.43447987220977,NA,NA,Medium,Approved,glandular cells
ABCA3,NC_000016.10,2275881,2276805,-,6602,7.88170199590923,8.45789019975796,6.19844726481144,11.999667582099,13.8583517032372,17.5256124079306,5.44801915548236,8.26091755883385,5.18062625288464,9.89992040493421,6.40980350275767,6.02000651969329,8.26303904568543,NA,NA,Medium,Enhanced,glandular cells
ABCA4,NC_000001.11,93992834,93993242,-,7328,0.113613529644089,0,0.052932268934432,0.178085474876192,0.234027673047653,0.0517682426789489,0.0446206610565881,0.0240338799835045,0,0.0178026246942185,0.0864055528316343,0.0579031187008759,0.0873756198163569,NA,NA,Not detected,Enhanced,glandular cells
ABCA5,NC_000017.11,69244311,69247644,-,9455,11.2637010041507,13.7031580029376,11.0356194982716,10.2867958191066,16.6326128046691,16.3565818972567,12.0232805571744,10.4560739969046,10.2263088216196,10.9623046030365,8.91228879047149,12.6329356061306,9.8396536387808,NA,NA,High,Approved,glandular cells
ABCA6,NC_000017.11,69078702,69079074,-,5321,11.2916887892441,9.47510734590661,8.23741897066745,10.8634246216349,18.9189712574837,12.5240555408855,8.07055067742499,7.85551801250479,7.53055401100216,7.71075471100897,8.21075220623284,9.94133033490991,8.09836851673744,NA,NA,NA,NA,NA
ABCA7,NC_000019.10,1040107,1040196,+,6925,8.1552803299489,5.62302130603749,5.53591784316847,8.60214940986845,8.30855352209773,8.72842224615833,1.81786828340406,8.80813300348334,4.28721571863478,6.71597782457278,4.84599772288252,3.06363937790627,8.31219349127542,NA,NA,Low,Enhanced,glandular cells
ABCA8,NC_000017.11,68867289,68868183,-,6646,20.1270886549187,18.0963882354506,15.4956628833175,19.867039165668,18.4758896821356,18.3038464450791,8.10972569907284,8.69206280262889,16.2916740587936,11.8071421465812,14.9418767572563,14.0459060855859,12.9965278840993,NA,NA,Not detected,Enhanced,glandular cells
ABCA9,NC_000017.11,68974488,68976013,-,7238,9.99769760151118,11.3337002429214,8.26186082124791,9.24832204075277,8.58899020010755,5.45084263118805,3.72697801165666,5.4829743125599,5.84786415135973,6.15519230847997,5.78096681498252,8.37333388921654,4.04271710003479,NA,NA,High,Uncertain,glandular cells
ABCA9-AS1,NC_000017.11,69004714,69004793,+,523,2.91847017130361,3.23127505822035,4.32634427543121,3.66947013804054,1.96744335154095,1.81337324259722,0.104200192550248,1.4592501865829,1.72601364053481,2.36968933214668,2.82489435184928,2.56914181738698,2.81580047157324,NA,NA,NA,NA,NA
ABCB1,NC_000007.14,87503017,87504449,-,5733,0.714010069897685,0.319341809419736,1.08254014791981,1.3122276117574,1.48073019380103,1.41164554162949,0.541830095955946,0.573448180770438,0.419887265073414,0.284444518051703,0.644261183506529,0.703119398479012,0.781793091592507,NA,NA,Not detected,Enhanced,glandular cells
ABCB10,NC_000001.11,229516582,229518410,-,5436,5.13075021436132,6.67101867608198,3.7223706062431,4.66014607155567,9.16472343526626,7.65321789879753,4.90229702798901,5.16222039883123,4.40060449797502,6.20369726393703,5.16390271786723,5.90626013132722,5.93645005841039,NA,NA,Medium,Uncertain,glandular cells
ABCB11,NC_000002.12,168915390,168915682,-,7507,0.0554522409239299,0,0.180845455392342,0.0306774937875881,0.0571118552049154,0.00842230989634869,0.00725945127264948,0.0938432250001975,0.120248452644159,0.199848513151882,0.021086315810251,0.0565224528893058,0.0938214195038883,NA,NA,Not detected,Enhanced,glandular cells
ABCB11_1,NW_003315909.1,107408,110449,-,4198,0.0165269164926132,0,0,0,0,0,0,0,0.0238924655656055,0,0,0,0.0305044565037762,NA,NA,NA,NA,NA
ABCB4,NC_000007.14,87365896,87368752,-,12098,0.510400032551094,0.558755779616215,0.475588283750552,0.647219553592033,0.843443626149325,0.407641748269746,0.472983433120918,0.334829415435591,0.236284200501383,0.490644927760381,0.314025404769491,0.362421768585457,0.344013516539321,NA,NA,Not detected,Enhanced,glandular cells
ABCB5,NC_000007.14,20615667,20615837,+,7701,0.0991014088814302,0,0.0167894934316547,0.0996822689102818,0.144750111967352,0,0.00707657456223603,0.0152465283745938,0,0,0,0.0550985656200518,0,NA,NA,NA,NA,NA
ABCB6,NC_000002.12,219209772,219210046,-,2980,4.49340238897521,5.55285040590844,3.66627604479902,5.15203458307436,13.8692652325658,7.61685726868737,4.51700841403811,5.22056736214396,2.08679039179648,3.41466289705375,3.8599892693162,3.51221923760194,5.67235486885119,Intracellular and membrane,Transport,Medium,Approved,glandular cells
ABCB7,NC_000023.11,75051048,75053585,-,4595,6.90025199439556,6.9572035942506,5.40257033125074,6.73262721675443,8.1922214578119,5.47640034732798,4.49494005804842,5.30213370296954,5.07505606710026,6.37382780825849,5.20185873578252,6.54093118904635,6.77214867070581,NA,NA,Low,Approved,glandular cells
ABCB8,NC_000007.14,151028450,151028610,+,4707,3.81759482003856,3.70998247425299,2.32111803983452,3.8488664559003,7.26861015985964,4.1237450776099696,2.45449342451695,4.6895561551724,1.90713852873908,4.48993768196213,3.29571007715749,2.49402071161543,3.63197452130462,NA,NA,Medium,Approved,glandular cells
ABCB9,NC_000012.12,122918610,122920353,-,10311,1.87731730449436,1.49557330093825,0.833883872853456,1.48155346157248,2.43662958447923,2.65512359709904,1.59087449440769,1.6682261613197,1.15757616941955,1.22094478302453,1.45332726446401,1.17282034084381,1.30404998373577,NA,NA,Medium,Approved,glandular cells
ABCC1,NC_000016.10,15949143,15949260,+,8370,2.80172502477476,5.3925843505723,6.54203213338382,10.1436605386279,1.99770719043115,0.543881981865717,0.201839632236221,0.266530081868841,0.155783442745203,0.405244740470735,0.157601526072834,0.194329415338917,0.244793707819073,NA,NA,Not detected,Uncertain,glandular cells
ABCC10,NC_000006.12,43427541,43427699,+,6757,7.02322286195314,6.40893065278775,4.4297762741343,7.04373175646603,8.47705933436626,7.56057933352772,2.95993623772194,6.59441008544288,3.24340308452034,5.26116696749903,3.88885089281249,4.09222029133854,5.24018889646126,NA,NA,Low,Approved,glandular cells
ABCC11,NC_000016.10,48164819,48165157,-,7819,0.0798593117948476,0.0450280528053791,0.22323756239696,0.206173631032609,0.175465383102003,0.153638486692148,0.0348488941704692,0.0525575268633604,0.0705529015787523,0.125135215909227,0.0809796509975977,0.0361780324713321,0.0900776820841143,NA,NA,NA,NA,NA
ABCC12,NC_000016.10,48080882,48083801,-,7908,0.0526403607253341,0,0,0.0679510883933556,0,0.015990460392486,0,0.0148474348776868,0,0,0,0,0,NA,NA,NA,NA,NA
ABCC13,NC_000021.9,14273799,14274157,+,2953,0.0704842486650765,0,0,0.155974226795411,0,0.0856434546452958,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
ABCC1_1,NT_187607.1,1607333,1607480,+,11212,8.35381678902845,6.68853330900465,3.93238477709203,3.02624592911266,0.611828322544844,0.530081194866003,0.145817072878469,0.382232723685807,0.102876967544661,0.238528495546225,0.164714117242371,0.151378542219058,0.268404936449076,NA,NA,NA,NA,NA
ABCC2,NC_000010.11,99782640,99782877,+,8291,0.485350348002345,0.645462554849347,0.40546292508099,0.768486451439882,0.982515407483137,0.465179484248615,0.216908831651758,0.47441234506417,0.217755429743024,0.440575774364796,0.343662949002047,0.486187855684498,0.23168081365852,NA,NA,Medium,Enhanced,glandular cells
ABCC3,NC_000017.11,50634881,50634981,+,5798,0.287188666861636,0.485787298910326,0.267601011901703,0.609038375860498,7.73474779383186,5.96494918495406,1.41928282274418,9.2545664644404,5.61357970148527,1.99129020139567,0.718943477648429,0.573265509097415,0.68468246990142,NA,NA,Low,Enhanced,glandular cells
ABCC4,NC_000013.11,95019835,95021682,-,18266,0.600133542039115,0.659199747896412,0.424710026006261,0.668218829013548,3.58651444789008,1.63032837318406,1.16953392510027,0.819567675688452,0.631477367847769,1.10702579835109,0.595072163112452,0.778195598578814,1.23038036924891,NA,NA,Not detected,Enhanced,glandular cells
ABCC5,NC_000003.12,183919934,183921401,-,10217,2.17300563174287,1.99866027242292,1.87293643532755,3.31344857021859,10.5663505833872,6.0212558306067,3.7497485166641,4.1658411659118,2.43462283157621,3.2687828366804,2.41695368061647,2.83097530293575,2.36261897170772,NA,NA,Not detected,Uncertain,glandular cells
ABCC5-AS1,NC_000003.12,184006338,184006461,+,469,0,0.300276626767811,0,1.47310839571487,2.92529601380503,2.02216248588133,0.464790624339272,0.500697292165233,0.21386049135269,1.39080633005579,0.562526555748238,0,0.682610385942711,NA,NA,NA,NA,NA
ABCC6,NC_000016.10,16149565,16150241,-,5602,4.23562271315757,5.6060391938174,2.86195826949829,7.67379088917752,0.857171261453223,0.158009269097903,0.486403969151907,0.534459948737068,0.966838772580905,1.18767213882915,0.452109883006224,0.744809269801294,1.20011240470364,NA,NA,NA,NA,NA
ABCC6P1,NC_000016.10,18571248,18571311,+,2728,1.75484592561706,2.40050689694495,2.44088646599501,1.71652647820978,0.942973673804911,0.50988935799911,0.259698353793671,0.989923330386065,0.919176781931925,1.05207769160672,1.35394038308025,0.466621026950167,0.891897529198754,NA,NA,NA,NA,NA
ABCC6P1_1,NT_187607.1,962188,962251,+,530,0.261811303532039,0,0,0.289680435048332,0,0,0,0,0.378492718658157,0.123073239395503,0,0.133432092402522,0,NA,NA,NA,NA,NA
ABCC6P2,NC_000016.10,14822427,14823068,-,711,1.07338952151321,0.396145535735875,1.1820299268096,0.107968094638267,0,0,0,0.330277116772847,0,0,0,0.0994641476418234,0.18010929451878,NA,NA,NA,NA,NA
ABCC6P2_1,NT_187607.1,962183,962251,+,711,0.19516173118422,0.198072767867937,0.181850757970707,0.215936189276534,0,0.177851702930772,0,0,0.141069719331099,0,0,0,0.18010929451878,NA,NA,NA,NA,NA
ABCC6_1,NT_187607.1,1807491,1808167,-,5602,3.05906084839158,3.01670270519322,4.88148527418458,4.42613295929346,0.336745852713766,0.665896205484021,0.204289667043801,0.628776410278903,0.760937922864601,0.442466090936348,1.85553431150471,1.14877361952403,1.06295670130893,NA,NA,NA,NA,NA
ABCC8,NC_000011.10,17392498,17393128,-,5603,0.049530605344273,0.0251347024726224,0.0230761893480586,0.205511284904001,0.0918233868334748,0.0112843620188987,0.0778107452490161,0.0628664188895666,0,0.128059429890377,0.0376690993604745,0.0378648986114598,0.0799932142441521,NA,NA,Not detected,Approved,glandular cells
ABCC9,NC_000012.12,21797389,21801181,-,8960,2.71015607171837,2.09830022509741,2.12847584991997,2.5017267928616,7.1009846694484,3.69055185769624,0.918415380164144,1.0024703011691,1.09144035918863,1.25216032402835,1.4369037708394,1.67326226588698,1.6078674325135,NA,NA,NA,NA,NA
ABCD1,NC_000023.11,153724856,153726166,+,3969,4.52744238294822,2.83859386150876,1.7591277403697,3.50076141776096,3.49990773080245,1.95939342106385,0.892488169751997,1.9524545202422,1.41517559709928,2.08719066357049,1.87449325296423,1.12252395195772,1.66162055498788,NA,NA,Not detected,Approved,glandular cells
ABCD2,NC_000012.12,39531025,39532060,-,17751,2.12623049502444,2.86403782330186,1.77726307789928,2.28336918888866,0.71975737543205,0.516467278284265,0.19955414037213,1.02193612018869,0.55656617592105,1.00318106068026,0.805549689696865,0.804756904547009,1.0027616172608,NA,NA,NA,NA,NA
ABCD3,NC_000001.11,94385131,94385238,+,26865,3.71886072688725,5.1556317616922,2.94784038569768,3.85469608498987,7.30284115979385,6.22260507560603,4.81169454939011,3.82418855894859,2.76279256016619,4.16891414786158,2.69275274758653,4.52243653140488,3.62270085189533,NA,NA,Medium,Enhanced,glandular cells
ABCD4,NC_000014.9,74285269,74286816,-,3439,10.1679318696537,11.3843172873628,9.58722060886276,11.4065356534079,12.0430817483137,9.39477443450293,4.29444777281893,9.96939412146617,6.35810536693276,7.62488641628549,8.23925563506024,8.22553172123715,9.7746869600898,NA,NA,Not detected,Approved,glandular cells
ABCE1,NC_000004.12,145098311,145098419,+,3887,14.1187487496445,16.702472137083,12.473876599933,15.6019035444735,26.2294988814357,16.0220957514822,12.5621414537141,11.8712403910496,9.05724214715423,15.30452302398,9.50231377680198,10.6251353847256,14.5452735425417,NA,NA,High,Approved,glandular cells
ABCF1,NC_000006.12,30571442,30571560,+,3405,0.22413508070364,0,0.0759447218309384,0.0676346390200951,0,0.0371373159423728,0.208063761864651,0.0344826769494118,0.0589136977647058,0.0574703232419528,0.0309926525281555,0,0.075217449869517,NA,NA,High,Approved,glandular cells
ABCF1-DT,NT_113891.3,2043333,2043565,-,543,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
ABCF1_1,NT_113891.3,2051164,2051282,+,3405,0,0.0413596880922477,0.0379723609154692,0.0450897593467301,0.151097338157991,0.0371373159423728,0.0160049047588193,0,0,0.0191567744139843,0.0309926525281555,0,0,NA,NA,NA,NA,NA
ABCF1_2,NT_167245.2,1827269,1827387,+,3405,0.0407518328552072,0.0413596880922477,0,0,0,0,0,0,0,0.0383135488279685,0,0,0,NA,NA,NA,NA,NA
ABCF1_3,NT_167246.2,1881671,1881789,+,3405,0.122255498565622,1.15807126658294,0,0.13526927804019,0.352560455701979,0.129980605798305,0,0.103448030848235,0.0736421222058823,0.0766270976559371,0.0309926525281555,0.0415383312618716,0.075217449869517,NA,NA,NA,NA,NA
