human_gene,human_id,mouse_gene,mouse_id,n_mouse,n_human,ortholog_type
AAGAB,ENSG00000103591,Aagab,ENSMUSG00000037257,1,1,one-to-one
AAK1,ENSG00000115977,Aak1,ENSMUSG00000057230,1,1,one-to-one
AAMDC,ENSG00000087884,Aamdc,ENSMUSG00000035642,1,1,one-to-one
AAMP,ENSG00000127837,Aamp,ENSMUSG00000006299,1,1,one-to-one
AANAT,ENSG00000129673,Aanat,ENSMUSG00000020804,1,1,one-to-one
AAR2,ENSG00000131043,Aar2,ENSMUSG00000027628,1,1,one-to-one
AARD,ENSG00000205002,Aard,ENSMUSG00000068522,1,1,one-to-one
AARS1,ENSG00000090861,Aars1,ENSMUSG00000031960,1,1,one-to-one
AARS2,ENSG00000124608,Aars2,ENSMUSG00000023938,1,1,one-to-one
AARSD1,ENSG00000266967,Aarsd1,ENSMUSG00000075528,1,1,one-to-one
AASDH,ENSG00000157426,Aasdh,ENSMUSG00000055923,1,1,one-to-one
AASDHPPT,ENSG00000149313,Aasdhppt,ENSMUSG00000025894,1,1,one-to-one
AASS,ENSG00000008311,Aass,ENSMUSG00000029695,1,1,one-to-one
AATF,ENSG00000275700,Aatf,ENSMUSG00000018697,1,1,one-to-one
AATK,ENSG00000181409,Aatk,ENSMUSG00000025375,1,1,one-to-one
ABAT,ENSG00000183044,Abat,ENSMUSG00000057880,1,1,one-to-one
ABCA1,ENSG00000165029,Abca1,ENSMUSG00000015243,1,1,one-to-one
ABCA12,ENSG00000144452,Abca12,ENSMUSG00000050296,1,1,one-to-one
ABCA13,ENSG00000179869,Abca13,ENSMUSG00000004668,1,1,one-to-one
ABCA2,ENSG00000107331,Abca2,ENSMUSG00000026944,1,1,one-to-one
ABCA3,ENSG00000167972,Abca3,ENSMUSG00000024130,1,1,one-to-one
ABCA4,ENSG00000198691,Abca4,ENSMUSG00000028125,1,1,one-to-one
ABCA5,ENSG00000154265,Abca5,ENSMUSG00000018800,1,1,one-to-one
ABCA6,ENSG00000154262,Abca6,ENSMUSG00000044749,1,1,one-to-one
ABCA7,ENSG00000064687,Abca7,ENSMUSG00000035722,1,1,one-to-one
ABCA8,ENSG00000141338,Abca8b,ENSMUSG00000020620,1,1,one-to-one
ABCA9,ENSG00000154258,Abca9,ENSMUSG00000041797,1,1,one-to-one
ABCB1,ENSG00000085563,Abcb1a,ENSMUSG00000040584,2,1,one-to-many (mouse-to-human)
ABCB1,ENSG00000085563,Abcb1b,ENSMUSG00000028970,2,1,one-to-many (mouse-to-human)
ABCB10,ENSG00000135776,Abcb10,ENSMUSG00000031974,1,1,one-to-one
ABCB11,ENSG00000073734,Abcb11,ENSMUSG00000027048,1,1,one-to-one
ABCB4,ENSG00000005471,Abcb4,ENSMUSG00000042476,1,1,one-to-one
ABCB5,ENSG00000004846,Abcb5,ENSMUSG00000072791,1,1,one-to-one
ABCB6,ENSG00000115657,Abcb6,ENSMUSG00000026198,1,1,one-to-one
ABCB7,ENSG00000131269,Abcb7,ENSMUSG00000031333,1,1,one-to-one
ABCB8,ENSG00000197150,Abcb8,ENSMUSG00000028973,1,1,one-to-one
ABCB9,ENSG00000150967,Abcb9,ENSMUSG00000029408,1,1,one-to-one
ABCC1,ENSG00000103222,Abcc1,ENSMUSG00000023088,1,1,one-to-one
ABCC10,ENSG00000124574,Abcc10,ENSMUSG00000032842,1,1,one-to-one
ABCC12,ENSG00000140798,Abcc12,ENSMUSG00000036872,1,1,one-to-one
ABCC2,ENSG00000023839,Abcc2,ENSMUSG00000025194,1,1,one-to-one
ABCC3,ENSG00000108846,Abcc3,ENSMUSG00000020865,1,1,one-to-one
ABCC4,ENSG00000125257,Abcc4,ENSMUSG00000032849,1,1,one-to-one
ABCC5,ENSG00000114770,Abcc5,ENSMUSG00000022822,1,1,one-to-one
ABCC6,ENSG00000091262,Abcc6,ENSMUSG00000030834,1,1,one-to-one
ABCC8,ENSG00000006071,Abcc8,ENSMUSG00000040136,1,1,one-to-one
ABCC9,ENSG00000069431,Abcc9,ENSMUSG00000030249,1,1,one-to-one
ABCD1,ENSG00000101986,Abcd1,ENSMUSG00000031378,1,1,one-to-one
ABCD2,ENSG00000173208,Abcd2,ENSMUSG00000055782,1,1,one-to-one
ABCD3,ENSG00000117528,Abcd3,ENSMUSG00000028127,1,1,one-to-one
ABCD4,ENSG00000119688,Abcd4,ENSMUSG00000021240,1,1,one-to-one
ABCE1,ENSG00000164163,Abce1,ENSMUSG00000058355,1,1,one-to-one
ABCF1,ENSG00000204574,Abcf1,ENSMUSG00000038762,1,1,one-to-one
ABCF2,ENSG00000033050,Abcf2,ENSMUSG00000028953,1,1,one-to-one
ABCF3,ENSG00000161204,Abcf3,ENSMUSG00000003234,1,1,one-to-one
ABCG1,ENSG00000160179,Abcg1,ENSMUSG00000024030,1,1,one-to-one
ABCG2,ENSG00000118777,Abcg3,ENSMUSG00000029299,1,1,one-to-one
ABCG4,ENSG00000172350,Abcg4,ENSMUSG00000032131,1,1,one-to-one
ABCG5,ENSG00000138075,Abcg5,ENSMUSG00000040505,1,1,one-to-one
ABCG8,ENSG00000143921,Abcg8,ENSMUSG00000024254,1,1,one-to-one
ABHD1,ENSG00000143994,Abhd1,ENSMUSG00000006638,1,1,one-to-one
ABHD10,ENSG00000144827,Abhd10,ENSMUSG00000033157,1,1,one-to-one
ABHD11,ENSG00000106077,Abhd11,ENSMUSG00000040532,1,1,one-to-one
ABHD12,ENSG00000100997,Abhd12,ENSMUSG00000032046,1,1,one-to-one
ABHD12B,ENSG00000131969,Abhd12b,ENSMUSG00000090121,1,1,one-to-one
ABHD13,ENSG00000139826,Abhd13,ENSMUSG00000040396,1,1,one-to-one
ABHD14A,ENSG00000248487,Abhd14a,ENSMUSG00000042210,1,1,one-to-one
ABHD14B,ENSG00000114779,Abhd14b,ENSMUSG00000042073,1,1,one-to-one
ABHD15,ENSG00000168792,Abhd15,ENSMUSG00000000686,1,1,one-to-one
ABHD16A,ENSG00000204427,Abhd16a,ENSMUSG00000007036,1,1,one-to-one
ABHD16B,ENSG00000183260,Abhd16b,ENSMUSG00000055882,1,1,one-to-one
ABHD17A,ENSG00000129968,Abhd17a,ENSMUSG00000003346,1,1,one-to-one
ABHD17B,ENSG00000107362,Abhd17b,ENSMUSG00000047368,1,1,one-to-one
ABHD17C,ENSG00000136379,Abhd17c,ENSMUSG00000038459,1,1,one-to-one
ABHD18,ENSG00000164074,Abhd18,ENSMUSG00000037818,1,1,one-to-one
ABHD2,ENSG00000140526,Abhd2,ENSMUSG00000039202,1,1,one-to-one
ABHD3,ENSG00000158201,Abhd3,ENSMUSG00000002475,1,1,one-to-one
ABHD4,ENSG00000100439,Abhd4,ENSMUSG00000040997,1,1,one-to-one
ABHD5,ENSG00000011198,Abhd5,ENSMUSG00000032540,1,1,one-to-one
ABHD6,ENSG00000163686,Abhd6,ENSMUSG00000025277,1,1,one-to-one
ABHD8,ENSG00000127220,Abhd8,ENSMUSG00000007950,1,1,one-to-one
ABI1,ENSG00000136754,Abi1,ENSMUSG00000058835,1,1,one-to-one
ABI2,ENSG00000138443,Abi2,ENSMUSG00000026782,1,1,one-to-one
ABI3,ENSG00000108798,Abi3,ENSMUSG00000018381,1,1,one-to-one
ABI3BP,ENSG00000154175,Abi3bp,ENSMUSG00000035258,1,1,one-to-one
ABITRAM,ENSG00000119328,Abitram,ENSMUSG00000038827,1,1,one-to-one
ABL1,ENSG00000097007,Abl1,ENSMUSG00000026842,1,1,one-to-one
ABL2,ENSG00000143322,Abl2,ENSMUSG00000026596,1,1,one-to-one
ABLIM1,ENSG00000099204,Ablim1,ENSMUSG00000025085,1,1,one-to-one
ABLIM2,ENSG00000163995,Ablim2,ENSMUSG00000029095,1,1,one-to-one
ABLIM3,ENSG00000173210,Ablim3,ENSMUSG00000032735,1,1,one-to-one
ABO,ENSG00000175164,Abo,ENSMUSG00000015787,1,1,one-to-one
ABR,ENSG00000159842,Abr,ENSMUSG00000017631,1,1,one-to-one
ABRA,ENSG00000174429,Abra,ENSMUSG00000042895,1,1,one-to-one
ABRACL,ENSG00000146386,Abracl,ENSMUSG00000078453,1,1,one-to-one
ABRAXAS1,ENSG00000163322,Abraxas1,ENSMUSG00000035234,1,1,one-to-one
ABRAXAS2,ENSG00000165660,Abraxas2,ENSMUSG00000030965,1,1,one-to-one
ABT1,ENSG00000146109,Abt1,ENSMUSG00000036376,1,1,one-to-one
ABTB1,ENSG00000114626,Abtb1,ENSMUSG00000030083,1,1,one-to-one
ABTB2,ENSG00000166016,Abtb2,ENSMUSG00000032724,1,1,one-to-one
ABTB3,ENSG00000151136,Abtb3,ENSMUSG00000020042,1,1,one-to-one
ACAA1,ENSG00000060971,Acaa1a,ENSMUSG00000036138,2,1,one-to-many (mouse-to-human)
ACAA1,ENSG00000060971,Acaa1b,ENSMUSG00000010651,2,1,one-to-many (mouse-to-human)
ACAA2,ENSG00000167315,Acaa2,ENSMUSG00000036880,1,1,one-to-one
ACACA,ENSG00000278540,Acaca,ENSMUSG00000020532,1,1,one-to-one
ACACB,ENSG00000076555,Acacb,ENSMUSG00000042010,1,1,one-to-one
ACAD10,ENSG00000111271,Acad10,ENSMUSG00000029456,2,1,one-to-many (mouse-to-human)
ACAD10,ENSG00000111271,Acad12,ENSMUSG00000042647,2,1,one-to-many (mouse-to-human)
ACAD11,ENSG00000240303,Acad11,ENSMUSG00000090150,1,1,one-to-one
ACAD8,ENSG00000151498,Acad8,ENSMUSG00000031969,1,1,one-to-one
ACAD9,ENSG00000177646,Acad9,ENSMUSG00000027710,1,1,one-to-one
ACADL,ENSG00000115361,Acadl,ENSMUSG00000026003,1,1,one-to-one
ACADM,ENSG00000117054,Acadm,ENSMUSG00000062908,1,1,one-to-one
ACADS,ENSG00000122971,Acads,ENSMUSG00000029545,1,1,one-to-one
ACADSB,ENSG00000196177,Acadsb,ENSMUSG00000030861,1,1,one-to-one
ACADVL,ENSG00000072778,Acadvl,ENSMUSG00000018574,1,1,one-to-one
ACAN,ENSG00000157766,Acan,ENSMUSG00000030607,1,1,one-to-one
ACAP1,ENSG00000072818,Acap1,ENSMUSG00000001588,1,1,one-to-one
ACAP2,ENSG00000114331,Acap2,ENSMUSG00000049076,1,1,one-to-one
ACAP3,ENSG00000131584,Acap3,ENSMUSG00000029033,1,1,one-to-one
ACAT1,ENSG00000075239,Acat1,ENSMUSG00000032047,1,1,one-to-one
ACAT2,ENSG00000120437,Acat2,ENSMUSG00000023832,2,1,one-to-many (mouse-to-human)
ACAT2,ENSG00000120437,Acat3,ENSMUSG00000062480,2,1,one-to-many (mouse-to-human)
ACBD3,ENSG00000182827,Acbd3,ENSMUSG00000026499,1,1,one-to-one
ACBD4,ENSG00000181513,Acbd4,ENSMUSG00000056938,1,1,one-to-one
ACBD5,ENSG00000107897,Acbd5,ENSMUSG00000026781,1,1,one-to-one
ACBD6,ENSG00000230124,Acbd6,ENSMUSG00000033701,1,1,one-to-one
ACBD7,ENSG00000176244,Acbd7,ENSMUSG00000026644,1,1,one-to-one
ACCS,ENSG00000110455,Accs,ENSMUSG00000040272,1,1,one-to-one
ACCSL,ENSG00000205126,Accsl,ENSMUSG00000075023,1,1,one-to-one
ACD,ENSG00000102977,Acd,ENSMUSG00000038000,1,1,one-to-one
ACE,ENSG00000159640,Ace,ENSMUSG00000020681,1,1,one-to-one
ACE2,ENSG00000130234,Ace2,ENSMUSG00000015405,1,1,one-to-one
ACER1,ENSG00000167769,Acer1,ENSMUSG00000045019,1,1,one-to-one
ACER2,ENSG00000177076,Acer2,ENSMUSG00000038007,1,1,one-to-one
ACER3,ENSG00000078124,Acer3,ENSMUSG00000030760,1,1,one-to-one
ACHE,ENSG00000087085,Ache,ENSMUSG00000023328,1,1,one-to-one
ACIN1,ENSG00000100813,Acin1,ENSMUSG00000022185,1,1,one-to-one
ACKR1,ENSG00000213088,Ackr1,ENSMUSG00000037872,1,1,one-to-one
ACKR2,ENSG00000144648,Ackr2,ENSMUSG00000044534,1,1,one-to-one
ACKR3,ENSG00000144476,Ackr3,ENSMUSG00000044337,1,1,one-to-one
ACKR4,ENSG00000129048,Ackr4,ENSMUSG00000079355,1,1,one-to-one
ACLY,ENSG00000131473,Acly,ENSMUSG00000020917,1,1,one-to-one
ACMSD,ENSG00000153086,Acmsd,ENSMUSG00000026348,1,1,one-to-one
ACO1,ENSG00000122729,Aco1,ENSMUSG00000028405,1,1,one-to-one
ACO2,ENSG00000100412,Aco2,ENSMUSG00000022477,1,1,one-to-one
ACOD1,ENSG00000102794,Acod1,ENSMUSG00000022126,1,1,one-to-one
ACOT1,ENSG00000184227,Acot1,ENSMUSG00000072949,4,2,many-to-many
ACOT1,ENSG00000184227,Acot2,ENSMUSG00000021226,4,2,many-to-many
ACOT1,ENSG00000184227,Acot3,ENSMUSG00000021228,4,2,many-to-many
ACOT1,ENSG00000184227,Acot5,ENSMUSG00000042540,4,2,many-to-many
ACOT11,ENSG00000162390,Acot11,ENSMUSG00000034853,1,1,one-to-one
ACOT12,ENSG00000172497,Acot12,ENSMUSG00000021620,1,1,one-to-one
ACOT13,ENSG00000112304,Acot13,ENSMUSG00000006717,1,1,one-to-one
ACOT2,ENSG00000119673,Acot1,ENSMUSG00000072949,4,2,many-to-many
ACOT2,ENSG00000119673,Acot2,ENSMUSG00000021226,4,2,many-to-many
ACOT2,ENSG00000119673,Acot3,ENSMUSG00000021228,4,2,many-to-many
ACOT2,ENSG00000119673,Acot5,ENSMUSG00000042540,4,2,many-to-many
ACOT4,ENSG00000177465,Acot4,ENSMUSG00000052392,1,1,one-to-one
ACOT6,ENSG00000205669,Acot6,ENSMUSG00000043487,1,1,one-to-one
ACOT7,ENSG00000097021,Acot7,ENSMUSG00000028937,1,1,one-to-one
ACOT8,ENSG00000101473,Acot8,ENSMUSG00000017307,1,1,one-to-one
ACOT9,ENSG00000123130,Acot10,ENSMUSG00000047565,2,1,one-to-many (mouse-to-human)
ACOT9,ENSG00000123130,Acot9,ENSMUSG00000025287,2,1,one-to-many (mouse-to-human)
ACOX1,ENSG00000161533,Acox1,ENSMUSG00000020777,1,1,one-to-one
ACOX2,ENSG00000168306,Acox2,ENSMUSG00000021751,1,1,one-to-one
ACOX3,ENSG00000087008,Acox3,ENSMUSG00000029098,1,1,one-to-one
ACOXL,ENSG00000153093,Acoxl,ENSMUSG00000027380,1,1,one-to-one
ACP1,ENSG00000143727,Acp1,ENSMUSG00000044573,1,1,one-to-one
ACP2,ENSG00000134575,Acp2,ENSMUSG00000002103,1,1,one-to-one
ACP3,ENSG00000014257,Acp3,ENSMUSG00000032561,1,1,one-to-one
ACP4,ENSG00000142513,Acp4,ENSMUSG00000012777,1,1,one-to-one
ACP5,ENSG00000102575,Acp5,ENSMUSG00000001348,1,1,one-to-one
ACP6,ENSG00000162836,Acp6,ENSMUSG00000028093,1,1,one-to-one
ACP7,ENSG00000183760,Acp7,ENSMUSG00000037469,1,1,one-to-one
ACR,ENSG00000100312,Acr,ENSMUSG00000022622,1,1,one-to-one
ACRBP,ENSG00000111644,Acrbp,ENSMUSG00000072770,1,1,one-to-one
ACRV1,ENSG00000134940,Acrv1,ENSMUSG00000032110,1,1,one-to-one
ACSBG1,ENSG00000103740,Acsbg1,ENSMUSG00000032281,1,1,one-to-one
ACSBG2,ENSG00000130377,Acsbg2,ENSMUSG00000024207,1,1,one-to-one
ACSF2,ENSG00000167107,Acsf2,ENSMUSG00000076435,1,1,one-to-one
ACSF3,ENSG00000176715,Acsf3,ENSMUSG00000015016,1,1,one-to-one
ACSL1,ENSG00000151726,Acsl1,ENSMUSG00000018796,1,1,one-to-one
ACSL3,ENSG00000123983,Acsl3,ENSMUSG00000032883,1,1,one-to-one
ACSL4,ENSG00000068366,Acsl4,ENSMUSG00000031278,1,1,one-to-one
ACSL5,ENSG00000197142,Acsl5,ENSMUSG00000024981,1,1,one-to-one
ACSL6,ENSG00000164398,Acsl6,ENSMUSG00000020333,1,1,one-to-one
ACSM1,ENSG00000166743,Acsm1,ENSMUSG00000033533,1,1,one-to-one
ACSM2A,ENSG00000183747,Acsm2,ENSMUSG00000030945,1,2,many-to-many
ACSM2B,ENSG00000066813,Acsm2,ENSMUSG00000030945,1,2,many-to-many
ACSM3,ENSG00000005187,Acsm3,ENSMUSG00000030935,1,1,one-to-one
ACSM4,ENSG00000215009,Acsm4,ENSMUSG00000047026,1,1,one-to-one
ACSM5,ENSG00000183549,Acsm5,ENSMUSG00000030972,1,1,one-to-one
ACSS1,ENSG00000154930,Acss1,ENSMUSG00000027452,1,1,one-to-one
ACSS2,ENSG00000131069,Acss2,ENSMUSG00000027605,1,1,one-to-one
ACSS3,ENSG00000111058,Acss3,ENSMUSG00000035948,1,1,one-to-one
ACTA1,ENSG00000143632,Acta1,ENSMUSG00000031972,1,1,one-to-one
ACTA2,ENSG00000107796,Acta2,ENSMUSG00000035783,1,1,one-to-one
ACTB,ENSG00000075624,Actb,ENSMUSG00000029580,1,1,one-to-one
ACTBL2,ENSG00000169067,Actbl2,ENSMUSG00000055194,1,1,one-to-one
ACTC1,ENSG00000159251,Actc1,ENSMUSG00000068614,1,1,one-to-one
ACTG1,ENSG00000184009,Actg1,ENSMUSG00000062825,1,1,one-to-one
ACTG2,ENSG00000163017,Actg2,ENSMUSG00000059430,1,1,one-to-one
ACTL10,ENSG00000288649,Actl10,ENSMUSG00000078129,1,1,one-to-one
ACTL6A,ENSG00000136518,Actl6a,ENSMUSG00000027671,1,1,one-to-one
ACTL6B,ENSG00000077080,Actl6b,ENSMUSG00000029712,1,1,one-to-one
ACTL7A,ENSG00000187003,Actl7a,ENSMUSG00000070979,1,1,one-to-one
ACTL7B,ENSG00000148156,Actl7b,ENSMUSG00000070980,1,1,one-to-one
ACTL9,ENSG00000181786,Actl9,ENSMUSG00000092519,1,1,one-to-one
ACTMAP,ENSG00000188493,Actmap,ENSMUSG00000078786,1,1,one-to-one
ACTN1,ENSG00000072110,Actn1,ENSMUSG00000015143,1,1,one-to-one
ACTN2,ENSG00000077522,Actn2,ENSMUSG00000052374,1,1,one-to-one
ACTN3,ENSG00000248746,Actn3,ENSMUSG00000006457,1,1,one-to-one
ACTN4,ENSG00000130402,Actn4,ENSMUSG00000054808,1,1,one-to-one
ACTR10,ENSG00000131966,Actr10,ENSMUSG00000021076,1,1,one-to-one
ACTR1A,ENSG00000138107,Actr1a,ENSMUSG00000025228,1,1,one-to-one
ACTR1B,ENSG00000115073,Actr1b,ENSMUSG00000037351,1,1,one-to-one
ACTR2,ENSG00000138071,Actr2,ENSMUSG00000020152,1,1,one-to-one
ACTR3,ENSG00000115091,Actr3,ENSMUSG00000026341,1,1,one-to-one
ACTR3B,ENSG00000133627,Actr3b,ENSMUSG00000056367,1,2,one-to-many (mouse-to-human)
ACTR3C,ENSG00000106526,Actr3b,ENSMUSG00000056367,1,2,one-to-many (mouse-to-human)
ACTR5,ENSG00000101442,Actr5,ENSMUSG00000037761,1,1,one-to-one
ACTR6,ENSG00000075089,Actr6,ENSMUSG00000019948,1,1,one-to-one
ACTR8,ENSG00000113812,Actr8,ENSMUSG00000015971,1,1,one-to-one
ACTRT1,ENSG00000123165,Actrt1,ENSMUSG00000046615,1,1,one-to-one
ACTRT2,ENSG00000169717,Actrt2,ENSMUSG00000051276,1,1,one-to-one
ACTRT3,ENSG00000184378,Actrt3,ENSMUSG00000037737,1,1,one-to-one
ACVR1,ENSG00000115170,Acvr1,ENSMUSG00000026836,1,1,one-to-one
ACVR1B,ENSG00000135503,Acvr1b,ENSMUSG00000000532,1,1,one-to-one
ACVR1C,ENSG00000123612,Acvr1c,ENSMUSG00000026834,1,1,one-to-one
ACVR2A,ENSG00000121989,Acvr2a,ENSMUSG00000052155,1,1,one-to-one
ACVR2B,ENSG00000114739,Acvr2b,ENSMUSG00000061393,1,1,one-to-one
ACVRL1,ENSG00000139567,Acvrl1,ENSMUSG00000000530,1,1,one-to-one
ACY1,ENSG00000243989,Acy1,ENSMUSG00000023262,1,1,one-to-one
ACY3,ENSG00000132744,Acy3,ENSMUSG00000024866,1,1,one-to-one
ACYP2,ENSG00000170634,Acyp2,ENSMUSG00000060923,1,1,one-to-one
ADA,ENSG00000196839,Ada,ENSMUSG00000017697,1,1,one-to-one
ADAD1,ENSG00000164113,Adad1,ENSMUSG00000027719,1,1,one-to-one
ADAD2,ENSG00000140955,Adad2,ENSMUSG00000024266,1,1,one-to-one
ADAM10,ENSG00000137845,Adam10,ENSMUSG00000054693,1,1,one-to-one
ADAM11,ENSG00000073670,Adam11,ENSMUSG00000020926,1,1,one-to-one
ADAM12,ENSG00000148848,Adam12,ENSMUSG00000054555,1,1,one-to-one
ADAM15,ENSG00000143537,Adam15,ENSMUSG00000028041,1,1,one-to-one
ADAM17,ENSG00000151694,Adam17,ENSMUSG00000052593,1,1,one-to-one
ADAM18,ENSG00000168619,Adam18,ENSMUSG00000031552,1,1,one-to-one
ADAM2,ENSG00000104755,Adam2,ENSMUSG00000022039,1,1,one-to-one
ADAM20,ENSG00000134007,Adam20,ENSMUSG00000046282,3,1,one-to-many (mouse-to-human)
ADAM20,ENSG00000134007,Adam25,ENSMUSG00000071937,3,1,one-to-many (mouse-to-human)
ADAM20,ENSG00000134007,Adam39,ENSMUSG00000054033,3,1,one-to-many (mouse-to-human)
ADAM21,ENSG00000139985,Adam21,ENSMUSG00000008438,1,1,one-to-one
ADAM22,ENSG00000008277,Adam22,ENSMUSG00000040537,1,1,one-to-one
ADAM23,ENSG00000114948,Adam23,ENSMUSG00000025964,1,1,one-to-one
ADAM28,ENSG00000042980,Adam28,ENSMUSG00000014725,1,1,one-to-one
ADAM29,ENSG00000168594,Adam29,ENSMUSG00000046258,1,1,one-to-one
ADAM30,ENSG00000134249,Adam30,ENSMUSG00000043468,1,1,one-to-one
ADAM32,ENSG00000197140,Adam32,ENSMUSG00000037437,1,1,one-to-one
ADAM33,ENSG00000149451,Adam33,ENSMUSG00000027318,1,1,one-to-one
ADAM7,ENSG00000069206,Adam7,ENSMUSG00000022056,1,1,one-to-one
ADAM8,ENSG00000151651,Adam8,ENSMUSG00000025473,1,1,one-to-one
ADAM9,ENSG00000168615,Adam9,ENSMUSG00000031555,1,1,one-to-one
ADAMDEC1,ENSG00000134028,Adamdec1,ENSMUSG00000022057,1,1,one-to-one
ADAMTS1,ENSG00000154734,Adamts1,ENSMUSG00000022893,1,1,one-to-one
ADAMTS10,ENSG00000142303,Adamts10,ENSMUSG00000024299,1,1,one-to-one
ADAMTS12,ENSG00000151388,Adamts12,ENSMUSG00000047497,1,1,one-to-one
ADAMTS13,ENSG00000160323,Adamts13,ENSMUSG00000014852,1,1,one-to-one
ADAMTS14,ENSG00000138316,Adamts14,ENSMUSG00000059901,1,1,one-to-one
ADAMTS15,ENSG00000166106,Adamts15,ENSMUSG00000033453,1,1,one-to-one
ADAMTS16,ENSG00000145536,Adamts16,ENSMUSG00000049538,1,1,one-to-one
ADAMTS17,ENSG00000140470,Adamts17,ENSMUSG00000058145,1,1,one-to-one
ADAMTS18,ENSG00000140873,Adamts18,ENSMUSG00000053399,1,1,one-to-one
ADAMTS19,ENSG00000145808,Adamts19,ENSMUSG00000053441,1,1,one-to-one
ADAMTS2,ENSG00000087116,Adamts2,ENSMUSG00000036545,1,1,one-to-one
ADAMTS20,ENSG00000173157,Adamts20,ENSMUSG00000022449,1,1,one-to-one
ADAMTS3,ENSG00000156140,Adamts3,ENSMUSG00000043635,1,1,one-to-one
ADAMTS4,ENSG00000158859,Adamts4,ENSMUSG00000006403,1,1,one-to-one
ADAMTS5,ENSG00000154736,Adamts5,ENSMUSG00000022894,1,1,one-to-one
ADAMTS6,ENSG00000049192,Adamts6,ENSMUSG00000046169,1,1,one-to-one
ADAMTS7,ENSG00000136378,Adamts7,ENSMUSG00000032363,1,1,one-to-one
ADAMTS8,ENSG00000134917,Adamts8,ENSMUSG00000031994,1,1,one-to-one
ADAMTS9,ENSG00000163638,Adamts9,ENSMUSG00000030022,1,1,one-to-one
ADAMTSL1,ENSG00000178031,Adamtsl1,ENSMUSG00000066113,1,1,one-to-one
ADAMTSL2,ENSG00000197859,Adamtsl2,ENSMUSG00000036040,1,1,one-to-one
ADAMTSL3,ENSG00000156218,Adamtsl3,ENSMUSG00000070469,1,1,one-to-one
ADAMTSL4,ENSG00000143382,Adamtsl4,ENSMUSG00000015850,1,1,one-to-one
